,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0.42,0.4378,0.4862,0.4378,0.47,0.456,0.4556,0.44,0.4412,0.4608,0.4336,0.433,0.4592,0.4378,0.4418,0.4294,0.472,0.4264,0.4618,0.4378,0.4634,0.4326,0.4458,0.4572,0.4424,0.4294,0.432,0.4532,0.46,0.4412,0.454,0.4496,0.4498,0.4474,0.4358,0.4624,0.4146,0.448,0.4404,0.4154,0.4516,0.43,0.4586,0.4282,0.4524,0.4298,0.4438,0.452,0.4624,0.4326
1,0.2006,0.433,0.3284,0.4386,0.4676,0.3338,0.4512,0.3182,0.4438,0.168,0.432,0.4364,0.3772,0.3174,0.102,0.4218,0.4696,0.3392,0.424,0.4388,0.3654,0.2684,0.438,0.4488,0.4374,0.434,0.3816,0.3594,0.4566,0.3576,0.3644,0.3276,0.1084,0.4434,0.434,0.3412,0.3528,0.4482,0.3232,0.4152,0.1626,0.435,0.4498,0.374,0.3358,0.1428,0.1018,0.3028,0.3894,0.4316
2,0.3766,0.4316,0.4078,0.1178,0.4708,0.3998,0.4062,0.3836,0.4428,0.2808,0.0924,0.3978,0.3842,0.3316,0.3844,0.4144,0.3386,0.2996,0.4264,0.438,0.4154,0.3302,0.1218,0.4396,0.1128,0.4152,0.404,0.376,0.4562,0.3822,0.3322,0.3678,0.2342,0.4398,0.4292,0.3588,0.3708,0.4412,0.3508,0.4132,0.393,0.4374,0.4596,0.3594,0.3182,0.3656,0.3608,0.3776,0.3648,0.3514
3,0.4134,0.4268,0.445,0.3266,0.4592,0.4382,0.3918,0.4228,0.4388,0.424,0.363,0.3624,0.429,0.4044,0.4174,0.182,0.3468,0.3696,0.4266,0.4356,0.4342,0.3584,0.3048,0.2742,0.3784,0.3678,0.4192,0.418,0.4512,0.4134,0.306,0.4034,0.4384,0.4442,0.4258,0.3758,0.3888,0.4402,0.3818,0.4158,0.3994,0.4276,0.4582,0.3606,0.4038,0.3824,0.3624,0.367,0.3532,0.3316
4,0.421,0.4292,0.4576,0.314,0.3566,0.4078,0.382,0.4272,0.4408,0.4228,0.4122,0.3592,0.4358,0.4072,0.4274,0.3634,0.4218,0.3394,0.437,0.11,0.4416,0.417,0.3626,0.3432,0.42,0.429,0.4226,0.4294,0.4582,0.415,0.3892,0.3896,0.4444,0.4372,0.4274,0.4224,0.3846,0.3956,0.4012,0.4134,0.4388,0.4306,0.3756,0.417,0.4122,0.3502,0.414,0.4264,0.425,0.4102
5,0.4244,0.413,0.466,0.3716,0.421,0.4332,0.4224,0.4146,0.44,0.4226,0.4148,0.402,0.4328,0.4024,0.3934,0.4152,0.4164,0.4012,0.4344,0.4014,0.4396,0.4158,0.3986,0.3758,0.4166,0.4206,0.4228,0.4332,0.41,0.4128,0.4272,0.4298,0.4366,0.4316,0.2814,0.4332,0.4132,0.4184,0.4018,0.3974,0.4436,0.434,0.44,0.423,0.4172,0.3808,0.422,0.417,0.4464,0.4152
6,0.4216,0.1016,0.4628,0.4142,0.4398,0.3918,0.4248,0.3916,0.4444,0.4272,0.419,0.4182,0.4344,0.4114,0.4226,0.4142,0.3782,0.4038,0.4312,0.4292,0.4424,0.425,0.405,0.3808,0.4218,0.4232,0.4254,0.4276,0.4344,0.4088,0.4278,0.4354,0.4464,0.1012,0.3884,0.4504,0.415,0.4174,0.4144,0.2446,0.445,0.4366,0.4372,0.419,0.4152,0.33,0.4238,0.4364,0.4388,0.4272
7,0.413,0.3592,0.421,0.3862,0.421,0.3286,0.4254,0.4134,0.4456,0.4156,0.417,0.4122,0.4346,0.412,0.4268,0.42,0.4072,0.4098,0.367,0.4322,0.4434,0.4294,0.368,0.3722,0.4168,0.4268,0.4162,0.4328,0.4392,0.4134,0.4128,0.4376,0.4406,0.4,0.398,0.4466,0.414,0.422,0.4104,0.4142,0.4414,0.435,0.4456,0.4196,0.4164,0.3786,0.4252,0.437,0.444,0.4322
8,0.4198,0.3996,0.4522,0.3802,0.4286,0.4166,0.424,0.4226,0.3108,0.4,0.4062,0.4144,0.4352,0.414,0.4258,0.4218,0.4486,0.4032,0.4188,0.4334,0.405,0.428,0.3978,0.4056,0.4186,0.4326,0.4172,0.4266,0.4338,0.364,0.4354,0.4398,0.4392,0.4374,0.3774,0.4502,0.4128,0.4266,0.4084,0.4136,0.4422,0.4336,0.4456,0.423,0.4214,0.379,0.4322,0.435,0.4364,0.432
9,0.423,0.4138,0.4552,0.361,0.4326,0.4386,0.4226,0.4152,0.4054,0.379,0.4222,0.4132,0.445,0.4086,0.4244,0.3972,0.4488,0.403,0.4146,0.4352,0.421,0.4296,0.4208,0.4084,0.4254,0.4306,0.4174,0.4288,0.4402,0.3752,0.4328,0.4304,0.4438,0.4006,0.395,0.45,0.396,0.428,0.4136,0.4156,0.435,0.4062,0.4416,0.4216,0.4228,0.3616,0.4292,0.437,0.446,0.4224
