,1
0,0.1988
1,0.2116
2,0.2296
3,0.2624
4,0.2732
5,0.278
6,0.2964
7,0.3004
8,0.3116
9,0.318
10,0.3156
11,0.3166
12,0.331
13,0.3386
14,0.3416
15,0.3522
16,0.3644
17,0.3714
18,0.3728
19,0.379
20,0.3864
21,0.3844
22,0.3904
23,0.392
24,0.3956
25,0.3992
26,0.4036
27,0.4186
28,0.4222
29,0.4238
30,0.4254
31,0.4274
32,0.4286
33,0.4198
34,0.427
35,0.4316
36,0.4316
37,0.4382
38,0.438
39,0.4442
40,0.4476
41,0.4438
42,0.4506
43,0.459
44,0.4622
45,0.461
46,0.4656
47,0.4682
48,0.4772
49,0.4792
50,0.478
51,0.4816
52,0.4742
53,0.4814
54,0.4796
55,0.4848
56,0.487
57,0.4768
58,0.4818
59,0.4886
60,0.4864
61,0.4922
62,0.497
63,0.5064
64,0.5132
65,0.512
66,0.5116
67,0.5134
68,0.519
69,0.5222
70,0.5228
71,0.527
72,0.5292
73,0.5318
74,0.533
75,0.5388
76,0.5404
77,0.5416
78,0.5398
79,0.5462
80,0.5456
81,0.5456
82,0.553
83,0.5552
84,0.5558
85,0.558
86,0.556
87,0.554
88,0.563
89,0.5672
90,0.5662
91,0.5652
92,0.5678
93,0.5686
94,0.5706
95,0.5704
96,0.5736
97,0.5632
98,0.567
99,0.5706
100,0.5686
101,0.5694
102,0.5648
103,0.5704
104,0.575
105,0.5798
106,0.5738
107,0.5762
108,0.5842
109,0.585
110,0.5846
111,0.5878
112,0.5882
113,0.5876
114,0.5872
115,0.5898
116,0.5896
117,0.5938
118,0.593
119,0.5932
120,0.5938
121,0.595
122,0.5968
123,0.5962
124,0.597
125,0.602
126,0.6042
127,0.6016
128,0.6054
129,0.609
130,0.6104
131,0.614
132,0.609
133,0.6074
134,0.6102
135,0.6092
136,0.6166
137,0.615
138,0.6142
139,0.6106
140,0.6138
141,0.6182
142,0.6178
143,0.6172
144,0.6188
145,0.6214
146,0.619
147,0.6186
148,0.6198
149,0.6168
150,0.6182
151,0.6198
152,0.6258
153,0.625
154,0.6266
155,0.6286
156,0.6314
157,0.6336
158,0.6342
159,0.6362
160,0.6354
161,0.6402
162,0.631
163,0.6336
164,0.6348
165,0.6358
166,0.6388
167,0.64
168,0.6478
169,0.6492
170,0.6486
171,0.65
172,0.648
173,0.6474
174,0.6498
175,0.6552
176,0.656
177,0.6582
178,0.6574
179,0.6616
180,0.6616
181,0.6586
182,0.6592
183,0.6562
184,0.6596
185,0.6646
186,0.6646
187,0.6618
188,0.6576
189,0.6548
190,0.6598
191,0.6576
192,0.6602
193,0.6582
194,0.6608
195,0.6612
196,0.6592
197,0.6546
198,0.6562
199,0.6542
200,0.6544
201,0.6586
202,0.6578
203,0.6564
204,0.6586
205,0.6582
206,0.6578
207,0.6584
208,0.6608
209,0.6582
210,0.6598
211,0.6606
212,0.6532
