,1
0,0.2312
1,0.251
2,0.2546
3,0.2684
4,0.2696
5,0.2836
6,0.282
7,0.3064
8,0.3248
9,0.3216
10,0.3306
11,0.3226
12,0.3396
13,0.3428
14,0.3464
15,0.3576
16,0.3706
17,0.3688
18,0.372
19,0.3764
20,0.3806
21,0.3834
22,0.3898
23,0.3926
24,0.3994
25,0.4016
26,0.394
27,0.3956
28,0.4012
29,0.3908
30,0.3916
31,0.394
32,0.3934
33,0.3956
34,0.3964
35,0.398
36,0.4
37,0.4118
38,0.414
39,0.4144
40,0.412
41,0.4096
42,0.404
43,0.4052
44,0.4114
45,0.4124
46,0.417
47,0.4332
48,0.4494
49,0.4588
50,0.4602
51,0.4496
52,0.4518
53,0.452
54,0.457
55,0.461
56,0.4698
57,0.467
58,0.4764
59,0.4916
60,0.4924
61,0.4954
62,0.4854
63,0.486
64,0.4898
65,0.493
66,0.4936
67,0.4992
68,0.4966
69,0.5002
70,0.5016
71,0.499
72,0.4988
73,0.5012
74,0.4992
75,0.5018
76,0.505
77,0.5042
78,0.5034
79,0.5108
80,0.5096
81,0.509
82,0.514
83,0.519
84,0.5216
85,0.5256
86,0.5272
87,0.5358
88,0.5376
89,0.5442
90,0.546
91,0.5468
92,0.55
93,0.5504
94,0.5558
95,0.5564
96,0.557
97,0.5604
98,0.5646
99,0.5578
100,0.5586
101,0.5586
102,0.5614
103,0.5616
104,0.5654
105,0.5666
106,0.5744
107,0.5756
108,0.5762
109,0.5756
110,0.5764
111,0.577
112,0.5754
113,0.5688
114,0.5818
115,0.583
116,0.585
117,0.5828
118,0.5832
119,0.5846
120,0.5856
121,0.5878
122,0.5878
123,0.5892
124,0.5888
125,0.5848
126,0.5894
127,0.5916
128,0.595
129,0.5972
130,0.5976
131,0.5986
132,0.602
133,0.6002
134,0.6004
135,0.606
136,0.6054
137,0.6054
138,0.6058
139,0.608
140,0.6084
141,0.6062
142,0.6052
143,0.6058
144,0.605
145,0.6074
146,0.607
147,0.6078
148,0.6068
149,0.6032
150,0.6014
151,0.5986
152,0.598
153,0.6018
154,0.601
155,0.6004
156,0.596
157,0.5942
158,0.5972
159,0.5994
160,0.6048
161,0.6044
162,0.6052
163,0.6046
164,0.605
165,0.6072
166,0.6072
167,0.606
168,0.6082
169,0.6112
170,0.6114
171,0.6046
172,0.606
173,0.6066
174,0.6068
175,0.6074
176,0.608
177,0.6092
178,0.595
179,0.5974
180,0.607
181,0.6078
182,0.6074
183,0.608
184,0.6074
185,0.611
186,0.6086
187,0.6084
188,0.6104
189,0.6098
190,0.6112
191,0.6076
192,0.6098
193,0.6116
194,0.6242
195,0.626
196,0.6288
197,0.6274
198,0.628
199,0.6242
200,0.625
201,0.627
202,0.6274
203,0.6272
204,0.6262
205,0.6274
206,0.6264
207,0.6258
208,0.6272
209,0.6284
210,0.6262
211,0.6264
212,0.6248
213,0.6338
214,0.6312
215,0.6342
216,0.6352
217,0.6358
218,0.6364
219,0.6344
220,0.6334
221,0.6324
222,0.6316
223,0.6306
224,0.6314
225,0.6326
226,0.6334
227,0.639
228,0.635
229,0.6308
230,0.63
231,0.63
232,0.6308
233,0.6336
234,0.6332
235,0.6316
236,0.6322
237,0.6314
238,0.6322
239,0.6324
240,0.631
241,0.637
242,0.6374
243,0.6384
244,0.6462
245,0.6454
246,0.6484
247,0.6462
248,0.6528
249,0.6518
250,0.6504
251,0.6512
252,0.6504
253,0.6492
254,0.6492
255,0.649
256,0.6478
257,0.6476
258,0.6478
259,0.6498
260,0.6492
261,0.6484
262,0.6474
263,0.6454
264,0.6486
265,0.647
266,0.6472
267,0.6474
268,0.6492
269,0.648
270,0.6478
271,0.6482
272,0.642
273,0.64
274,0.6398
275,0.635
276,0.6362
277,0.6408
278,0.6398
279,0.6416
280,0.6418
281,0.641
282,0.641
283,0.64
284,0.6404
285,0.6404
286,0.6398
287,0.6384
288,0.6392
289,0.6378
290,0.6372
291,0.636
292,0.6352
293,0.6302
294,0.6304
295,0.631
296,0.6292
297,0.6268
298,0.6268
299,0.6272
300,0.628
301,0.628
302,0.628
303,0.628
304,0.6282
305,0.6282
306,0.628
307,0.634
308,0.6336
309,0.6336
310,0.6334
311,0.633
312,0.6338
313,0.6334
314,0.6322
315,0.6342
316,0.6338
317,0.6332
318,0.6348
319,0.6374
320,0.638
321,0.6392
322,0.6392
323,0.6368
324,0.6404
325,0.6436
326,0.6418
327,0.6526
328,0.653
329,0.654
330,0.654
331,0.6536
332,0.6518
333,0.652
334,0.654
335,0.6514
336,0.6524
337,0.6554
338,0.6544
339,0.6546
340,0.655
341,0.6562
342,0.6552
343,0.6544
344,0.6556
345,0.6556
346,0.6556
347,0.6556
348,0.6564
349,0.653
350,0.659
351,0.6588
352,0.658
353,0.6574
354,0.6616
355,0.6616
356,0.6612
357,0.6594
358,0.6602
359,0.6602
360,0.6586
361,0.6594
362,0.6596
363,0.659
364,0.6622
365,0.6612
366,0.6612
367,0.661
