,1
0,0.2434
1,0.2552
2,0.2492
3,0.2546
4,0.2552
5,0.263
6,0.2898
7,0.2932
8,0.3046
9,0.315
10,0.3212
11,0.345
12,0.3422
13,0.354
14,0.355
15,0.354
16,0.3588
17,0.3724
18,0.382
19,0.3852
20,0.3882
21,0.3922
22,0.3932
23,0.3778
24,0.3926
25,0.3908
26,0.4044
27,0.4214
28,0.4214
29,0.426
30,0.4292
31,0.4352
32,0.4394
33,0.4424
34,0.46
35,0.459
36,0.4666
37,0.4726
38,0.4746
39,0.4708
40,0.468
41,0.4724
42,0.48
43,0.479
44,0.4798
45,0.4798
46,0.4814
47,0.4896
48,0.4918
49,0.4928
50,0.498
51,0.4972
52,0.5018
53,0.5066
54,0.514
55,0.5108
56,0.5136
57,0.5172
58,0.5186
59,0.5214
60,0.5264
61,0.527
62,0.5254
63,0.5238
64,0.529
65,0.532
66,0.5336
67,0.5378
68,0.5418
69,0.548
70,0.5482
71,0.5502
72,0.5422
73,0.548
74,0.5508
75,0.5524
76,0.5554
77,0.557
78,0.5574
79,0.5588
80,0.5582
81,0.5626
82,0.5656
83,0.5666
84,0.5684
85,0.573
86,0.575
87,0.5746
88,0.576
89,0.5786
90,0.5716
91,0.5692
92,0.5688
93,0.57
94,0.5716
95,0.5746
96,0.58
97,0.5842
98,0.5818
99,0.5822
100,0.5864
101,0.5912
102,0.5956
103,0.5928
104,0.5934
105,0.5836
106,0.586
107,0.5898
108,0.592
109,0.5934
110,0.5926
111,0.5958
112,0.5972
113,0.6022
114,0.5986
115,0.596
116,0.5968
117,0.599
118,0.5966
119,0.6034
120,0.6086
121,0.609
122,0.611
123,0.6118
124,0.607
125,0.6074
126,0.6076
127,0.6086
128,0.609
129,0.6098
130,0.6152
131,0.6152
132,0.6104
133,0.616
134,0.6124
135,0.6134
136,0.6118
137,0.6152
138,0.6196
139,0.621
140,0.6248
141,0.6268
142,0.6266
143,0.6248
144,0.6262
145,0.6246
146,0.6274
147,0.627
148,0.6296
149,0.6308
150,0.6312
151,0.633
152,0.6324
153,0.6324
154,0.632
155,0.6318
156,0.6278
157,0.6272
158,0.6278
159,0.6292
160,0.6262
161,0.6302
162,0.6294
163,0.6298
164,0.6326
165,0.6336
166,0.633
167,0.638
168,0.637
169,0.6348
170,0.6342
171,0.6328
172,0.6364
173,0.633
174,0.6342
175,0.6356
176,0.6362
177,0.637
178,0.6354
179,0.636
180,0.6294
181,0.6314
182,0.6332
183,0.6404
184,0.6394
185,0.6428
186,0.6426
187,0.6436
188,0.642
189,0.646
190,0.648
191,0.652
192,0.6494
193,0.6498
194,0.6476
195,0.647
196,0.6474
197,0.6472
198,0.647
199,0.6472
200,0.6478
201,0.6488
202,0.6494
203,0.6512
204,0.6528
205,0.6544
206,0.6558
207,0.6532
208,0.654
209,0.6552
210,0.6562
211,0.6572
212,0.655
213,0.6536
214,0.6522
215,0.654
216,0.6552
217,0.6572
218,0.6566
219,0.6578
220,0.657
221,0.6598
222,0.6588
223,0.6654
224,0.6664
225,0.6672
226,0.6644
227,0.6676
228,0.6712
229,0.6722
230,0.6706
231,0.6696
232,0.6752
233,0.6764
234,0.6728
235,0.673
236,0.673
237,0.6778
238,0.6758
239,0.6768
240,0.6786
241,0.6784
242,0.6792
243,0.679
244,0.6852
245,0.6854
246,0.686
247,0.6852
248,0.685
249,0.6834
250,0.6844
251,0.6846
252,0.682
253,0.6832
254,0.6832
255,0.6844
256,0.6834
257,0.6826
258,0.685
259,0.6864
260,0.6888
261,0.6884
262,0.6906
263,0.69
264,0.691
265,0.69
266,0.6898
267,0.6886
268,0.6876
269,0.6888
270,0.6886
271,0.6898
272,0.6898
273,0.6896
274,0.6922
275,0.6912
276,0.6902
277,0.6908
278,0.6914
279,0.6886
280,0.6882
281,0.6878
282,0.6922
283,0.6916
284,0.6896
285,0.6882
286,0.6898
287,0.6916
288,0.6908
289,0.6926
290,0.6924
291,0.6914
292,0.6944
293,0.6944
294,0.6966
295,0.6986
296,0.7016
297,0.7006
298,0.6994
299,0.702
300,0.7032
301,0.7016
302,0.7016
303,0.7016
304,0.7004
305,0.7036
306,0.7018
307,0.7012
308,0.7016
309,0.7
310,0.6988
311,0.6988
312,0.6982
313,0.6956
314,0.6964
315,0.696
316,0.6982
317,0.6996
318,0.6984
319,0.6966
320,0.698
321,0.6974
322,0.694
323,0.6956
324,0.6974
325,0.6978
326,0.6958
327,0.697
328,0.6986
329,0.6998
330,0.7004
331,0.7016
332,0.7054
333,0.7044
334,0.7026
335,0.703
336,0.703
337,0.704
338,0.7048
339,0.7048
340,0.7038
341,0.7032
342,0.7046
343,0.7036
344,0.7024
345,0.7036
346,0.7024
347,0.7016
348,0.6998
349,0.6996
350,0.6994
351,0.7004
352,0.6992
353,0.7004
354,0.702
355,0.7024
356,0.704
357,0.706
358,0.7044
359,0.7042
360,0.7052
361,0.7062
362,0.704
363,0.7024
364,0.7036
365,0.7018
366,0.7022
367,0.7038
368,0.703
369,0.7034
370,0.7036
371,0.702
372,0.7016
373,0.7008
374,0.6992
375,0.6998
376,0.7026
377,0.702
378,0.703
379,0.7026
380,0.7012
381,0.7004
382,0.6996
383,0.6992
384,0.699
385,0.6978
386,0.6984
387,0.6992
388,0.7004
389,0.6998
390,0.6978
391,0.6992
392,0.6982
393,0.6978
394,0.6984
395,0.7014
396,0.7002
397,0.7022
398,0.7022
399,0.702
400,0.702
401,0.7014
402,0.7054
403,0.7042
404,0.704
405,0.7042
406,0.705
407,0.7054
408,0.7078
409,0.7098
410,0.7102
411,0.712
412,0.7116
413,0.7132
414,0.7116
415,0.7116
416,0.7102
417,0.7106
418,0.7102
419,0.7108
420,0.7112
421,0.7124
422,0.7134
423,0.7134
424,0.713
425,0.7102
426,0.7088
427,0.7096
428,0.7116
429,0.7152
430,0.715
431,0.7138
432,0.715
433,0.7146
434,0.7158
435,0.7164
436,0.7148
437,0.714
438,0.7154
439,0.716
440,0.7138
441,0.7158
442,0.7168
443,0.718
444,0.7158
445,0.7158
446,0.718
447,0.7182
448,0.717
449,0.7176
450,0.7188
