,1
0,0.232
1,0.164
2,0.139
3,0.14
4,0.14
5,0.145
6,0.152
7,0.167
8,0.175
9,0.321
10,0.317
11,0.354
12,0.347
13,0.334
14,0.362
15,0.367
16,0.375
17,0.386
18,0.385
19,0.384
20,0.407
21,0.406
22,0.397
23,0.399
24,0.393
25,0.429
26,0.436
27,0.437
28,0.456
29,0.454
30,0.456
31,0.48
32,0.479
33,0.476
34,0.474
35,0.475
36,0.477
37,0.48
38,0.479
39,0.512
40,0.528
41,0.539
42,0.543
43,0.534
44,0.534
45,0.53
46,0.528
47,0.528
48,0.532
49,0.557
50,0.56
51,0.559
52,0.549
53,0.543
54,0.548
55,0.554
56,0.561
57,0.549
58,0.543
59,0.545
60,0.558
61,0.555
62,0.548
63,0.548
64,0.551
65,0.549
66,0.549
67,0.544
68,0.547
69,0.551
70,0.564
71,0.561
72,0.558
73,0.557
74,0.544
75,0.555
76,0.549
77,0.549
78,0.56
79,0.562
80,0.562
81,0.569
82,0.567
83,0.556
84,0.564
85,0.572
86,0.573
87,0.565
88,0.571
89,0.563
90,0.578
91,0.572
92,0.579
93,0.586
94,0.586
95,0.593
96,0.595
97,0.59
98,0.595
99,0.594
100,0.586
101,0.595
102,0.592
103,0.592
104,0.595
105,0.605
106,0.597
107,0.611
108,0.608
109,0.602
110,0.61
111,0.606
112,0.613
113,0.613
114,0.605
115,0.615
116,0.617
117,0.618
118,0.616
119,0.619
120,0.62
121,0.622
122,0.62
123,0.625
124,0.624
125,0.624
126,0.62
127,0.622
128,0.632
129,0.629
130,0.63
131,0.635
132,0.634
133,0.632
134,0.636
135,0.638
136,0.64
137,0.639
138,0.643
139,0.643
140,0.641
141,0.647
142,0.645
143,0.645
144,0.645
145,0.646
146,0.644
147,0.643
148,0.649
149,0.646
150,0.655
151,0.661
152,0.656
153,0.654
154,0.66
155,0.655
156,0.654
157,0.662
158,0.661
159,0.662
160,0.661
161,0.663
162,0.658
163,0.669
164,0.675
165,0.672
166,0.67
167,0.673
168,0.67
169,0.666
170,0.671
171,0.675
172,0.672
173,0.673
174,0.673
175,0.674
176,0.675
177,0.675
178,0.673
179,0.678
180,0.68
181,0.675
182,0.675
183,0.679
184,0.682
185,0.687
186,0.693
187,0.692
188,0.692
189,0.691
190,0.694
191,0.695
192,0.696
193,0.693
194,0.698
195,0.694
196,0.694
197,0.694
198,0.693
199,0.7
200,0.702
201,0.705
202,0.702
203,0.698
204,0.705
205,0.705
206,0.707
207,0.706
208,0.709
209,0.709
210,0.707
211,0.707
212,0.704
213,0.71
214,0.709
215,0.711
216,0.712
217,0.714
218,0.709
219,0.71
220,0.712
221,0.709
222,0.709
223,0.716
224,0.713
225,0.712
226,0.715
227,0.713
228,0.715
229,0.712
230,0.717
231,0.713
232,0.714
233,0.716
234,0.716
235,0.714
236,0.716
237,0.719
238,0.719
239,0.718
240,0.718
241,0.719
242,0.724
243,0.716
244,0.719
245,0.721
246,0.721
247,0.719
248,0.723
249,0.721
250,0.718
251,0.722
252,0.722
253,0.72
254,0.723
255,0.724
256,0.726
257,0.726
258,0.727
259,0.724
260,0.725
261,0.727
262,0.729
263,0.729
264,0.728
265,0.73
266,0.73
267,0.73
268,0.727
269,0.731
270,0.732
271,0.732
272,0.732
273,0.73
274,0.732
275,0.731
276,0.733
277,0.731
278,0.732
279,0.735
280,0.733
281,0.739
282,0.733
283,0.738
284,0.74
285,0.739
286,0.739
287,0.738
288,0.736
289,0.739
290,0.738
291,0.741
292,0.746
293,0.739
294,0.744
295,0.742
296,0.742
297,0.741
298,0.742
299,0.744
300,0.743
301,0.741
302,0.745
303,0.739
304,0.75
305,0.744
306,0.747
307,0.749
308,0.75
309,0.748
310,0.749
311,0.753
312,0.753
313,0.753
314,0.751
315,0.751
316,0.753
317,0.752
318,0.752
319,0.753
320,0.752
321,0.752
322,0.754
323,0.753
324,0.757
325,0.754
326,0.757
327,0.754
328,0.755
329,0.754
330,0.753
331,0.753
332,0.757
333,0.754
334,0.752
335,0.757
336,0.755
337,0.755
338,0.756
339,0.754
340,0.756
341,0.754
342,0.757
343,0.757
344,0.756
345,0.756
346,0.757
347,0.753
348,0.759
349,0.759
350,0.757
