,1
0,0.149
1,0.152
2,0.158
3,0.163
4,0.161
5,0.157
6,0.141
7,0.139
8,0.142
9,0.142
10,0.143
11,0.153
12,0.165
13,0.175
14,0.179
15,0.18
16,0.186
17,0.205
18,0.212
19,0.221
20,0.223
21,0.242
22,0.241
23,0.247
24,0.247
25,0.244
26,0.243
27,0.257
28,0.259
29,0.257
30,0.255
31,0.253
32,0.25
33,0.254
34,0.259
35,0.274
36,0.29
37,0.294
38,0.299
39,0.296
40,0.291
41,0.298
42,0.295
43,0.29
44,0.297
45,0.304
46,0.308
47,0.313
48,0.314
49,0.32
50,0.319
51,0.319
52,0.321
53,0.325
54,0.328
55,0.309
56,0.305
57,0.311
58,0.323
59,0.316
60,0.318
61,0.327
62,0.315
63,0.307
64,0.304
65,0.311
66,0.321
67,0.345
68,0.358
69,0.367
70,0.375
71,0.377
72,0.378
73,0.38
74,0.363
75,0.362
76,0.371
77,0.38
78,0.395
79,0.394
80,0.39
81,0.383
82,0.386
83,0.385
84,0.394
85,0.389
86,0.385
87,0.386
88,0.39
89,0.389
90,0.393
91,0.396
92,0.397
93,0.403
94,0.408
95,0.407
96,0.409
97,0.403
98,0.396
99,0.399
100,0.399
101,0.398
102,0.401
103,0.395
104,0.402
105,0.43
106,0.438
107,0.44
108,0.452
109,0.45
110,0.444
111,0.434
112,0.441
113,0.439
114,0.429
115,0.421
116,0.429
117,0.433
118,0.447
119,0.451
120,0.456
121,0.453
122,0.451
123,0.442
124,0.457
125,0.46
126,0.463
127,0.47
128,0.475
129,0.477
130,0.482
131,0.489
132,0.478
133,0.48
134,0.486
135,0.49
136,0.489
137,0.486
138,0.486
139,0.48
140,0.484
141,0.484
142,0.474
143,0.473
144,0.475
145,0.475
146,0.475
147,0.473
148,0.481
149,0.478
150,0.485
151,0.486
152,0.482
153,0.487
154,0.48
155,0.491
156,0.491
157,0.487
158,0.495
159,0.499
160,0.504
161,0.499
162,0.497
163,0.493
164,0.491
165,0.49
166,0.506
167,0.499
168,0.502
169,0.502
170,0.482
171,0.493
172,0.498
173,0.501
174,0.499
175,0.498
176,0.5
177,0.509
178,0.509
179,0.512
180,0.514
181,0.522
182,0.515
183,0.522
184,0.523
185,0.511
186,0.519
187,0.523
188,0.53
189,0.534
190,0.528
191,0.528
192,0.533
193,0.533
194,0.538
195,0.54
196,0.536
197,0.533
198,0.532
199,0.54
200,0.542
201,0.538
202,0.535
203,0.533
204,0.538
205,0.529
206,0.534
207,0.541
208,0.541
209,0.547
210,0.547
211,0.549
212,0.552
213,0.548
214,0.548
215,0.535
216,0.542
217,0.554
218,0.553
219,0.553
220,0.548
221,0.55
222,0.549
223,0.548
224,0.559
225,0.546
226,0.559
227,0.565
228,0.57
229,0.561
230,0.571
231,0.571
232,0.588
233,0.588
234,0.586
235,0.59
236,0.59
237,0.586
238,0.582
239,0.583
240,0.587
241,0.588
242,0.584
243,0.58
244,0.581
245,0.582
246,0.588
247,0.589
248,0.586
249,0.587
250,0.586
251,0.591
252,0.591
253,0.596
254,0.593
255,0.586
256,0.589
257,0.587
258,0.586
259,0.588
260,0.598
261,0.598
262,0.601
263,0.585
264,0.596
265,0.6
266,0.6
267,0.598
268,0.598
269,0.593
270,0.591
271,0.6
272,0.599
273,0.595
274,0.585
275,0.593
276,0.589
277,0.585
278,0.582
279,0.59
280,0.592
281,0.592
282,0.597
283,0.595
284,0.588
285,0.577
286,0.594
287,0.596
288,0.597
289,0.599
290,0.597
291,0.599
292,0.6
293,0.606
294,0.574
295,0.595
296,0.602
297,0.605
298,0.611
299,0.614
300,0.616
301,0.61
302,0.596
303,0.606
304,0.613
305,0.605
306,0.608
307,0.606
308,0.595
309,0.601
310,0.597
311,0.609
312,0.602
313,0.598
314,0.602
315,0.6
316,0.6
317,0.606
318,0.614
319,0.612
320,0.611
321,0.61
322,0.613
323,0.618
324,0.617
325,0.61
326,0.615
327,0.623
328,0.618
329,0.621
330,0.62
331,0.621
332,0.618
333,0.629
334,0.622
335,0.622
336,0.621
337,0.626
338,0.624
339,0.619
340,0.625
341,0.623
342,0.624
343,0.623
344,0.624
345,0.621
346,0.625
347,0.626
348,0.62
349,0.617
350,0.619
351,0.618
352,0.619
353,0.622
354,0.637
355,0.636
356,0.632
357,0.617
358,0.61
359,0.624
360,0.628
361,0.633
362,0.629
363,0.63
364,0.642
365,0.636
366,0.635
367,0.641
368,0.638
369,0.636
370,0.638
371,0.635
372,0.635
373,0.64
374,0.643
375,0.637
376,0.638
377,0.634
378,0.632
379,0.616
380,0.634
381,0.633
382,0.643
383,0.638
384,0.637
385,0.635
386,0.636
387,0.63
388,0.643
389,0.639
390,0.631
391,0.624
392,0.631
393,0.629
394,0.63
395,0.631
396,0.637
397,0.632
398,0.63
399,0.63
400,0.632
401,0.627
402,0.636
403,0.635
404,0.631
405,0.63
406,0.638
407,0.641
408,0.643
409,0.642
410,0.634
411,0.643
412,0.642
413,0.651
414,0.65
415,0.65
416,0.649
417,0.65
418,0.655
419,0.648
420,0.647
421,0.654
422,0.655
423,0.647
424,0.651
425,0.65
426,0.65
427,0.641
428,0.644
429,0.643
430,0.633
431,0.643
432,0.643
433,0.636
434,0.641
435,0.64
436,0.641
437,0.643
438,0.654
439,0.646
440,0.646
441,0.645
442,0.642
443,0.643
444,0.645
445,0.647
446,0.65
447,0.651
448,0.653
449,0.647
450,0.653
451,0.657
452,0.66
453,0.663
454,0.665
455,0.67
456,0.67
457,0.675
458,0.669
459,0.672
460,0.667
461,0.669
462,0.658
463,0.667
464,0.67
465,0.665
466,0.666
467,0.662
468,0.663
469,0.657
470,0.665
471,0.665
472,0.664
473,0.663
474,0.674
475,0.676
476,0.678
477,0.682
478,0.684
479,0.681
480,0.685
481,0.663
482,0.661
483,0.665
484,0.662
485,0.666
486,0.669
487,0.667
488,0.657
489,0.667
490,0.668
491,0.669
492,0.668
493,0.668
494,0.667
495,0.667
496,0.652
497,0.657
498,0.666
499,0.67
500,0.662
