,1
0,0.155
1,0.16
2,0.158
3,0.156
4,0.151
5,0.166
6,0.178
7,0.189
8,0.191
9,0.197
10,0.194
11,0.208
12,0.206
13,0.223
14,0.226
15,0.231
16,0.263
17,0.264
18,0.274
19,0.278
20,0.286
21,0.292
22,0.285
23,0.265
24,0.258
25,0.258
26,0.256
27,0.258
28,0.263
29,0.257
30,0.265
31,0.267
32,0.272
33,0.28
34,0.271
35,0.271
36,0.267
37,0.271
38,0.269
39,0.293
40,0.317
41,0.322
42,0.323
43,0.323
44,0.334
45,0.34
46,0.337
47,0.339
48,0.34
49,0.365
50,0.371
51,0.368
52,0.364
53,0.366
54,0.366
55,0.354
56,0.372
57,0.374
58,0.37
59,0.37
60,0.373
61,0.381
62,0.38
63,0.399
64,0.396
65,0.392
66,0.384
67,0.389
68,0.384
69,0.381
70,0.388
71,0.393
72,0.394
73,0.393
74,0.385
75,0.415
76,0.419
77,0.418
78,0.424
79,0.413
80,0.422
81,0.416
82,0.419
83,0.419
84,0.426
85,0.417
86,0.416
87,0.43
88,0.44
89,0.444
90,0.44
91,0.44
92,0.457
93,0.456
94,0.457
95,0.454
96,0.451
97,0.452
98,0.473
99,0.469
100,0.467
101,0.471
102,0.462
103,0.461
104,0.454
105,0.443
106,0.492
107,0.49
108,0.489
109,0.483
110,0.477
111,0.475
112,0.469
113,0.468
114,0.463
115,0.475
116,0.479
117,0.473
118,0.473
119,0.489
120,0.493
121,0.491
122,0.497
123,0.495
124,0.495
125,0.491
126,0.493
127,0.492
128,0.499
129,0.499
130,0.498
131,0.495
132,0.5
133,0.499
134,0.5
135,0.506
136,0.509
137,0.506
138,0.5
139,0.497
140,0.494
141,0.492
142,0.5
143,0.501
144,0.506
145,0.512
146,0.51
147,0.511
148,0.503
149,0.5
150,0.497
151,0.514
152,0.51
153,0.51
154,0.52
155,0.52
156,0.531
157,0.537
158,0.525
159,0.51
160,0.505
161,0.525
162,0.514
163,0.517
164,0.524
165,0.532
166,0.531
167,0.533
168,0.53
169,0.529
170,0.523
171,0.528
172,0.527
173,0.526
174,0.521
175,0.544
176,0.539
177,0.535
178,0.533
179,0.548
180,0.543
181,0.557
182,0.554
183,0.57
184,0.568
185,0.566
186,0.57
187,0.568
188,0.554
189,0.561
190,0.564
191,0.564
192,0.554
193,0.547
194,0.539
195,0.548
196,0.553
197,0.559
198,0.566
199,0.566
200,0.566
201,0.574
202,0.566
203,0.573
204,0.573
205,0.569
206,0.561
207,0.559
208,0.561
209,0.561
210,0.562
211,0.568
212,0.561
213,0.554
214,0.56
215,0.571
216,0.576
217,0.574
218,0.576
219,0.585
220,0.581
221,0.578
222,0.578
223,0.58
224,0.568
225,0.572
226,0.576
227,0.573
228,0.57
229,0.578
230,0.58
231,0.576
232,0.593
233,0.591
234,0.597
235,0.594
236,0.595
237,0.589
238,0.585
239,0.589
240,0.588
241,0.593
242,0.596
243,0.6
244,0.589
245,0.584
246,0.586
247,0.589
248,0.589
249,0.589
250,0.596
251,0.602
252,0.609
253,0.601
254,0.61
255,0.6
256,0.597
257,0.592
258,0.606
259,0.606
260,0.6
261,0.597
262,0.603
263,0.599
264,0.603
265,0.605
266,0.595
267,0.605
268,0.594
269,0.615
270,0.607
271,0.606
272,0.617
273,0.614
274,0.605
275,0.61
276,0.607
277,0.587
278,0.596
279,0.607
280,0.59
281,0.619
282,0.619
283,0.623
284,0.617
285,0.622
286,0.628
287,0.628
288,0.629
289,0.623
290,0.631
291,0.626
292,0.637
293,0.633
294,0.63
295,0.62
296,0.606
297,0.621
298,0.634
299,0.629
300,0.626
301,0.624
302,0.636
303,0.633
304,0.629
305,0.618
306,0.616
307,0.619
308,0.609
309,0.62
310,0.616
311,0.625
312,0.634
313,0.628
314,0.634
315,0.636
316,0.626
317,0.639
318,0.632
319,0.631
320,0.635
321,0.618
322,0.622
323,0.62
324,0.631
325,0.626
326,0.635
327,0.623
328,0.633
329,0.627
330,0.64
331,0.635
332,0.638
333,0.633
334,0.616
335,0.645
336,0.648
337,0.652
338,0.651
339,0.662
340,0.66
341,0.661
342,0.646
343,0.641
344,0.652
345,0.651
346,0.647
347,0.648
348,0.631
349,0.651
350,0.646
351,0.645
352,0.64
353,0.641
354,0.655
355,0.656
356,0.651
357,0.656
358,0.663
359,0.664
360,0.668
361,0.668
362,0.664
363,0.664
364,0.657
365,0.658
366,0.663
367,0.665
368,0.656
369,0.655
370,0.664
371,0.671
372,0.663
373,0.665
374,0.668
375,0.66
376,0.664
377,0.663
378,0.661
379,0.674
380,0.662
381,0.672
382,0.665
383,0.664
384,0.662
385,0.669
386,0.661
387,0.67
388,0.651
389,0.659
390,0.664
391,0.658
392,0.666
393,0.671
394,0.671
395,0.663
396,0.658
397,0.651
398,0.659
399,0.661
400,0.662
401,0.674
402,0.663
403,0.667
404,0.667
405,0.667
406,0.663
407,0.667
408,0.671
409,0.675
410,0.676
411,0.672
412,0.669
413,0.673
414,0.672
415,0.662
416,0.667
417,0.674
418,0.668
419,0.666
420,0.671
421,0.676
422,0.677
423,0.674
424,0.678
425,0.671
426,0.67
427,0.652
428,0.655
429,0.664
430,0.664
431,0.665
432,0.662
433,0.661
434,0.663
435,0.665
436,0.677
437,0.67
438,0.664
439,0.669
440,0.664
441,0.668
442,0.67
443,0.671
444,0.661
445,0.671
446,0.673
447,0.664
448,0.672
449,0.669
450,0.673
451,0.665
452,0.658
453,0.662
454,0.675
455,0.668
456,0.677
457,0.672
458,0.674
459,0.678
460,0.675
461,0.676
462,0.684
463,0.679
464,0.675
465,0.674
466,0.676
467,0.674
468,0.676
469,0.678
470,0.674
471,0.67
472,0.673
473,0.669
474,0.675
475,0.679
476,0.675
477,0.668
478,0.674
479,0.659
480,0.673
481,0.672
482,0.681
483,0.68
484,0.68
485,0.676
486,0.676
487,0.686
488,0.68
489,0.683
490,0.679
491,0.676
492,0.678
493,0.679
494,0.681
495,0.676
496,0.681
497,0.68
498,0.689
499,0.685
500,0.677
