,1
0,0.087
1,0.085
2,0.089
3,0.092
4,0.104
5,0.124
6,0.137
7,0.138
8,0.147
9,0.147
10,0.151
11,0.152
12,0.154
13,0.153
14,0.164
15,0.18
16,0.18
17,0.183
18,0.174
19,0.179
20,0.188
21,0.187
22,0.204
23,0.212
24,0.217
25,0.221
26,0.227
27,0.228
28,0.232
29,0.231
30,0.242
31,0.242
32,0.245
33,0.248
34,0.248
35,0.244
36,0.24
37,0.243
38,0.244
39,0.247
40,0.276
41,0.274
42,0.282
43,0.282
44,0.278
45,0.265
46,0.268
47,0.269
48,0.262
49,0.258
50,0.26
51,0.296
52,0.293
53,0.298
54,0.3
55,0.299
56,0.302
57,0.303
58,0.319
59,0.323
60,0.325
61,0.331
62,0.338
63,0.331
64,0.331
65,0.337
66,0.332
67,0.336
68,0.338
69,0.327
70,0.326
71,0.323
72,0.32
73,0.314
74,0.312
75,0.362
76,0.359
77,0.366
78,0.376
79,0.403
80,0.404
81,0.405
82,0.403
83,0.404
84,0.4
85,0.412
86,0.418
87,0.411
88,0.41
89,0.425
90,0.427
91,0.422
92,0.423
93,0.42
94,0.418
95,0.423
96,0.428
97,0.422
98,0.418
99,0.415
100,0.443
101,0.465
102,0.454
103,0.46
104,0.46
105,0.462
106,0.465
107,0.467
108,0.477
109,0.478
110,0.48
111,0.482
112,0.497
113,0.508
114,0.508
115,0.502
116,0.505
117,0.508
118,0.497
119,0.495
120,0.482
121,0.501
122,0.491
123,0.486
124,0.487
125,0.483
126,0.49
127,0.488
128,0.485
129,0.488
130,0.489
131,0.483
132,0.478
133,0.491
134,0.494
135,0.499
136,0.502
137,0.5
138,0.496
139,0.497
140,0.507
141,0.51
142,0.519
143,0.514
144,0.519
145,0.52
146,0.523
147,0.514
148,0.523
149,0.514
150,0.51
151,0.513
152,0.516
153,0.526
154,0.52
155,0.515
156,0.513
157,0.517
158,0.52
159,0.52
160,0.518
161,0.509
162,0.546
163,0.538
164,0.521
165,0.523
166,0.53
167,0.524
168,0.522
169,0.529
170,0.531
171,0.538
172,0.537
173,0.538
174,0.535
175,0.53
176,0.541
177,0.538
178,0.535
179,0.535
180,0.561
181,0.564
182,0.565
183,0.568
184,0.569
185,0.56
186,0.559
187,0.559
188,0.562
189,0.562
190,0.562
191,0.563
192,0.564
193,0.561
194,0.551
195,0.546
196,0.549
197,0.564
198,0.563
199,0.565
200,0.558
201,0.559
202,0.565
203,0.555
204,0.558
205,0.566
206,0.562
207,0.572
208,0.579
209,0.575
210,0.585
211,0.581
212,0.573
213,0.574
214,0.584
215,0.579
216,0.577
217,0.584
218,0.59
219,0.584
220,0.59
221,0.583
222,0.574
223,0.576
224,0.573
225,0.561
226,0.606
227,0.606
228,0.603
229,0.601
230,0.6
231,0.605
232,0.605
233,0.615
234,0.612
235,0.609
236,0.604
237,0.601
238,0.602
239,0.6
240,0.598
241,0.596
242,0.596
243,0.603
244,0.6
245,0.594
246,0.604
247,0.605
248,0.604
249,0.606
250,0.607
251,0.61
252,0.613
253,0.614
254,0.617
255,0.614
256,0.622
257,0.619
258,0.624
259,0.606
260,0.606
261,0.61
262,0.615
263,0.609
264,0.607
265,0.612
266,0.606
267,0.603
268,0.597
269,0.6
270,0.603
271,0.615
272,0.611
273,0.601
274,0.615
275,0.616
276,0.612
277,0.614
278,0.614
279,0.621
280,0.625
281,0.619
282,0.624
283,0.625
284,0.626
285,0.633
286,0.634
287,0.628
288,0.626
289,0.62
290,0.632
291,0.632
292,0.638
293,0.631
294,0.619
295,0.64
296,0.638
297,0.635
298,0.635
299,0.631
300,0.629
301,0.624
302,0.64
303,0.648
304,0.65
305,0.64
306,0.647
307,0.644
308,0.644
309,0.648
310,0.656
311,0.656
312,0.651
313,0.651
314,0.643
315,0.65
316,0.645
317,0.651
318,0.649
319,0.646
320,0.645
321,0.655
322,0.649
323,0.646
324,0.651
325,0.651
326,0.659
327,0.659
328,0.662
329,0.664
330,0.657
331,0.655
332,0.651
333,0.65
334,0.655
335,0.651
336,0.652
337,0.654
338,0.671
339,0.673
340,0.668
341,0.657
342,0.667
343,0.656
344,0.673
345,0.665
346,0.664
347,0.665
348,0.675
349,0.676
350,0.669
351,0.674
352,0.675
353,0.675
354,0.678
355,0.678
356,0.678
357,0.675
358,0.684
359,0.675
360,0.673
361,0.67
362,0.669
363,0.67
364,0.672
365,0.664
366,0.665
367,0.667
368,0.672
369,0.673
370,0.673
371,0.672
372,0.677
373,0.676
374,0.673
375,0.678
376,0.677
377,0.677
378,0.674
379,0.676
380,0.679
381,0.68
382,0.679
383,0.672
384,0.665
385,0.682
386,0.687
387,0.687
388,0.677
389,0.684
390,0.678
391,0.684
392,0.689
393,0.683
394,0.685
395,0.669
396,0.674
397,0.679
398,0.672
399,0.682
400,0.685
401,0.687
402,0.683
403,0.674
404,0.677
405,0.683
406,0.678
407,0.693
408,0.691
409,0.695
410,0.694
411,0.685
412,0.688
413,0.69
414,0.692
415,0.698
416,0.711
417,0.706
418,0.71
419,0.688
420,0.697
421,0.699
422,0.683
423,0.687
424,0.689
425,0.684
426,0.692
427,0.695
428,0.694
429,0.696
430,0.692
431,0.692
432,0.69
433,0.686
434,0.689
435,0.692
436,0.687
437,0.69
438,0.681
439,0.684
440,0.684
441,0.688
442,0.686
443,0.684
444,0.686
445,0.681
446,0.677
447,0.679
448,0.677
449,0.695
450,0.693
451,0.693
452,0.689
453,0.696
454,0.688
455,0.691
456,0.694
457,0.689
458,0.697
459,0.697
460,0.691
461,0.687
462,0.682
463,0.687
464,0.68
465,0.689
466,0.688
467,0.691
468,0.685
469,0.696
470,0.686
471,0.686
472,0.695
473,0.695
474,0.698
475,0.695
476,0.69
477,0.693
478,0.694
479,0.697
480,0.698
481,0.698
482,0.703
483,0.688
484,0.695
485,0.695
486,0.698
487,0.701
488,0.703
489,0.705
490,0.704
491,0.699
492,0.691
493,0.692
494,0.691
495,0.686
496,0.696
497,0.703
498,0.688
499,0.693
500,0.699
