,1
0,0.249
1,0.163
2,0.117
3,0.145
4,0.158
5,0.236
6,0.234
7,0.253
8,0.251
9,0.225
10,0.23
11,0.231
12,0.298
13,0.304
14,0.294
15,0.306
16,0.322
17,0.337
18,0.339
19,0.36
20,0.361
21,0.365
22,0.351
23,0.349
24,0.34
25,0.324
26,0.313
27,0.351
28,0.345
29,0.343
30,0.342
31,0.34
32,0.342
33,0.338
34,0.352
35,0.357
36,0.36
37,0.388
38,0.431
39,0.437
40,0.43
41,0.446
42,0.452
43,0.443
44,0.442
45,0.471
46,0.467
47,0.463
48,0.467
49,0.461
50,0.468
51,0.462
52,0.465
53,0.466
54,0.466
55,0.473
56,0.477
57,0.483
58,0.489
59,0.483
60,0.481
61,0.479
62,0.481
63,0.49
64,0.491
65,0.5
66,0.495
67,0.493
68,0.472
69,0.475
70,0.476
71,0.485
72,0.5
73,0.49
74,0.493
75,0.494
76,0.501
77,0.502
78,0.497
79,0.501
80,0.502
81,0.503
82,0.512
83,0.497
84,0.51
85,0.509
86,0.514
87,0.514
88,0.518
89,0.512
90,0.517
91,0.511
92,0.517
93,0.51
94,0.515
95,0.519
96,0.522
97,0.515
98,0.519
99,0.516
100,0.516
101,0.52
102,0.521
103,0.526
104,0.53
105,0.517
106,0.526
107,0.534
108,0.527
109,0.52
110,0.529
111,0.539
112,0.538
113,0.531
114,0.53
115,0.536
116,0.543
117,0.544
118,0.538
119,0.546
120,0.546
121,0.543
122,0.547
123,0.549
124,0.549
125,0.55
126,0.553
127,0.559
128,0.56
129,0.563
130,0.568
131,0.566
132,0.567
133,0.567
134,0.564
135,0.562
136,0.567
137,0.567
138,0.57
139,0.573
140,0.573
141,0.575
142,0.573
143,0.582
144,0.574
145,0.578
146,0.58
147,0.582
148,0.583
149,0.59
150,0.586
151,0.59
152,0.588
153,0.59
154,0.602
155,0.599
156,0.6
157,0.602
158,0.604
159,0.613
160,0.607
161,0.61
162,0.616
163,0.613
164,0.615
165,0.613
166,0.62
167,0.618
168,0.613
169,0.613
170,0.617
171,0.622
172,0.628
173,0.625
174,0.616
175,0.624
176,0.624
177,0.62
178,0.618
179,0.624
180,0.617
181,0.625
182,0.635
183,0.635
184,0.64
185,0.641
186,0.643
187,0.643
188,0.645
189,0.647
190,0.649
191,0.648
192,0.646
193,0.647
194,0.646
195,0.648
196,0.649
197,0.65
198,0.651
199,0.649
200,0.656
201,0.653
202,0.654
203,0.658
204,0.659
205,0.663
206,0.659
207,0.66
208,0.658
209,0.659
210,0.656
211,0.659
212,0.659
213,0.662
214,0.659
215,0.659
216,0.666
217,0.666
218,0.67
219,0.668
220,0.663
221,0.669
222,0.668
223,0.665
224,0.672
225,0.672
226,0.673
227,0.671
228,0.672
229,0.675
230,0.67
231,0.675
232,0.678
233,0.676
234,0.675
235,0.673
236,0.671
237,0.672
238,0.672
239,0.675
240,0.676
241,0.678
242,0.677
243,0.675
244,0.675
245,0.681
246,0.675
247,0.678
248,0.673
249,0.681
250,0.681
251,0.678
252,0.683
253,0.681
254,0.679
255,0.678
256,0.684
257,0.687
258,0.684
259,0.69
260,0.687
261,0.688
262,0.692
263,0.695
264,0.697
265,0.699
266,0.699
267,0.698
268,0.699
269,0.703
270,0.699
271,0.705
272,0.703
273,0.702
274,0.702
275,0.704
276,0.703
277,0.705
278,0.706
279,0.704
280,0.706
281,0.705
282,0.707
283,0.705
284,0.704
285,0.706
286,0.707
287,0.708
288,0.705
289,0.709
290,0.707
291,0.704
292,0.707
293,0.709
294,0.711
295,0.713
296,0.712
297,0.714
298,0.717
299,0.715
300,0.716
301,0.717
302,0.717
303,0.716
304,0.716
305,0.719
306,0.72
307,0.718
308,0.717
309,0.716
310,0.721
311,0.719
312,0.719
313,0.72
314,0.719
315,0.72
316,0.721
317,0.722
318,0.725
319,0.723
320,0.723
321,0.724
322,0.722
323,0.723
324,0.725
325,0.724
326,0.724
327,0.723
328,0.723
329,0.729
330,0.727
331,0.728
332,0.722
333,0.726
334,0.73
335,0.726
336,0.732
337,0.73
338,0.73
339,0.73
340,0.73
341,0.728
342,0.728
343,0.732
344,0.73
345,0.734
346,0.731
347,0.735
348,0.735
349,0.733
350,0.734
