,1
0,0.277
1,0.2804
2,0.2792
3,0.3024
4,0.305
5,0.309
6,0.3144
7,0.3204
8,0.322
9,0.3216
10,0.3304
11,0.3376
12,0.3432
13,0.3482
14,0.3524
15,0.36
16,0.3868
17,0.3952
18,0.408
19,0.4176
20,0.4284
21,0.4314
22,0.4358
23,0.4344
24,0.4354
25,0.4352
26,0.442
27,0.4454
28,0.4554
29,0.4572
30,0.4588
31,0.4586
32,0.463
33,0.4626
34,0.492
35,0.4942
36,0.5012
37,0.502
38,0.5052
39,0.505
40,0.505
41,0.506
42,0.509
43,0.5122
44,0.5132
45,0.5158
46,0.5166
47,0.5204
48,0.5282
49,0.5316
50,0.5338
51,0.5342
52,0.539
53,0.5444
54,0.5456
55,0.5466
56,0.547
57,0.5474
58,0.5494
59,0.549
60,0.551
61,0.553
62,0.558
63,0.5586
64,0.574
65,0.5744
66,0.5752
67,0.5754
68,0.5756
69,0.5758
70,0.5792
71,0.5794
72,0.5798
73,0.5826
74,0.5826
75,0.582
76,0.5842
77,0.582
78,0.5822
79,0.594
80,0.5974
81,0.5982
82,0.5982
83,0.598
84,0.6056
85,0.6054
86,0.6056
87,0.606
88,0.607
89,0.6148
90,0.6146
91,0.6166
92,0.6174
93,0.6202
94,0.624
95,0.6256
96,0.6256
97,0.6254
98,0.6256
99,0.6256
100,0.6258
101,0.6256
102,0.6338
103,0.6342
104,0.6428
105,0.643
106,0.644
107,0.644
108,0.6442
109,0.6442
110,0.644
111,0.6448
112,0.6458
113,0.6478
114,0.6468
115,0.6472
116,0.647
117,0.6482
118,0.6478
119,0.648
120,0.6492
121,0.6498
122,0.65
123,0.6504
124,0.6502
125,0.6534
126,0.6532
127,0.6538
128,0.6586
129,0.659
130,0.6594
131,0.6612
132,0.6612
133,0.6598
134,0.6638
135,0.6638
136,0.6642
137,0.6648
138,0.6764
139,0.6774
140,0.6776
141,0.6778
142,0.6784
143,0.678
144,0.6784
145,0.6776
146,0.6772
147,0.6822
148,0.6824
149,0.6836
150,0.6852
151,0.6878
152,0.6884
153,0.6874
154,0.6876
155,0.6892
156,0.689
157,0.689
158,0.691
159,0.6908
160,0.6914
161,0.6918
162,0.6916
163,0.6896
164,0.6896
165,0.6896
166,0.6898
167,0.6916
168,0.6922
169,0.6914
170,0.6974
171,0.6984
172,0.6982
173,0.6986
174,0.6984
175,0.6998
176,0.7002
177,0.6996
178,0.6998
179,0.7048
180,0.7056
181,0.7102
182,0.7134
183,0.7132
184,0.7124
185,0.713
186,0.7138
187,0.7164
188,0.7182
189,0.7186
190,0.7192
191,0.7184
192,0.723
193,0.7236
194,0.7248
195,0.725
196,0.7248
197,0.7258
198,0.726
199,0.7264
200,0.7272
201,0.7286
202,0.7288
203,0.7292
204,0.7298
205,0.7288
206,0.7304
207,0.7284
208,0.7288
209,0.7292
210,0.7296
211,0.7298
212,0.729
213,0.7282
214,0.7278
215,0.7272
216,0.7312
217,0.7322
218,0.7316
219,0.733
220,0.733
221,0.7334
222,0.7336
223,0.7338
224,0.7342
225,0.7362
226,0.7362
227,0.7358
228,0.736
229,0.7354
230,0.7352
231,0.7356
232,0.7366
233,0.7368
234,0.7366
235,0.7368
236,0.7354
237,0.7356
238,0.7354
239,0.7352
240,0.7368
241,0.7368
242,0.7372
243,0.7372
244,0.7374
245,0.7374
246,0.7378
247,0.738
248,0.7376
249,0.7378
250,0.7378
251,0.737
252,0.737
253,0.7384
254,0.7378
255,0.738
256,0.7392
257,0.7394
258,0.7392
259,0.7394
260,0.7398
261,0.7392
262,0.7378
263,0.7366
264,0.7362
265,0.7378
266,0.7374
267,0.7388
268,0.7388
269,0.739
270,0.7392
271,0.7392
272,0.7406
273,0.7398
274,0.7392
275,0.7388
276,0.7386
277,0.739
278,0.7396
279,0.7382
280,0.7372
281,0.7362
282,0.7358
283,0.7356
284,0.736
285,0.7358
286,0.736
287,0.7356
288,0.736
289,0.7366
290,0.736
291,0.7356
292,0.7354
293,0.7356
294,0.7352
295,0.7358
296,0.7358
297,0.7354
298,0.7356
299,0.736
300,0.7376
301,0.738
302,0.7384
303,0.7386
304,0.7376
305,0.7374
306,0.74
307,0.74
308,0.741
309,0.7394
310,0.74
311,0.7412
312,0.7416
313,0.7412
314,0.7412
315,0.742
316,0.7454
317,0.7458
318,0.746
319,0.7458
320,0.7468
321,0.7458
322,0.745
323,0.7456
324,0.746
325,0.7462
326,0.7464
327,0.7464
328,0.7468
329,0.7452
330,0.7466
331,0.7472
332,0.7472
333,0.747
334,0.747
335,0.7464
336,0.7466
337,0.7468
338,0.746
339,0.7464
340,0.7486
341,0.7488
342,0.7488
343,0.7484
344,0.7484
345,0.7496
346,0.7494
347,0.7494
348,0.749
349,0.7498
350,0.7494
