,1
0,0.105
1,0.105
2,0.105
3,0.109
4,0.149
5,0.146
6,0.148
7,0.139
8,0.139
9,0.149
10,0.154
11,0.187
12,0.184
13,0.189
14,0.204
15,0.226
16,0.233
17,0.237
18,0.236
19,0.244
20,0.241
21,0.244
22,0.249
23,0.271
24,0.266
25,0.263
26,0.274
27,0.292
28,0.31
29,0.315
30,0.313
31,0.313
32,0.322
33,0.328
34,0.33
35,0.326
36,0.331
37,0.343
38,0.342
39,0.354
40,0.381
41,0.383
42,0.377
43,0.367
44,0.359
45,0.355
46,0.388
47,0.394
48,0.402
49,0.403
50,0.401
51,0.407
52,0.412
53,0.413
54,0.407
55,0.399
56,0.393
57,0.391
58,0.412
59,0.417
60,0.404
61,0.389
62,0.41
63,0.41
64,0.418
65,0.419
66,0.419
67,0.418
68,0.406
69,0.395
70,0.396
71,0.407
72,0.407
73,0.405
74,0.401
75,0.397
76,0.405
77,0.404
78,0.415
79,0.411
80,0.413
81,0.414
82,0.407
83,0.441
84,0.436
85,0.445
86,0.446
87,0.443
88,0.463
89,0.463
90,0.462
91,0.465
92,0.466
93,0.447
94,0.459
95,0.456
96,0.452
97,0.445
98,0.447
99,0.453
100,0.459
101,0.462
102,0.454
103,0.458
104,0.46
105,0.467
106,0.464
107,0.467
108,0.469
109,0.463
110,0.461
111,0.467
112,0.467
113,0.466
114,0.466
115,0.48
116,0.477
117,0.473
118,0.47
119,0.466
120,0.466
121,0.474
122,0.473
123,0.478
124,0.482
125,0.484
126,0.48
127,0.478
128,0.476
129,0.478
130,0.484
131,0.481
132,0.487
133,0.482
134,0.481
135,0.482
136,0.488
137,0.491
138,0.499
139,0.504
140,0.511
141,0.487
142,0.498
143,0.5
144,0.493
145,0.492
146,0.496
147,0.51
148,0.504
149,0.507
150,0.516
151,0.513
152,0.514
153,0.502
154,0.528
155,0.516
156,0.53
157,0.526
158,0.53
159,0.534
160,0.541
161,0.546
162,0.547
163,0.544
164,0.543
165,0.543
166,0.548
167,0.55
168,0.546
169,0.55
170,0.541
171,0.538
172,0.549
173,0.571
174,0.57
175,0.562
176,0.56
177,0.556
178,0.559
179,0.558
180,0.558
181,0.543
182,0.539
183,0.551
184,0.557
185,0.543
186,0.549
187,0.557
188,0.553
189,0.55
190,0.551
191,0.555
192,0.56
193,0.558
194,0.554
195,0.56
196,0.567
197,0.576
198,0.567
199,0.566
200,0.567
201,0.569
202,0.571
203,0.571
204,0.585
205,0.581
206,0.58
207,0.583
208,0.583
209,0.579
210,0.581
211,0.583
212,0.583
213,0.573
214,0.576
215,0.584
216,0.58
217,0.577
218,0.573
219,0.568
220,0.567
221,0.572
222,0.572
223,0.589
224,0.585
225,0.588
226,0.609
227,0.591
228,0.6
229,0.596
230,0.599
231,0.598
232,0.598
233,0.596
234,0.604
235,0.607
236,0.607
237,0.602
238,0.599
239,0.601
240,0.605
241,0.605
242,0.604
243,0.607
244,0.6
245,0.611
246,0.605
247,0.598
248,0.609
249,0.611
250,0.609
251,0.608
252,0.613
253,0.612
254,0.619
255,0.618
256,0.615
257,0.614
258,0.612
259,0.61
260,0.614
261,0.608
262,0.601
263,0.613
264,0.608
265,0.606
266,0.61
267,0.607
268,0.609
269,0.605
270,0.606
271,0.603
272,0.607
273,0.614
274,0.608
275,0.607
276,0.608
277,0.611
278,0.611
279,0.617
280,0.61
281,0.618
282,0.615
283,0.623
284,0.621
285,0.62
286,0.621
287,0.621
288,0.633
289,0.627
290,0.629
291,0.627
292,0.631
293,0.63
294,0.636
295,0.636
296,0.638
297,0.636
298,0.643
299,0.642
300,0.643
301,0.644
302,0.645
303,0.644
304,0.642
305,0.637
306,0.634
307,0.627
308,0.639
309,0.635
310,0.632
311,0.626
312,0.63
313,0.637
314,0.635
315,0.631
316,0.634
317,0.64
318,0.637
319,0.633
320,0.637
321,0.635
322,0.634
323,0.632
324,0.637
325,0.641
326,0.64
327,0.64
328,0.633
329,0.642
330,0.631
331,0.644
332,0.634
333,0.639
334,0.638
335,0.638
336,0.641
337,0.631
338,0.64
339,0.642
340,0.645
341,0.645
342,0.647
343,0.646
344,0.642
345,0.644
346,0.641
347,0.634
348,0.643
349,0.64
350,0.646
351,0.652
352,0.644
353,0.64
354,0.647
355,0.647
356,0.648
357,0.634
358,0.65
359,0.644
360,0.64
361,0.654
362,0.641
363,0.637
364,0.64
365,0.642
366,0.643
367,0.649
368,0.654
369,0.649
370,0.656
371,0.644
372,0.649
373,0.657
374,0.657
375,0.662
376,0.662
377,0.662
378,0.667
379,0.656
380,0.663
381,0.658
382,0.67
383,0.669
384,0.673
385,0.668
386,0.67
387,0.668
388,0.668
389,0.668
390,0.663
391,0.676
392,0.676
393,0.673
394,0.677
395,0.672
396,0.674
397,0.673
398,0.682
399,0.68
400,0.667
401,0.673
402,0.674
403,0.675
404,0.68
405,0.671
406,0.674
407,0.677
408,0.689
409,0.686
410,0.686
411,0.693
412,0.685
413,0.684
414,0.677
415,0.682
416,0.683
417,0.682
418,0.682
419,0.677
420,0.681
421,0.678
422,0.683
423,0.69
424,0.695
425,0.695
426,0.689
427,0.678
428,0.682
429,0.687
430,0.691
431,0.689
432,0.692
433,0.678
434,0.693
435,0.687
436,0.683
437,0.697
438,0.691
439,0.69
440,0.673
441,0.702
442,0.694
443,0.703
444,0.695
445,0.696
446,0.687
447,0.689
448,0.688
449,0.684
450,0.69
451,0.709
452,0.704
453,0.698
454,0.712
455,0.705
456,0.699
457,0.704
458,0.688
459,0.69
460,0.692
461,0.691
462,0.685
463,0.706
464,0.711
465,0.707
466,0.702
467,0.702
468,0.698
469,0.7
470,0.703
471,0.702
472,0.706
473,0.712
474,0.702
475,0.702
476,0.702
477,0.71
478,0.713
479,0.712
480,0.711
481,0.709
482,0.713
483,0.71
484,0.705
485,0.7
486,0.701
487,0.706
488,0.708
489,0.699
490,0.704
491,0.704
492,0.703
493,0.704
494,0.704
495,0.696
496,0.688
497,0.699
498,0.7
499,0.714
500,0.706
