,1
0,0.214
1,0.229
2,0.212
3,0.219
4,0.229
5,0.238
6,0.26
7,0.261
8,0.261
9,0.27
10,0.285
11,0.3
12,0.302
13,0.319
14,0.326
15,0.334
16,0.337
17,0.343
18,0.353
19,0.353
20,0.359
21,0.361
22,0.364
23,0.369
24,0.382
25,0.394
26,0.398
27,0.398
28,0.396
29,0.398
30,0.401
31,0.412
32,0.415
33,0.421
34,0.425
35,0.432
36,0.433
37,0.435
38,0.44
39,0.443
40,0.451
41,0.454
42,0.456
43,0.458
44,0.457
45,0.457
46,0.457
47,0.459
48,0.465
49,0.476
50,0.481
51,0.483
52,0.482
53,0.494
54,0.499
55,0.504
56,0.508
57,0.521
58,0.523
59,0.523
60,0.528
61,0.537
62,0.538
63,0.544
64,0.548
65,0.546
66,0.552
67,0.551
68,0.551
69,0.556
70,0.575
71,0.576
72,0.578
73,0.579
74,0.58
75,0.582
76,0.587
77,0.587
78,0.59
79,0.59
80,0.594
81,0.598
82,0.598
83,0.6
84,0.606
85,0.606
86,0.608
87,0.605
88,0.605
89,0.605
90,0.604
91,0.615
92,0.619
93,0.622
94,0.621
95,0.627
96,0.626
97,0.622
98,0.622
99,0.628
100,0.635
101,0.635
102,0.641
103,0.643
104,0.641
105,0.644
106,0.641
107,0.644
108,0.647
109,0.647
110,0.647
111,0.647
112,0.648
113,0.647
114,0.658
115,0.66
116,0.661
117,0.663
118,0.662
119,0.664
120,0.665
121,0.666
122,0.671
123,0.672
124,0.672
125,0.674
126,0.672
127,0.67
128,0.67
129,0.67
130,0.669
131,0.669
132,0.669
133,0.67
134,0.67
135,0.668
136,0.668
137,0.667
138,0.667
139,0.667
140,0.668
141,0.668
142,0.671
143,0.674
144,0.674
145,0.673
146,0.673
147,0.672
148,0.672
149,0.671
150,0.671
151,0.671
152,0.671
153,0.674
154,0.675
155,0.675
156,0.675
157,0.675
158,0.674
159,0.672
160,0.674
161,0.674
162,0.675
163,0.674
164,0.675
165,0.678
166,0.679
167,0.678
168,0.679
169,0.68
170,0.681
171,0.684
172,0.686
173,0.686
174,0.689
175,0.695
176,0.697
177,0.697
178,0.698
179,0.698
180,0.696
181,0.696
182,0.7
183,0.7
184,0.7
185,0.701
186,0.701
187,0.701
188,0.701
189,0.701
190,0.702
191,0.704
192,0.706
193,0.707
194,0.707
195,0.703
196,0.705
197,0.705
198,0.706
199,0.706
200,0.706
201,0.706
202,0.706
203,0.706
204,0.705
205,0.705
206,0.705
207,0.707
208,0.708
209,0.71
210,0.711
211,0.714
212,0.714
213,0.715
214,0.714
215,0.715
216,0.716
217,0.716
218,0.718
219,0.715
220,0.715
221,0.715
222,0.715
223,0.715
224,0.716
225,0.716
226,0.715
227,0.716
228,0.716
229,0.716
230,0.721
231,0.722
232,0.725
233,0.725
234,0.725
235,0.724
236,0.725
237,0.725
238,0.725
239,0.725
240,0.727
241,0.733
242,0.735
243,0.737
244,0.737
245,0.738
246,0.741
247,0.738
248,0.738
249,0.738
250,0.737
251,0.739
252,0.739
253,0.741
254,0.74
255,0.739
256,0.739
257,0.739
258,0.74
259,0.741
260,0.741
261,0.741
262,0.742
263,0.742
264,0.742
265,0.742
266,0.741
267,0.741
268,0.742
269,0.743
270,0.742
271,0.742
272,0.742
273,0.743
274,0.744
275,0.744
276,0.744
277,0.746
278,0.744
279,0.743
280,0.743
281,0.743
282,0.741
283,0.742
284,0.743
285,0.743
286,0.742
287,0.743
288,0.743
289,0.743
290,0.743
291,0.744
292,0.744
293,0.746
294,0.745
295,0.745
296,0.746
297,0.748
298,0.75
299,0.751
300,0.751
301,0.751
302,0.751
303,0.751
304,0.752
305,0.752
306,0.752
307,0.753
308,0.756
309,0.754
310,0.753
311,0.753
312,0.752
313,0.751
314,0.752
315,0.752
316,0.752
317,0.752
318,0.752
319,0.752
320,0.753
321,0.752
322,0.752
323,0.752
324,0.752
325,0.752
326,0.752
327,0.752
328,0.752
329,0.751
330,0.754
331,0.756
332,0.756
333,0.756
334,0.755
335,0.756
336,0.757
337,0.757
338,0.755
339,0.756
340,0.755
341,0.754
342,0.756
343,0.756
344,0.758
345,0.758
346,0.758
347,0.758
348,0.758
349,0.758
350,0.758
351,0.758
352,0.758
353,0.758
354,0.758
355,0.758
356,0.758
357,0.76
358,0.76
359,0.76
360,0.76
361,0.761
362,0.762
363,0.762
364,0.761
365,0.762
366,0.762
