,1
0,0.209
1,0.255
2,0.263
3,0.277
4,0.266
5,0.286
6,0.284
7,0.287
8,0.291
9,0.301
10,0.319
11,0.321
12,0.33
13,0.345
14,0.351
15,0.362
16,0.371
17,0.384
18,0.385
19,0.403
20,0.407
21,0.413
22,0.418
23,0.424
24,0.422
25,0.431
26,0.43
27,0.43
28,0.434
29,0.434
30,0.435
31,0.435
32,0.434
33,0.433
34,0.431
35,0.43
36,0.431
37,0.427
38,0.433
39,0.428
40,0.432
41,0.431
42,0.431
43,0.431
44,0.431
45,0.432
46,0.431
47,0.432
48,0.442
49,0.443
50,0.44
51,0.46
52,0.457
53,0.457
54,0.472
55,0.477
56,0.477
57,0.477
58,0.477
59,0.477
60,0.48
61,0.489
62,0.495
63,0.504
64,0.505
65,0.505
66,0.504
67,0.511
68,0.518
69,0.524
70,0.524
71,0.532
72,0.535
73,0.536
74,0.542
75,0.541
76,0.54
77,0.54
78,0.54
79,0.54
80,0.54
81,0.544
82,0.543
83,0.542
84,0.542
85,0.542
86,0.543
87,0.553
88,0.558
89,0.558
90,0.559
91,0.559
92,0.557
93,0.562
94,0.564
95,0.57
96,0.579
97,0.58
98,0.58
99,0.58
100,0.583
101,0.583
102,0.584
103,0.584
104,0.584
105,0.584
106,0.59
107,0.59
108,0.591
109,0.589
110,0.589
111,0.589
112,0.595
113,0.594
114,0.593
115,0.596
116,0.596
117,0.597
118,0.606
119,0.607
120,0.618
121,0.618
122,0.618
123,0.621
124,0.621
125,0.625
126,0.625
127,0.627
128,0.632
129,0.637
130,0.643
131,0.642
132,0.641
133,0.641
134,0.64
135,0.644
136,0.644
137,0.647
138,0.647
139,0.647
140,0.647
141,0.647
142,0.648
143,0.648
144,0.649
145,0.65
146,0.65
147,0.65
148,0.65
149,0.65
150,0.651
151,0.651
152,0.651
153,0.651
154,0.652
155,0.652
156,0.654
157,0.654
158,0.655
159,0.655
160,0.656
161,0.656
162,0.656
163,0.656
164,0.655
165,0.655
166,0.656
167,0.657
168,0.655
169,0.655
170,0.658
171,0.654
