,1
0,0.635
1,0.88
2,0.9275
3,0.9025
4,0.945
5,0.94
6,0.955
7,0.955
8,0.96
9,0.96
10,0.96
11,0.9575
12,0.9575
13,0.9575
14,0.955
15,0.9575
16,0.9575
17,0.96
18,0.9575
19,0.96
20,0.9575
21,0.9525
22,0.955
23,0.9575
24,0.96
25,0.955
26,0.955
27,0.955
28,0.955
29,0.955
30,0.9575
31,0.955
32,0.955
33,0.955
34,0.96
35,0.96
36,0.9575
37,0.96
38,0.96
39,0.96
40,0.96
41,0.9575
42,0.96
43,0.96
44,0.96
45,0.9575
46,0.96
47,0.96
48,0.96
49,0.96
50,0.96
51,0.9625
52,0.96
53,0.96
54,0.96
55,0.96
56,0.96
57,0.96
58,0.96
59,0.96
60,0.96
