,1
0,0.4825
1,0.925
2,0.9025
3,0.91
4,0.9125
5,0.915
6,0.9225
7,0.9225
8,0.9225
9,0.935
10,0.935
11,0.935
12,0.935
13,0.945
14,0.945
15,0.945
16,0.95
17,0.95
18,0.9425
19,0.95
20,0.9475
21,0.9475
22,0.9475
23,0.9475
24,0.9475
25,0.9475
26,0.9475
27,0.95
28,0.94
29,0.945
30,0.9425
31,0.9475
32,0.9425
33,0.945
34,0.945
35,0.945
36,0.945
37,0.945
38,0.945
39,0.9425
40,0.945
41,0.9475
42,0.9475
43,0.9475
44,0.945
45,0.945
46,0.95
47,0.945
48,0.9475
49,0.9475
50,0.9475
51,0.9475
52,0.9475
53,0.9475
54,0.9475
55,0.945
56,0.9475
57,0.9475
58,0.9475
59,0.945
60,0.9475
