,1
0,0.5075
1,0.925
2,0.9275
3,0.9125
4,0.915
5,0.935
6,0.9375
7,0.94
8,0.94
9,0.9375
10,0.94
11,0.95
12,0.9475
13,0.95
14,0.95
15,0.9525
16,0.95
17,0.945
18,0.9475
19,0.95
20,0.9475
21,0.95
22,0.9475
23,0.9475
24,0.95
25,0.95
26,0.955
27,0.9525
28,0.9525
29,0.96
30,0.96
31,0.96
32,0.9625
33,0.95
34,0.9675
35,0.9525
36,0.97
37,0.955
38,0.97
39,0.9525
40,0.9625
41,0.9525
42,0.9675
43,0.965
44,0.97
45,0.965
46,0.9675
47,0.96
48,0.97
49,0.9575
50,0.9675
51,0.9675
52,0.96
53,0.965
54,0.97
55,0.9575
56,0.9675
57,0.965
58,0.97
59,0.96
60,0.97
61,0.965
62,0.965
63,0.9675
64,0.965
65,0.965
66,0.97
67,0.97
68,0.965
69,0.97
70,0.97
71,0.97
72,0.965
73,0.965
74,0.9675
75,0.9675
76,0.9675
77,0.965
78,0.965
79,0.965
80,0.9675
81,0.965
82,0.9675
83,0.9625
84,0.97
85,0.965
86,0.97
87,0.9675
88,0.965
89,0.97
90,0.965
91,0.9675
92,0.97
93,0.9675
94,0.97
95,0.9675
96,0.97
97,0.97
98,0.97
99,0.9675
100,0.97
101,0.97
102,0.97
103,0.97
104,0.97
105,0.9675
106,0.9675
107,0.97
108,0.9675
109,0.97
110,0.97
111,0.9675
112,0.9675
113,0.97
114,0.9675
115,0.97
116,0.9675
117,0.97
118,0.97
119,0.9675
120,0.9675
121,0.9675
122,0.9675
123,0.9675
124,0.9675
125,0.9675
126,0.97
127,0.9725
128,0.9675
129,0.97
130,0.9675
131,0.9675
132,0.9675
133,0.9675
134,0.9675
135,0.9675
136,0.9675
137,0.9675
138,0.9675
139,0.9675
140,0.9675
141,0.97
142,0.97
143,0.9675
144,0.97
145,0.97
146,0.9675
147,0.97
148,0.9625
149,0.97
150,0.9675
151,0.9675
152,0.9625
153,0.97
154,0.96
155,0.97
156,0.97
157,0.9675
158,0.97
159,0.9675
160,0.97
161,0.9625
162,0.97
163,0.97
164,0.97
165,0.97
166,0.97
167,0.965
168,0.9675
169,0.965
170,0.9675
171,0.97
172,0.97
173,0.9675
174,0.97
175,0.965
176,0.97
177,0.97
178,0.97
179,0.9675
180,0.97
181,0.9625
182,0.97
183,0.9675
184,0.9675
185,0.9625
186,0.97
187,0.97
188,0.97
189,0.97
190,0.97
191,0.97
192,0.9675
193,0.97
194,0.97
195,0.97
196,0.97
197,0.9625
198,0.97
199,0.97
200,0.965
201,0.97
202,0.965
203,0.97
204,0.97
205,0.97
206,0.9675
207,0.97
208,0.965
209,0.97
210,0.9675
211,0.97
212,0.9675
213,0.9675
214,0.97
215,0.97
216,0.97
217,0.965
218,0.97
219,0.9675
220,0.97
221,0.97
222,0.97
223,0.97
224,0.9675
225,0.97
226,0.9675
227,0.9675
228,0.9675
229,0.97
230,0.9675
231,0.9675
232,0.97
233,0.9675
234,0.9675
235,0.97
236,0.9675
237,0.97
238,0.97
239,0.9675
240,0.9675
241,0.97
242,0.97
243,0.97
244,0.97
245,0.97
246,0.9675
247,0.97
248,0.97
249,0.97
250,0.9625
251,0.97
252,0.97
253,0.9675
254,0.965
255,0.97
256,0.9675
257,0.9675
258,0.965
259,0.9675
260,0.97
261,0.97
262,0.9675
263,0.9675
264,0.9675
265,0.9675
266,0.97
267,0.9675
268,0.9675
269,0.965
270,0.965
271,0.97
272,0.9675
273,0.97
274,0.965
275,0.9675
276,0.9675
277,0.9675
278,0.965
279,0.965
280,0.965
281,0.965
282,0.9725
283,0.965
284,0.9675
285,0.965
286,0.965
287,0.965
288,0.9675
289,0.9725
290,0.965
291,0.965
292,0.965
293,0.965
294,0.965
295,0.9675
296,0.9675
297,0.9675
298,0.9675
299,0.965
300,0.965
301,0.9675
302,0.965
303,0.9675
304,0.97
305,0.9675
306,0.965
307,0.9675
308,0.9675
309,0.965
310,0.965
311,0.965
312,0.9675
313,0.9675
314,0.9675
315,0.9675
316,0.965
317,0.965
318,0.965
319,0.965
320,0.965
321,0.965
322,0.9675
323,0.9675
324,0.965
325,0.965
326,0.9675
327,0.965
328,0.965
329,0.965
330,0.9625
331,0.9675
332,0.9675
333,0.965
334,0.9675
335,0.9675
336,0.9675
337,0.965
338,0.965
339,0.965
340,0.965
341,0.965
342,0.9625
343,0.9675
344,0.965
345,0.965
346,0.96
347,0.9625
348,0.9625
349,0.965
350,0.9675
351,0.96
352,0.9675
353,0.9625
354,0.965
355,0.97
356,0.965
357,0.9675
358,0.9675
359,0.965
360,0.965
361,0.965
362,0.97
363,0.9625
364,0.965
365,0.965
366,0.965
367,0.9625
368,0.9675
369,0.9675
370,0.9625
371,0.965
372,0.9675
373,0.96
374,0.9625
375,0.965
376,0.965
377,0.9675
378,0.9675
379,0.9625
380,0.965
381,0.96
382,0.965
383,0.97
384,0.96
385,0.9625
386,0.9675
387,0.965
388,0.965
389,0.9625
390,0.965
391,0.96
392,0.9675
393,0.965
394,0.965
395,0.9625
396,0.9625
397,0.965
398,0.965
399,0.9625
400,0.9625
