,1
0,0.7902
1,0.7562
2,0.791
3,0.783
4,0.7936
5,0.7824
6,0.7686
7,0.8178
8,0.8184
9,0.8014
10,0.7858
11,0.8008
12,0.75
13,0.809
14,0.8114
15,0.8052
16,0.7982
17,0.7998
18,0.7998
19,0.802
20,0.8072
21,0.812
22,0.769
23,0.8034
24,0.8006
25,0.8138
26,0.8108
27,0.8166
28,0.8118
29,0.8204
30,0.819
31,0.8188
32,0.7988
33,0.7646
34,0.7912
35,0.7976
36,0.8178
37,0.8084
38,0.8224
39,0.8142
40,0.8128
41,0.8134
42,0.8162
43,0.812
44,0.8152
45,0.8204
46,0.7968
47,0.7868
48,0.8046
49,0.8
50,0.8058
51,0.813
52,0.8022
53,0.8028
54,0.8064
55,0.811
56,0.8174
57,0.8106
58,0.7974
59,0.8176
60,0.8162
61,0.8202
62,0.7814
63,0.8166
64,0.812
65,0.782
66,0.7954
67,0.8132
68,0.81
69,0.7934
70,0.8094
71,0.8158
72,0.8174
73,0.7952
74,0.8054
75,0.8034
76,0.8084
77,0.816
78,0.8048
79,0.8034
80,0.797
81,0.8064
82,0.8172
83,0.8284
84,0.8296
85,0.828
86,0.832
87,0.8168
88,0.821
89,0.8276
90,0.8162
91,0.818
92,0.816
93,0.8182
94,0.8126
95,0.8058
96,0.8016
97,0.7896
98,0.8118
99,0.8204
100,0.8214
101,0.8184
102,0.8192
103,0.8168
104,0.7818
105,0.8098
106,0.8044
107,0.8086
108,0.8222
109,0.823
110,0.8226
111,0.8144
112,0.8172
113,0.8056
114,0.812
115,0.8072
116,0.7984
117,0.812
118,0.8174
119,0.8196
120,0.818
121,0.8176
122,0.8252
123,0.826
124,0.818
125,0.8198
126,0.8072
127,0.8256
128,0.8108
129,0.8036
130,0.8072
131,0.8116
132,0.825
133,0.8156
134,0.8176
135,0.8244
136,0.826
137,0.82
138,0.8194
139,0.822
140,0.8186
141,0.8174
142,0.8176
143,0.813
144,0.8144
145,0.8224
146,0.8208
147,0.821
148,0.809
149,0.8098
150,0.7988
151,0.8116
152,0.8192
153,0.8172
154,0.8214
