,1
0,0.8198
1,0.8194
2,0.8166
3,0.2172
4,0.7828
5,0.8046
6,0.8252
7,0.8174
8,0.8218
9,0.8202
10,0.7612
11,0.791
12,0.8038
13,0.8152
14,0.818
15,0.8186
16,0.8192
17,0.8164
18,0.822
19,0.823
20,0.8132
21,0.8102
22,0.7892
23,0.7902
24,0.8122
25,0.8096
26,0.8184
27,0.8168
28,0.804
29,0.6782
30,0.8084
31,0.8136
32,0.8072
33,0.8182
34,0.8198
35,0.818
36,0.8206
37,0.8216
38,0.8194
39,0.8228
40,0.8174
41,0.8076
42,0.764
43,0.7936
44,0.8104
45,0.8176
46,0.8152
47,0.8148
48,0.8014
49,0.8146
50,0.8152
51,0.804
52,0.7982
53,0.7786
54,0.7902
55,0.8164
56,0.8006
57,0.786
58,0.8036
59,0.8006
60,0.8016
61,0.817
62,0.8022
63,0.818
64,0.812
65,0.803
66,0.8128
67,0.8258
68,0.8222
69,0.8098
70,0.8152
71,0.8052
72,0.82
73,0.8202
74,0.8228
75,0.8276
76,0.8196
77,0.82
78,0.8234
79,0.8244
80,0.826
81,0.8044
82,0.8118
83,0.8016
84,0.8064
85,0.819
86,0.82
87,0.821
88,0.8238
89,0.8288
90,0.8292
91,0.8266
92,0.8242
93,0.8282
94,0.827
95,0.8258
96,0.8214
97,0.8222
98,0.8252
99,0.8248
100,0.8018
101,0.814
102,0.8168
103,0.8138
104,0.8204
105,0.8272
106,0.8282
107,0.8242
108,0.8244
109,0.823
110,0.82
111,0.821
112,0.7892
113,0.8066
114,0.8114
115,0.8052
116,0.8102
117,0.8102
118,0.816
119,0.804
120,0.8192
121,0.8186
122,0.8272
123,0.8246
124,0.8226
125,0.8234
126,0.8248
127,0.824
128,0.818
129,0.819
130,0.8086
131,0.8108
132,0.8176
133,0.819
134,0.8118
135,0.8054
136,0.807
137,0.8154
138,0.8214
139,0.8236
140,0.8244
141,0.8078
142,0.7942
143,0.8062
144,0.8178
145,0.818
146,0.818
147,0.8168
148,0.8244
149,0.823
150,0.8226
151,0.824
152,0.8254
153,0.8264
154,0.811
155,0.8106
156,0.8138
157,0.8202
158,0.8206
159,0.8188
160,0.823
161,0.8242
162,0.8274
163,0.789
164,0.799
165,0.8212
166,0.8186
167,0.827
168,0.8232
169,0.825
170,0.823
171,0.825
172,0.8248
173,0.8194
174,0.8254
175,0.824
176,0.82
177,0.8188
178,0.8206
179,0.818
180,0.8204
181,0.8218
182,0.8226
183,0.8222
184,0.8158
185,0.8218
186,0.8296
187,0.8286
188,0.8078
189,0.802
190,0.8208
191,0.8132
192,0.828
193,0.8292
194,0.8232
195,0.826
196,0.8212
197,0.8302
198,0.8308
199,0.8042
200,0.816
201,0.8194
202,0.8016
203,0.8244
204,0.8108
205,0.8264
206,0.8166
207,0.8188
208,0.8192
209,0.8132
210,0.8146
211,0.8148
212,0.8188
213,0.8228
214,0.819
215,0.8104
216,0.8146
217,0.8196
218,0.8196
219,0.8192
220,0.82
221,0.8196
222,0.8224
223,0.8234
224,0.8236
225,0.827
226,0.805
227,0.8214
228,0.8252
229,0.8158
230,0.8248
231,0.8226
232,0.8186
233,0.8248
234,0.8294
235,0.8254
236,0.8218
237,0.8262
238,0.8278
239,0.8202
240,0.8302
241,0.8356
242,0.8326
243,0.8356
244,0.836
245,0.8364
246,0.7868
247,0.8316
248,0.8304
249,0.8212
250,0.83
251,0.8324
252,0.833
253,0.8336
254,0.8344
255,0.8348
256,0.832
257,0.8326
258,0.8372
259,0.833
260,0.8272
261,0.8136
262,0.8192
263,0.8188
264,0.82
265,0.8156
266,0.8248
267,0.837
268,0.8282
269,0.8282
270,0.8172
271,0.8278
272,0.8282
273,0.8278
274,0.8318
275,0.8314
276,0.8316
277,0.8276
278,0.8234
279,0.8312
280,0.832
281,0.8246
282,0.83
283,0.8226
284,0.8232
285,0.827
286,0.8264
287,0.8166
288,0.8228
289,0.8302
290,0.831
291,0.8314
292,0.8324
293,0.826
294,0.8338
295,0.8346
296,0.8336
297,0.825
298,0.8244
299,0.8314
300,0.8294
301,0.8262
302,0.8216
303,0.8302
304,0.8296
305,0.8302
306,0.8274
307,0.8318
308,0.8348
309,0.8356
310,0.8302
311,0.8292
312,0.8322
313,0.8314
314,0.834
315,0.8352
316,0.837
317,0.8358
318,0.8348
319,0.8398
320,0.8396
321,0.8218
322,0.828
323,0.8348
324,0.834
325,0.8308
326,0.8338
327,0.8352
328,0.8346
329,0.8354
330,0.8358
331,0.8308
332,0.8404
333,0.842
334,0.8458
335,0.8406
336,0.8372
337,0.8376
338,0.8386
339,0.8318
340,0.841
341,0.825
342,0.8406
343,0.8386
344,0.8384
345,0.84
346,0.8388
347,0.8408
348,0.8366
349,0.8362
350,0.8308
351,0.831
352,0.8348
353,0.8328
354,0.8312
355,0.8322
356,0.8258
357,0.8306
358,0.8264
359,0.8286
360,0.842
361,0.8422
362,0.8274
363,0.8304
364,0.8328
365,0.8336
366,0.8352
367,0.8364
368,0.8364
369,0.8374
370,0.8382
371,0.8382
372,0.8296
373,0.826
374,0.8234
375,0.831
376,0.8274
377,0.8318
378,0.8256
379,0.8316
380,0.8358
381,0.835
382,0.8362
383,0.8366
384,0.8376
385,0.833
386,0.8328
387,0.8342
388,0.83
389,0.8316
390,0.8352
391,0.8354
392,0.832
393,0.8308
394,0.8302
395,0.83
396,0.83
397,0.8304
398,0.8318
399,0.8336
400,0.8316
401,0.8302
402,0.8322
403,0.8294
404,0.8316
405,0.8374
406,0.8334
407,0.833
408,0.8278
409,0.8236
410,0.8346
