,1
0,0.249
1,0.28
2,0.2996
3,0.307
4,0.3222
5,0.337
6,0.3476
7,0.3472
8,0.3642
9,0.3634
10,0.3602
11,0.373
12,0.3782
13,0.3768
14,0.3796
15,0.3808
16,0.3838
17,0.3892
18,0.3992
19,0.405
20,0.4038
21,0.4192
22,0.4288
23,0.4296
24,0.4346
25,0.4374
26,0.4424
27,0.4532
28,0.4496
29,0.456
30,0.459
31,0.461
32,0.4674
33,0.4706
34,0.4694
35,0.47
36,0.4744
37,0.4836
38,0.4862
39,0.4884
40,0.4924
41,0.4972
42,0.5018
43,0.4986
44,0.499
45,0.5034
46,0.5062
47,0.5072
48,0.5078
49,0.5146
50,0.5164
51,0.5182
52,0.5264
53,0.5338
54,0.5382
55,0.5416
56,0.5468
57,0.5566
58,0.557
59,0.5636
60,0.5694
61,0.5698
62,0.5722
63,0.5742
64,0.577
65,0.577
66,0.58
67,0.578
68,0.5796
69,0.587
70,0.58
71,0.5824
72,0.5798
73,0.5784
74,0.5886
75,0.5938
76,0.596
77,0.5994
78,0.6006
79,0.603
80,0.6026
81,0.6028
82,0.604
83,0.6118
84,0.6128
85,0.6168
86,0.6146
87,0.6176
88,0.6184
89,0.6206
90,0.6268
91,0.632
92,0.634
93,0.6328
94,0.6342
95,0.635
96,0.6382
97,0.6412
98,0.6402
99,0.6396
100,0.6408
101,0.643
102,0.6418
103,0.642
104,0.6452
105,0.645
106,0.648
107,0.6468
108,0.6502
109,0.65
110,0.6504
111,0.6532
112,0.6542
113,0.6556
114,0.6582
115,0.659
116,0.6598
117,0.6568
118,0.662
119,0.6668
120,0.6696
121,0.6722
122,0.6732
123,0.6718
124,0.6726
125,0.6714
126,0.6742
127,0.674
128,0.6754
129,0.6756
130,0.6754
131,0.6762
132,0.6824
133,0.681
134,0.6826
135,0.683
136,0.6836
137,0.6834
138,0.6872
139,0.691
140,0.6932
141,0.692
142,0.6954
143,0.694
144,0.695
145,0.695
146,0.6956
147,0.697
148,0.7004
149,0.7014
150,0.705
151,0.708
152,0.7104
153,0.7058
154,0.7094
155,0.7098
156,0.7092
157,0.7146
158,0.7146
159,0.7134
160,0.7124
161,0.7128
162,0.7124
163,0.7162
164,0.715
165,0.7136
166,0.715
167,0.714
168,0.7174
169,0.7188
