,1
0,0.2416
1,0.2514
2,0.2792
3,0.3106
4,0.3148
5,0.3296
6,0.3302
7,0.3388
8,0.353
9,0.357
10,0.3598
11,0.3784
12,0.3944
13,0.3996
14,0.4004
15,0.4002
16,0.4182
17,0.4188
18,0.4178
19,0.4184
20,0.4224
21,0.425
22,0.4322
23,0.4356
24,0.4354
25,0.4376
26,0.445
27,0.4474
28,0.4512
29,0.452
30,0.4566
31,0.4662
32,0.4682
33,0.4756
34,0.4782
35,0.4818
36,0.4842
37,0.4956
38,0.4954
39,0.4952
40,0.4956
41,0.4962
42,0.4992
43,0.5018
44,0.5086
45,0.5116
46,0.5136
47,0.5172
48,0.52
49,0.5242
50,0.5268
51,0.5278
52,0.5294
53,0.5322
54,0.54
55,0.5404
56,0.5496
57,0.5532
58,0.5536
59,0.5522
60,0.5566
61,0.5566
62,0.5572
63,0.5576
64,0.5582
65,0.5588
66,0.5626
67,0.5684
68,0.5772
69,0.577
70,0.5746
71,0.5738
72,0.5776
73,0.5858
74,0.5856
75,0.59
76,0.5896
77,0.5926
78,0.597
79,0.5992
80,0.603
81,0.6042
82,0.6072
83,0.6038
84,0.6048
85,0.6054
86,0.6072
87,0.6078
88,0.6112
89,0.6108
90,0.6132
91,0.613
92,0.6176
93,0.6192
94,0.6188
95,0.6186
96,0.6194
97,0.6176
98,0.6194
99,0.621
100,0.6234
101,0.6212
102,0.622
103,0.6242
104,0.6258
105,0.6252
106,0.627
107,0.6276
108,0.628
109,0.6318
110,0.6324
111,0.6326
112,0.6338
113,0.6354
114,0.6332
115,0.6356
116,0.6348
117,0.636
118,0.6374
119,0.641
120,0.64
121,0.6394
122,0.6398
123,0.6404
124,0.6424
125,0.641
126,0.6418
127,0.6434
128,0.643
129,0.643
130,0.645
131,0.6472
132,0.6498
133,0.651
134,0.654
135,0.654
136,0.6554
137,0.6546
138,0.6546
139,0.656
140,0.6658
141,0.6654
142,0.6692
143,0.6706
144,0.6718
145,0.6724
146,0.6706
147,0.671
148,0.6688
149,0.669
150,0.6688
151,0.6728
152,0.6718
153,0.6718
154,0.6736
155,0.6746
156,0.6762
157,0.6772
158,0.6798
159,0.683
160,0.6842
161,0.685
162,0.688
163,0.6872
164,0.686
165,0.687
166,0.6868
167,0.691
168,0.6912
169,0.691
170,0.6924
171,0.6946
172,0.6972
173,0.6966
174,0.6988
175,0.7006
176,0.7018
177,0.7018
178,0.7032
179,0.7036
180,0.7074
181,0.7068
182,0.7072
183,0.7074
184,0.7106
185,0.7098
186,0.7112
187,0.7116
188,0.71
189,0.7106
190,0.71
191,0.711
192,0.7108
193,0.7106
194,0.7098
195,0.7126
196,0.7144
197,0.7154
198,0.7154
199,0.7166
200,0.7198
201,0.7178
202,0.7194
203,0.719
204,0.7186
205,0.7184
206,0.7188
207,0.7178
208,0.7194
209,0.7184
210,0.7178
211,0.7182
212,0.7156
213,0.7166
214,0.7182
215,0.7198
216,0.7204
217,0.7208
218,0.72
219,0.7188
220,0.7176
221,0.7176
222,0.7168
223,0.7172
224,0.7172
225,0.7196
226,0.7186
227,0.7218
228,0.7222
229,0.7228
230,0.7258
231,0.7252
232,0.7264
233,0.7278
234,0.7292
235,0.73
236,0.7308
237,0.7288
238,0.7272
239,0.731
240,0.7322
241,0.7316
242,0.7316
243,0.7324
244,0.7346
245,0.733
246,0.7374
247,0.7398
248,0.7378
249,0.7402
250,0.7388
251,0.7386
252,0.7396
253,0.74
254,0.7382
255,0.739
256,0.7408
257,0.7398
258,0.7412
259,0.7394
260,0.7422
261,0.7406
262,0.7448
263,0.7464
264,0.7442
265,0.743
266,0.7444
267,0.7432
268,0.7446
269,0.7452
270,0.7452
271,0.7458
272,0.7468
273,0.7468
274,0.747
275,0.7442
276,0.7426
277,0.7442
278,0.7466
279,0.7446
280,0.748
281,0.7482
282,0.7444
283,0.7434
284,0.7474
285,0.7488
286,0.7494
287,0.751
288,0.7514
289,0.752
290,0.7514
291,0.7512
292,0.7546
293,0.7516
294,0.7512
295,0.7518
296,0.7524
297,0.7526
298,0.7536
299,0.7536
300,0.7524
301,0.7518
302,0.7538
303,0.7568
304,0.758
305,0.756
306,0.7558
307,0.7564
308,0.7554
309,0.7556
310,0.7556
311,0.7552
312,0.7536
313,0.7518
314,0.7522
315,0.7522
316,0.753
317,0.7556
318,0.7558
319,0.7566
320,0.756
321,0.7544
322,0.7548
323,0.7572
324,0.7572
325,0.7554
326,0.7582
327,0.7594
328,0.7582
329,0.7594
330,0.7596
331,0.7594
332,0.7566
333,0.7578
334,0.7584
335,0.7584
336,0.7604
337,0.761
338,0.762
339,0.7614
340,0.7626
341,0.7612
342,0.7622
343,0.7612
344,0.7624
345,0.7616
346,0.7622
347,0.7616
348,0.7634
349,0.7646
350,0.7636
351,0.7632
352,0.7628
353,0.7644
354,0.7648
355,0.7636
356,0.7628
357,0.7616
358,0.7612
359,0.7628
360,0.7632
361,0.7634
362,0.764
363,0.7638
364,0.7624
365,0.7644
366,0.7638
367,0.7652
368,0.766
369,0.7698
370,0.7704
371,0.7722
372,0.7714
373,0.7698
374,0.7702
375,0.7698
376,0.7708
377,0.7714
378,0.7726
379,0.772
380,0.7718
381,0.7724
382,0.77
383,0.7708
384,0.7676
385,0.7706
386,0.7694
387,0.7706
388,0.772
389,0.773
390,0.7768
391,0.7758
392,0.7754
393,0.7744
394,0.776
395,0.7768
396,0.7734
397,0.7742
398,0.773
399,0.7734
400,0.7726
401,0.7714
402,0.775
403,0.7746
404,0.7788
405,0.779
406,0.7794
407,0.7786
408,0.7798
409,0.7794
410,0.7814
411,0.778
412,0.7796
413,0.7786
414,0.7788
415,0.7804
416,0.7802
417,0.7802
418,0.7814
419,0.7802
420,0.7766
421,0.7794
422,0.7806
423,0.7804
424,0.7798
425,0.7776
426,0.7782
427,0.7782
428,0.778
429,0.7776
430,0.7776
431,0.7786
432,0.7794
433,0.7812
434,0.7828
435,0.7832
436,0.782
437,0.781
438,0.7812
439,0.7828
440,0.7818
441,0.782
442,0.7816
443,0.7822
444,0.7812
445,0.7808
446,0.7838
447,0.7812
448,0.7824
449,0.782
450,0.7824
451,0.7822
452,0.7822
453,0.7814
454,0.784
455,0.784
456,0.7854
457,0.7848
458,0.786
459,0.7868
460,0.7852
461,0.7842
462,0.7858
463,0.7866
464,0.7874
465,0.7878
466,0.7878
467,0.7888
468,0.788
469,0.7884
470,0.789
471,0.7884
472,0.788
473,0.7888
474,0.7898
475,0.7882
476,0.7874
477,0.7902
478,0.79
479,0.7892
480,0.7894
481,0.79
482,0.7882
483,0.7884
484,0.7886
485,0.7904
486,0.7888
487,0.7872
488,0.7858
489,0.7864
490,0.7872
491,0.7862
492,0.7852
493,0.7866
494,0.7862
495,0.7884
496,0.7854
497,0.7872
498,0.7864
499,0.7856
500,0.7866
