,1
0,0.2118
1,0.2236
2,0.2428
3,0.2554
4,0.2632
5,0.2566
6,0.2748
7,0.2892
8,0.2932
9,0.2962
10,0.315
11,0.3206
12,0.3246
13,0.3468
14,0.3492
15,0.3568
16,0.3596
17,0.3658
18,0.3632
19,0.364
20,0.366
21,0.3708
22,0.3698
23,0.3712
24,0.3808
25,0.3944
26,0.397
27,0.4082
28,0.4144
29,0.4182
30,0.4254
31,0.4326
32,0.4328
33,0.4408
34,0.4446
35,0.4546
36,0.4598
37,0.4636
38,0.4694
39,0.4718
40,0.4762
41,0.4748
42,0.4816
43,0.4844
44,0.4814
45,0.4888
46,0.4894
47,0.4956
48,0.4968
49,0.489
50,0.4884
51,0.4906
52,0.4952
53,0.4982
54,0.5086
55,0.5116
56,0.5154
57,0.5196
58,0.5222
59,0.5234
60,0.522
61,0.5222
62,0.5214
63,0.5226
64,0.5292
65,0.5332
66,0.5342
67,0.5308
68,0.5352
69,0.5314
70,0.5408
71,0.5406
72,0.545
73,0.5506
74,0.5592
75,0.567
76,0.5648
77,0.5732
78,0.574
79,0.5776
80,0.581
81,0.585
82,0.5874
83,0.5858
84,0.5868
85,0.584
86,0.587
87,0.5874
88,0.5826
89,0.58
90,0.5804
91,0.585
92,0.5828
93,0.5856
94,0.5958
95,0.599
96,0.6004
97,0.6054
98,0.6054
99,0.603
100,0.6092
101,0.613
102,0.61
103,0.6108
104,0.6124
105,0.612
106,0.615
107,0.6218
108,0.6224
109,0.6284
110,0.6304
111,0.6312
112,0.6324
113,0.6358
114,0.6404
115,0.641
116,0.642
117,0.6416
118,0.643
119,0.645
120,0.6436
121,0.642
122,0.6432
123,0.642
124,0.6434
125,0.6466
126,0.6454
127,0.6392
128,0.6384
129,0.6374
130,0.6368
131,0.6398
132,0.6388
133,0.6392
134,0.6382
135,0.6404
136,0.643
137,0.6446
138,0.6426
139,0.6458
140,0.6462
141,0.6436
142,0.645
143,0.647
144,0.6446
145,0.646
146,0.6476
147,0.6514
148,0.6516
149,0.6532
150,0.6526
151,0.6552
152,0.6526
153,0.6568
154,0.6556
155,0.655
156,0.657
157,0.658
158,0.6616
159,0.661
160,0.666
161,0.6664
162,0.669
163,0.6674
164,0.67
165,0.6686
166,0.667
167,0.6664
168,0.6662
169,0.6626
170,0.661
171,0.6638
172,0.6654
173,0.6642
174,0.6684
175,0.6732
176,0.6736
177,0.6752
178,0.6744
179,0.6768
180,0.6796
181,0.6798
182,0.6796
183,0.682
184,0.6798
185,0.678
186,0.6814
187,0.6826
188,0.6874
189,0.6834
190,0.6858
191,0.69
192,0.6892
193,0.6866
194,0.687
195,0.6894
196,0.6894
197,0.69
198,0.688
199,0.688
200,0.6906
201,0.697
202,0.6946
203,0.6936
204,0.693
205,0.6934
206,0.6898
207,0.6888
208,0.6882
209,0.686
210,0.6856
211,0.6816
212,0.6806
213,0.6864
214,0.688
215,0.6894
216,0.6896
217,0.6924
218,0.6902
219,0.688
220,0.6888
221,0.6898
222,0.6886
223,0.686
224,0.686
225,0.687
226,0.6894
227,0.6936
228,0.6972
229,0.7002
230,0.698
231,0.6994
232,0.6982
233,0.6974
234,0.6976
235,0.6974
236,0.702
237,0.7002
238,0.7048
239,0.7032
240,0.7028
241,0.7038
242,0.7048
243,0.7058
244,0.7074
245,0.7084
246,0.7062
247,0.7054
248,0.705
249,0.7044
250,0.703
251,0.7036
252,0.7074
253,0.7082
254,0.7104
255,0.7102
256,0.7106
257,0.7088
258,0.7108
259,0.7144
260,0.7162
261,0.7154
262,0.7156
263,0.7154
264,0.7174
265,0.717
266,0.7158
267,0.7194
268,0.7162
269,0.715
270,0.7166
271,0.717
272,0.719
273,0.7176
274,0.7184
275,0.7196
276,0.7218
277,0.723
278,0.7242
279,0.726
280,0.7242
281,0.7274
282,0.725
283,0.7244
284,0.7238
285,0.7254
286,0.728
287,0.7258
288,0.729
289,0.7332
290,0.7328
291,0.733
292,0.7308
293,0.733
294,0.732
295,0.7322
296,0.7306
297,0.7304
298,0.731
299,0.731
300,0.7348
301,0.7338
302,0.7358
303,0.7348
304,0.7362
305,0.7354
306,0.7384
307,0.741
308,0.741
309,0.7396
310,0.74
311,0.7362
312,0.7386
313,0.7366
314,0.7372
315,0.7408
316,0.741
317,0.7426
318,0.7408
319,0.7402
320,0.7426
321,0.747
322,0.7462
323,0.7482
324,0.7468
325,0.744
326,0.746
327,0.7466
328,0.7458
329,0.746
330,0.7476
331,0.747
332,0.7454
333,0.7446
334,0.7464
335,0.749
336,0.7464
337,0.7484
338,0.7474
339,0.7484
340,0.7486
341,0.7494
342,0.75
343,0.749
344,0.7522
345,0.7502
346,0.75
347,0.7504
348,0.7528
349,0.7566
350,0.7554
351,0.755
352,0.7528
353,0.7532
354,0.7552
355,0.7534
356,0.7542
357,0.7544
358,0.7578
359,0.7578
360,0.7582
361,0.7588
362,0.7568
363,0.7594
364,0.761
365,0.7596
366,0.7592
367,0.758
368,0.7606
369,0.7608
370,0.759
371,0.76
372,0.758
373,0.7578
374,0.7608
375,0.7572
376,0.7568
377,0.756
378,0.7564
379,0.7546
380,0.7522
381,0.7538
382,0.7534
383,0.7552
384,0.7556
385,0.7562
386,0.7558
387,0.7562
388,0.7574
389,0.7562
390,0.7582
391,0.7582
392,0.759
393,0.7584
394,0.759
395,0.7626
396,0.7624
397,0.7622
398,0.7626
399,0.7646
400,0.7616
401,0.7614
402,0.7632
403,0.7656
404,0.7634
405,0.7658
406,0.765
407,0.7628
408,0.7612
409,0.7628
410,0.764
411,0.767
412,0.7654
413,0.7682
414,0.7654
415,0.7668
416,0.7638
417,0.7666
418,0.7654
419,0.7654
420,0.7622
421,0.7628
422,0.7626
423,0.7598
424,0.7606
425,0.759
426,0.7636
427,0.763
428,0.764
429,0.762
430,0.7642
431,0.7652
432,0.7658
433,0.766
434,0.766
435,0.7682
436,0.768
437,0.768
438,0.7682
439,0.767
440,0.7656
441,0.7642
442,0.7686
443,0.7722
444,0.7702
445,0.7714
446,0.7714
447,0.7692
448,0.7712
449,0.7708
450,0.7706
451,0.7708
452,0.7706
453,0.7696
454,0.7684
455,0.77
456,0.7658
457,0.7666
458,0.7686
459,0.7688
460,0.7694
461,0.7688
462,0.7696
463,0.7684
464,0.7678
465,0.7694
466,0.7684
467,0.768
468,0.7688
469,0.7688
470,0.769
471,0.7682
472,0.769
473,0.769
474,0.7668
475,0.7678
476,0.769
477,0.7662
478,0.7668
479,0.767
480,0.7666
481,0.77
482,0.7672
483,0.7696
484,0.769
485,0.7706
486,0.7706
487,0.7678
488,0.7676
489,0.7686
490,0.7642
491,0.7664
492,0.7672
493,0.7686
494,0.7684
495,0.7674
496,0.7668
497,0.7694
498,0.7686
499,0.7694
500,0.768
