,1
0,0.2552
1,0.2596
2,0.2732
3,0.2778
4,0.2842
5,0.2996
6,0.3002
7,0.3068
8,0.3056
9,0.3138
10,0.3356
11,0.34
12,0.34
13,0.3412
14,0.3424
15,0.3414
16,0.3578
17,0.3594
18,0.3594
19,0.3648
20,0.3712
21,0.3726
22,0.373
23,0.3738
24,0.3738
25,0.3804
26,0.383
27,0.3834
28,0.4
29,0.401
30,0.4048
31,0.4056
32,0.4128
33,0.4254
34,0.4286
35,0.4292
36,0.4292
37,0.4276
38,0.433
39,0.4342
40,0.4356
41,0.4468
42,0.4484
43,0.4476
44,0.447
45,0.47
46,0.4714
47,0.47
48,0.4692
49,0.4752
50,0.486
51,0.4924
52,0.4918
53,0.4918
54,0.4948
55,0.4972
56,0.4996
57,0.5026
58,0.5042
59,0.5112
60,0.5098
61,0.515
62,0.5202
63,0.5216
64,0.5234
65,0.5258
66,0.5274
67,0.5274
68,0.5276
69,0.537
70,0.5372
71,0.5392
72,0.5464
73,0.5486
74,0.5496
75,0.55
76,0.559
77,0.5624
78,0.5648
79,0.5652
80,0.5648
81,0.5644
82,0.5642
83,0.571
84,0.5714
85,0.5722
86,0.5764
87,0.576
88,0.5762
89,0.5762
90,0.576
91,0.5752
92,0.5792
93,0.579
94,0.58
95,0.5818
96,0.5834
97,0.5836
98,0.584
99,0.5902
100,0.5932
101,0.5984
102,0.5984
103,0.5986
104,0.5998
105,0.5996
106,0.5994
107,0.5992
108,0.6004
109,0.6004
110,0.6048
111,0.6044
112,0.6038
113,0.6038
114,0.6028
115,0.6012
116,0.6018
117,0.6044
118,0.6044
119,0.616
120,0.6184
121,0.6186
122,0.63
123,0.6314
124,0.633
125,0.6342
126,0.6364
127,0.6458
128,0.6466
129,0.6506
130,0.6522
131,0.6514
132,0.6512
133,0.6518
134,0.6536
135,0.6526
136,0.6538
137,0.6548
138,0.6548
139,0.6564
140,0.6566
141,0.6556
142,0.6542
143,0.6542
144,0.655
145,0.6552
146,0.6528
147,0.6536
148,0.652
149,0.6534
150,0.6536
151,0.6558
152,0.6572
153,0.6586
154,0.6598
155,0.6586
156,0.6592
157,0.6608
158,0.6602
159,0.6648
160,0.669
161,0.6696
162,0.6702
163,0.6716
164,0.6708
165,0.6702
166,0.6672
167,0.667
168,0.6678
169,0.667
170,0.6682
171,0.6704
172,0.6722
173,0.6726
174,0.6724
175,0.6732
176,0.6738
177,0.6724
178,0.6738
179,0.6736
180,0.6728
181,0.6746
182,0.6752
183,0.6762
184,0.6762
185,0.6766
186,0.678
187,0.6778
188,0.6792
189,0.681
190,0.681
191,0.6806
192,0.6816
193,0.681
194,0.6816
195,0.6804
