,1
0,0.247
1,0.244
2,0.219
3,0.159
4,0.121
5,0.114
6,0.115
7,0.117
8,0.13
9,0.227
10,0.225
11,0.223
12,0.223
13,0.206
14,0.203
15,0.286
16,0.29
17,0.331
18,0.326
19,0.318
20,0.315
21,0.336
22,0.365
23,0.366
24,0.361
25,0.351
26,0.339
27,0.321
28,0.357
29,0.361
30,0.364
31,0.367
32,0.366
33,0.395
34,0.396
35,0.395
36,0.397
37,0.395
38,0.421
39,0.427
40,0.428
41,0.43
42,0.425
43,0.416
44,0.408
45,0.405
46,0.383
47,0.369
48,0.361
49,0.412
50,0.399
51,0.399
52,0.439
53,0.435
54,0.434
55,0.444
56,0.45
57,0.452
58,0.447
59,0.47
60,0.469
61,0.481
62,0.473
63,0.468
64,0.459
65,0.459
66,0.465
67,0.471
68,0.459
69,0.451
70,0.443
71,0.435
72,0.462
73,0.457
74,0.446
75,0.438
76,0.435
77,0.443
78,0.444
79,0.487
80,0.486
81,0.487
82,0.483
83,0.483
84,0.477
85,0.488
86,0.481
87,0.495
88,0.495
89,0.488
90,0.481
91,0.488
92,0.486
93,0.483
94,0.481
95,0.482
96,0.501
97,0.5
98,0.509
99,0.51
100,0.502
101,0.497
102,0.495
103,0.498
104,0.498
105,0.521
106,0.517
107,0.516
108,0.52
109,0.513
110,0.51
111,0.494
112,0.494
113,0.491
114,0.508
115,0.507
116,0.507
117,0.521
118,0.527
119,0.518
120,0.517
121,0.546
122,0.545
123,0.546
124,0.55
125,0.553
126,0.568
127,0.566
128,0.562
129,0.577
130,0.574
131,0.584
132,0.588
133,0.586
134,0.586
135,0.588
136,0.58
137,0.577
138,0.594
139,0.578
140,0.602
141,0.601
142,0.597
143,0.584
144,0.574
145,0.603
146,0.606
147,0.599
148,0.594
149,0.6
150,0.6
151,0.597
152,0.591
153,0.584
154,0.593
155,0.613
156,0.598
157,0.601
158,0.607
159,0.604
160,0.595
161,0.591
162,0.613
163,0.609
164,0.606
165,0.616
166,0.612
167,0.607
168,0.603
169,0.628
170,0.618
171,0.616
172,0.601
173,0.624
174,0.614
175,0.605
176,0.626
177,0.626
178,0.629
179,0.621
180,0.614
181,0.615
182,0.635
183,0.625
184,0.617
185,0.625
186,0.623
187,0.628
188,0.628
189,0.638
190,0.631
191,0.64
192,0.627
193,0.644
194,0.638
195,0.632
196,0.634
197,0.637
198,0.635
199,0.633
200,0.639
201,0.632
202,0.648
203,0.646
204,0.646
205,0.637
206,0.643
207,0.643
208,0.638
209,0.65
210,0.643
211,0.65
212,0.648
213,0.646
214,0.649
215,0.64
216,0.666
217,0.656
218,0.65
219,0.651
220,0.665
221,0.655
222,0.656
223,0.654
224,0.661
225,0.651
226,0.674
227,0.66
228,0.65
229,0.671
230,0.654
231,0.66
232,0.672
233,0.676
234,0.672
235,0.667
236,0.669
237,0.67
238,0.683
239,0.676
240,0.669
241,0.668
242,0.682
243,0.678
244,0.69
245,0.674
246,0.696
247,0.686
248,0.683
249,0.693
250,0.682
251,0.687
252,0.691
253,0.686
254,0.683
255,0.689
256,0.693
257,0.685
258,0.696
259,0.692
260,0.7
261,0.702
262,0.694
263,0.706
264,0.694
265,0.702
266,0.693
267,0.708
268,0.698
269,0.717
270,0.705
271,0.711
272,0.722
273,0.713
274,0.71
275,0.722
276,0.716
277,0.713
278,0.716
279,0.712
280,0.724
281,0.716
282,0.718
283,0.713
284,0.716
285,0.714
286,0.716
287,0.718
288,0.711
289,0.719
290,0.711
291,0.714
292,0.72
293,0.709
294,0.714
295,0.725
296,0.719
297,0.717
298,0.721
299,0.711
300,0.728
301,0.72
302,0.721
303,0.713
304,0.718
305,0.713
306,0.715
307,0.728
308,0.723
309,0.718
310,0.72
311,0.71
312,0.709
313,0.73
314,0.714
315,0.708
316,0.722
317,0.717
318,0.712
319,0.71
320,0.719
321,0.711
322,0.722
323,0.721
324,0.723
325,0.717
326,0.719
327,0.72
328,0.722
329,0.722
330,0.706
331,0.709
332,0.72
333,0.715
334,0.714
335,0.729
336,0.716
337,0.728
338,0.731
339,0.713
340,0.722
341,0.724
342,0.718
343,0.727
344,0.727
345,0.73
346,0.733
347,0.726
348,0.724
349,0.733
350,0.726
351,0.735
352,0.731
353,0.733
354,0.727
355,0.727
356,0.728
357,0.717
358,0.739
359,0.724
360,0.735
361,0.729
362,0.74
363,0.736
364,0.736
365,0.737
366,0.726
367,0.733
368,0.74
369,0.74
370,0.735
371,0.732
372,0.735
373,0.74
374,0.729
375,0.734
376,0.735
377,0.732
378,0.732
379,0.734
380,0.733
381,0.732
382,0.734
383,0.733
384,0.734
385,0.737
386,0.727
387,0.739
388,0.74
389,0.732
390,0.737
391,0.734
392,0.735
393,0.736
394,0.735
395,0.738
396,0.73
397,0.736
398,0.735
399,0.737
400,0.736
401,0.728
402,0.738
403,0.735
404,0.73
405,0.744
406,0.73
407,0.741
408,0.739
409,0.738
410,0.742
411,0.736
412,0.734
413,0.74
414,0.73
415,0.735
416,0.73
417,0.745
418,0.736
419,0.727
420,0.749
421,0.736
422,0.742
423,0.744
424,0.738
425,0.743
426,0.742
427,0.739
428,0.744
429,0.744
430,0.739
431,0.753
432,0.74
