,1
0,0.255
1,0.279
2,0.305
3,0.333
4,0.35
5,0.355
6,0.371
7,0.369
8,0.372
9,0.37
10,0.361
11,0.36
12,0.361
13,0.366
14,0.376
15,0.388
16,0.389
17,0.392
18,0.399
19,0.415
20,0.418
21,0.417
22,0.415
23,0.414
24,0.419
25,0.428
26,0.436
27,0.442
28,0.441
29,0.441
30,0.453
31,0.467
32,0.467
33,0.467
34,0.463
35,0.466
36,0.471
37,0.47
38,0.478
39,0.476
40,0.477
41,0.479
42,0.481
43,0.485
44,0.49
45,0.498
46,0.502
47,0.503
48,0.503
49,0.501
50,0.507
51,0.507
52,0.507
53,0.517
54,0.514
55,0.516
56,0.522
57,0.522
58,0.525
59,0.532
60,0.536
61,0.537
62,0.537
63,0.538
64,0.539
65,0.539
66,0.539
67,0.549
68,0.553
69,0.556
70,0.559
71,0.559
72,0.559
73,0.558
74,0.567
75,0.566
76,0.567
77,0.569
78,0.573
79,0.574
80,0.573
81,0.574
82,0.574
83,0.574
84,0.574
85,0.575
86,0.573
87,0.573
88,0.574
89,0.578
90,0.58
91,0.593
92,0.596
93,0.593
94,0.596
95,0.596
96,0.596
97,0.596
98,0.597
99,0.598
100,0.597
101,0.597
102,0.598
103,0.605
104,0.602
105,0.602
106,0.603
107,0.606
108,0.609
109,0.615
110,0.615
111,0.614
112,0.622
113,0.625
114,0.626
115,0.627
116,0.623
117,0.625
118,0.628
119,0.628
120,0.628
121,0.628
122,0.626
123,0.629
124,0.633
125,0.634
126,0.641
127,0.642
128,0.646
129,0.645
130,0.649
131,0.656
132,0.661
133,0.665
134,0.67
135,0.671
136,0.672
137,0.672
138,0.672
139,0.675
140,0.67
141,0.668
142,0.67
143,0.667
144,0.665
145,0.665
146,0.665
147,0.667
148,0.668
149,0.668
150,0.673
151,0.674
152,0.674
153,0.674
154,0.674
155,0.675
156,0.673
157,0.674
158,0.673
159,0.674
160,0.674
161,0.675
162,0.673
163,0.673
164,0.672
165,0.671
166,0.671
167,0.67
168,0.669
169,0.668
170,0.668
171,0.672
172,0.672
173,0.672
174,0.671
175,0.671
176,0.673
177,0.677
178,0.677
179,0.677
180,0.677
181,0.678
182,0.679
183,0.686
184,0.682
185,0.683
186,0.689
187,0.691
188,0.692
189,0.693
190,0.694
191,0.694
192,0.697
193,0.696
194,0.699
195,0.699
196,0.698
197,0.698
198,0.698
199,0.698
200,0.698
201,0.699
202,0.699
203,0.699
204,0.699
205,0.7
206,0.7
207,0.7
208,0.7
209,0.704
210,0.704
211,0.705
212,0.708
213,0.712
214,0.713
215,0.714
216,0.714
217,0.714
218,0.715
219,0.715
220,0.715
221,0.721
222,0.723
223,0.724
224,0.724
225,0.723
226,0.725
227,0.725
228,0.728
229,0.729
230,0.729
231,0.729
232,0.729
233,0.726
234,0.726
235,0.726
236,0.726
237,0.724
238,0.725
239,0.726
240,0.726
241,0.728
242,0.728
243,0.729
244,0.729
245,0.729
246,0.729
247,0.729
248,0.729
249,0.729
250,0.728
251,0.729
252,0.729
253,0.728
254,0.728
255,0.728
256,0.732
257,0.733
258,0.733
259,0.734
260,0.733
261,0.738
262,0.738
263,0.738
264,0.738
265,0.739
266,0.739
267,0.739
268,0.739
269,0.738
270,0.737
271,0.739
272,0.741
273,0.741
274,0.741
275,0.741
276,0.741
277,0.742
278,0.742
279,0.741
280,0.741
281,0.741
282,0.741
283,0.741
284,0.744
285,0.744
286,0.745
287,0.744
288,0.744
289,0.744
290,0.746
291,0.746
292,0.746
293,0.747
294,0.746
295,0.747
296,0.747
297,0.747
298,0.747
299,0.747
300,0.746
301,0.745
302,0.745
303,0.746
304,0.745
305,0.745
306,0.746
307,0.747
308,0.748
309,0.749
310,0.752
311,0.754
312,0.757
313,0.757
314,0.757
315,0.759
316,0.76
317,0.76
318,0.762
319,0.759
320,0.76
321,0.76
322,0.76
323,0.76
324,0.764
325,0.766
326,0.766
327,0.765
328,0.765
329,0.762
330,0.762
331,0.763
332,0.763
333,0.763
334,0.763
335,0.763
336,0.763
337,0.764
338,0.764
339,0.765
340,0.765
341,0.766
342,0.766
343,0.767
344,0.766
345,0.761
346,0.762
347,0.762
348,0.761
349,0.76
350,0.758
351,0.757
352,0.757
353,0.757
354,0.757
355,0.756
356,0.756
357,0.756
358,0.755
359,0.755
360,0.755
361,0.757
362,0.758
363,0.757
364,0.755
365,0.755
366,0.754
367,0.754
368,0.754
369,0.754
370,0.755
371,0.755
372,0.756
373,0.757
374,0.76
375,0.76
376,0.76
377,0.761
378,0.762
379,0.762
380,0.761
381,0.761
382,0.763
383,0.763
384,0.763
385,0.762
386,0.762
387,0.762
388,0.761
389,0.764
390,0.763
391,0.763
392,0.767
393,0.766
394,0.766
395,0.765
396,0.765
397,0.765
398,0.764
399,0.764
400,0.763
401,0.763
402,0.764
403,0.765
404,0.766
405,0.766
406,0.768
407,0.768
408,0.771
409,0.771
410,0.771
411,0.77
412,0.774
413,0.773
414,0.772
415,0.773
416,0.773
417,0.775
418,0.775
419,0.776
420,0.776
421,0.776
422,0.776
423,0.777
424,0.777
425,0.778
426,0.778
427,0.778
428,0.778
429,0.778
430,0.778
431,0.778
432,0.778
433,0.779
434,0.78
435,0.78
436,0.781
437,0.782
438,0.782
439,0.782
440,0.781
441,0.782
442,0.782
443,0.783
444,0.783
445,0.783
446,0.782
447,0.781
448,0.781
449,0.782
450,0.781
451,0.78
452,0.78
453,0.78
454,0.78
455,0.78
456,0.78
457,0.781
458,0.781
459,0.782
460,0.782
461,0.785
462,0.786
463,0.787
464,0.788
465,0.787
466,0.788
467,0.787
468,0.788
469,0.788
470,0.789
471,0.788
472,0.789
473,0.788
474,0.787
475,0.789
476,0.788
477,0.787
478,0.788
479,0.787
480,0.785
481,0.786
482,0.786
483,0.787
484,0.787
485,0.787
486,0.787
487,0.787
488,0.786
489,0.786
490,0.786
491,0.786
492,0.785
493,0.787
494,0.787
495,0.787
496,0.787
497,0.787
498,0.787
499,0.787
500,0.786
