,1
0,0.195
1,0.251
2,0.246
3,0.277
4,0.261
5,0.287
6,0.294
7,0.299
8,0.303
9,0.312
10,0.322
11,0.322
12,0.322
13,0.321
14,0.322
15,0.322
16,0.323
17,0.332
18,0.336
19,0.347
20,0.367
21,0.388
22,0.397
23,0.402
24,0.408
25,0.408
26,0.408
27,0.409
28,0.41
29,0.409
30,0.41
31,0.417
32,0.424
33,0.429
34,0.429
35,0.43
36,0.435
37,0.437
38,0.45
39,0.46
40,0.464
41,0.474
42,0.48
43,0.483
44,0.481
45,0.483
46,0.49
47,0.498
48,0.505
49,0.51
50,0.499
51,0.498
52,0.497
53,0.498
54,0.497
55,0.498
56,0.498
57,0.498
58,0.5
59,0.501
60,0.499
61,0.498
62,0.499
63,0.496
64,0.496
65,0.495
66,0.495
67,0.495
68,0.495
69,0.494
70,0.495
71,0.496
72,0.496
73,0.496
74,0.497
75,0.497
76,0.49
77,0.489
78,0.492
79,0.496
80,0.495
81,0.497
82,0.491
83,0.497
84,0.498
85,0.502
86,0.502
87,0.502
88,0.507
89,0.513
90,0.513
91,0.514
92,0.515
93,0.515
94,0.513
95,0.515
96,0.518
97,0.521
98,0.523
99,0.522
100,0.521
101,0.521
102,0.52
103,0.52
104,0.523
105,0.52
106,0.521
107,0.524
108,0.524
109,0.532
110,0.533
111,0.533
112,0.53
113,0.535
114,0.535
115,0.535
116,0.534
117,0.539
118,0.546
119,0.549
120,0.549
121,0.55
122,0.549
123,0.55
124,0.551
125,0.551
126,0.552
127,0.553
128,0.552
129,0.552
130,0.564
131,0.563
132,0.565
133,0.566
134,0.566
135,0.572
136,0.572
137,0.574
138,0.574
139,0.575
140,0.575
141,0.575
142,0.576
143,0.576
144,0.577
145,0.577
146,0.58
147,0.582
148,0.577
149,0.577
150,0.579
151,0.583
152,0.583
153,0.591
154,0.59
155,0.59
156,0.59
157,0.589
158,0.588
159,0.589
160,0.591
161,0.591
162,0.591
163,0.591
164,0.592
165,0.592
166,0.592
167,0.601
168,0.602
169,0.602
170,0.604
171,0.605
172,0.605
173,0.605
174,0.604
175,0.609
176,0.61
177,0.612
178,0.612
179,0.618
180,0.618
181,0.62
182,0.62
183,0.624
184,0.623
185,0.631
186,0.631
187,0.632
188,0.627
189,0.637
190,0.637
191,0.638
192,0.637
193,0.637
194,0.635
195,0.636
196,0.636
197,0.637
198,0.638
199,0.638
200,0.637
201,0.637
202,0.642
203,0.642
204,0.644
205,0.644
206,0.644
207,0.644
208,0.648
209,0.648
210,0.648
211,0.648
212,0.648
213,0.648
214,0.646
215,0.648
216,0.652
217,0.652
218,0.652
219,0.653
220,0.652
221,0.652
222,0.652
223,0.652
224,0.655
225,0.66
226,0.66
227,0.655
228,0.656
229,0.657
230,0.658
231,0.658
232,0.658
233,0.662
234,0.663
235,0.662
236,0.664
237,0.665
238,0.662
239,0.666
240,0.665
241,0.665
242,0.666
243,0.666
244,0.666
245,0.665
246,0.668
247,0.668
248,0.672
249,0.672
250,0.672
251,0.672
252,0.671
253,0.672
254,0.671
255,0.672
256,0.673
257,0.678
258,0.678
259,0.678
260,0.684
261,0.684
262,0.684
263,0.685
264,0.686
265,0.687
266,0.686
267,0.686
268,0.686
269,0.686
270,0.688
271,0.688
272,0.687
273,0.687
274,0.688
275,0.688
276,0.689
277,0.689
278,0.688
279,0.688
280,0.688
281,0.69
282,0.692
283,0.693
284,0.693
285,0.694
286,0.695
287,0.695
288,0.694
289,0.694
290,0.694
291,0.694
292,0.694
293,0.696
294,0.696
295,0.696
296,0.691
297,0.691
298,0.691
299,0.692
300,0.694
301,0.695
302,0.694
303,0.694
304,0.696
305,0.696
306,0.696
307,0.698
308,0.698
309,0.698
310,0.699
311,0.699
312,0.7
313,0.7
314,0.697
315,0.698
316,0.698
317,0.698
318,0.698
319,0.698
320,0.698
321,0.698
322,0.7
323,0.7
324,0.7
325,0.7
326,0.699
