,1
0,0.229
1,0.245
2,0.254
3,0.265
4,0.269
5,0.284
6,0.32
7,0.336
8,0.351
9,0.366
10,0.367
11,0.367
12,0.373
13,0.373
14,0.375
15,0.375
16,0.383
17,0.389
18,0.388
19,0.382
20,0.382
21,0.385
22,0.401
23,0.419
24,0.433
25,0.443
26,0.449
27,0.456
28,0.447
29,0.44
30,0.436
31,0.438
32,0.441
33,0.449
34,0.462
35,0.466
36,0.472
37,0.486
38,0.485
39,0.485
40,0.478
41,0.484
42,0.485
43,0.482
44,0.483
45,0.48
46,0.487
47,0.491
48,0.5
49,0.508
50,0.508
51,0.508
52,0.508
53,0.508
54,0.508
55,0.508
56,0.508
57,0.508
58,0.507
59,0.507
60,0.505
61,0.502
62,0.502
63,0.503
64,0.503
65,0.501
66,0.513
67,0.514
68,0.514
69,0.521
70,0.526
71,0.526
72,0.526
73,0.529
74,0.528
75,0.529
76,0.529
77,0.533
78,0.532
79,0.531
80,0.533
81,0.533
82,0.53
83,0.531
84,0.54
85,0.544
86,0.546
87,0.553
88,0.554
89,0.564
90,0.572
91,0.576
92,0.577
93,0.584
94,0.586
95,0.587
96,0.584
97,0.585
98,0.587
99,0.582
100,0.582
101,0.586
102,0.587
103,0.587
104,0.595
105,0.597
106,0.605
107,0.612
108,0.615
109,0.615
110,0.615
111,0.618
112,0.619
113,0.617
114,0.616
115,0.616
116,0.616
117,0.616
118,0.617
119,0.617
120,0.626
121,0.635
122,0.635
123,0.635
124,0.635
125,0.635
126,0.638
127,0.636
128,0.641
129,0.642
130,0.642
131,0.642
132,0.64
133,0.64
134,0.641
135,0.647
136,0.651
137,0.651
138,0.647
139,0.646
140,0.646
141,0.646
142,0.651
143,0.646
144,0.649
145,0.65
146,0.652
147,0.653
148,0.653
149,0.655
150,0.656
151,0.657
152,0.659
153,0.658
154,0.658
155,0.658
156,0.658
157,0.658
158,0.66
159,0.661
160,0.661
161,0.661
162,0.661
163,0.658
164,0.659
165,0.659
166,0.659
167,0.659
168,0.658
169,0.658
170,0.659
171,0.662
172,0.663
173,0.663
174,0.664
175,0.664
176,0.664
177,0.668
178,0.667
179,0.667
180,0.674
181,0.674
182,0.675
183,0.679
184,0.679
185,0.68
186,0.679
187,0.681
188,0.68
189,0.679
190,0.683
191,0.683
192,0.682
193,0.681
194,0.683
195,0.679
196,0.68
197,0.681
198,0.681
199,0.685
200,0.685
201,0.684
202,0.684
203,0.684
204,0.684
205,0.684
206,0.683
207,0.683
208,0.686
209,0.685
210,0.686
211,0.686
212,0.685
213,0.685
214,0.683
215,0.684
216,0.687
217,0.695
218,0.698
219,0.698
220,0.699
221,0.703
222,0.702
223,0.703
224,0.703
225,0.7
226,0.71
227,0.71
228,0.71
229,0.71
230,0.71
231,0.71
232,0.712
233,0.714
234,0.714
235,0.714
236,0.714
237,0.715
238,0.715
239,0.709
240,0.708
241,0.708
242,0.708
243,0.707
244,0.708
245,0.708
246,0.708
247,0.708
248,0.71
249,0.709
250,0.712
251,0.712
252,0.711
253,0.711
254,0.711
255,0.711
256,0.712
257,0.712
258,0.713
259,0.713
260,0.713
261,0.716
262,0.715
263,0.715
264,0.715
265,0.715
266,0.716
267,0.715
268,0.718
269,0.717
270,0.717
271,0.719
272,0.719
273,0.719
274,0.724
275,0.724
276,0.724
277,0.728
278,0.729
279,0.728
280,0.728
281,0.732
282,0.732
283,0.732
284,0.732
285,0.732
286,0.732
287,0.733
288,0.732
289,0.732
290,0.732
291,0.733
292,0.733
293,0.733
294,0.734
295,0.735
296,0.734
297,0.734
298,0.737
299,0.737
300,0.739
301,0.738
302,0.735
303,0.736
304,0.736
305,0.737
306,0.737
307,0.736
308,0.736
309,0.736
310,0.737
311,0.737
312,0.738
313,0.739
314,0.736
315,0.735
316,0.735
317,0.735
318,0.736
319,0.737
320,0.736
321,0.737
322,0.737
323,0.739
324,0.74
325,0.739
326,0.74
327,0.742
328,0.741
329,0.741
330,0.741
331,0.741
332,0.744
333,0.744
334,0.745
335,0.745
336,0.745
337,0.743
338,0.744
339,0.744
340,0.744
341,0.744
342,0.745
343,0.745
344,0.745
345,0.745
346,0.744
347,0.744
348,0.746
349,0.746
350,0.746
351,0.746
352,0.746
353,0.747
354,0.747
355,0.747
356,0.747
357,0.748
358,0.749
359,0.749
360,0.75
361,0.75
362,0.75
363,0.75
364,0.749
365,0.749
366,0.751
367,0.751
368,0.751
369,0.751
370,0.751
371,0.75
372,0.754
373,0.758
374,0.759
375,0.758
376,0.758
377,0.758
378,0.76
379,0.76
380,0.76
381,0.76
382,0.76
383,0.76
384,0.76
385,0.76
386,0.76
387,0.76
388,0.761
389,0.76
390,0.76
391,0.759
392,0.76
393,0.76
394,0.76
395,0.76
396,0.76
397,0.76
398,0.76
399,0.76
400,0.76
401,0.761
402,0.761
403,0.761
404,0.762
405,0.763
406,0.763
407,0.763
408,0.763
409,0.762
410,0.761
411,0.761
412,0.761
413,0.761
414,0.761
415,0.763
416,0.763
417,0.763
418,0.763
419,0.76
420,0.761
421,0.761
422,0.761
423,0.761
424,0.761
425,0.761
426,0.762
427,0.763
428,0.763
429,0.764
430,0.764
431,0.764
432,0.765
433,0.766
434,0.767
435,0.768
436,0.766
437,0.765
438,0.769
439,0.77
440,0.77
441,0.77
442,0.77
443,0.77
444,0.77
445,0.769
446,0.769
447,0.769
448,0.77
449,0.77
450,0.77
451,0.771
452,0.77
453,0.77
454,0.77
455,0.77
456,0.77
457,0.77
458,0.77
459,0.77
460,0.769
461,0.77
462,0.77
463,0.77
464,0.77
465,0.77
466,0.77
467,0.77
468,0.77
469,0.77
470,0.77
471,0.77
472,0.77
473,0.77
474,0.769
475,0.768
476,0.767
477,0.767
478,0.768
479,0.769
480,0.769
481,0.769
482,0.769
483,0.77
484,0.77
485,0.77
486,0.77
487,0.77
488,0.77
489,0.77
490,0.769
491,0.767
492,0.767
493,0.769
494,0.768
495,0.768
496,0.769
497,0.769
498,0.769
499,0.769
500,0.769
