,1
0,0.231
1,0.228
2,0.226
3,0.242
4,0.243
5,0.262
6,0.269
7,0.27
8,0.269
9,0.277
10,0.281
11,0.311
12,0.312
13,0.311
14,0.311
15,0.327
16,0.346
17,0.361
18,0.368
19,0.377
20,0.39
21,0.39
22,0.391
23,0.387
24,0.397
25,0.412
26,0.412
27,0.412
28,0.409
29,0.411
30,0.425
31,0.432
32,0.43
33,0.459
34,0.46
35,0.463
36,0.468
37,0.472
38,0.482
39,0.492
40,0.491
41,0.493
42,0.497
43,0.51
44,0.509
45,0.509
46,0.514
47,0.511
48,0.512
49,0.516
50,0.517
51,0.519
52,0.522
53,0.526
54,0.531
55,0.53
56,0.537
57,0.534
58,0.536
59,0.536
60,0.558
61,0.556
62,0.558
63,0.558
64,0.557
65,0.56
66,0.567
67,0.561
68,0.558
69,0.56
70,0.564
71,0.564
72,0.564
73,0.564
74,0.563
75,0.563
76,0.569
77,0.578
78,0.578
79,0.578
80,0.579
81,0.576
82,0.575
83,0.577
84,0.58
85,0.585
86,0.585
87,0.585
88,0.585
89,0.58
90,0.589
91,0.592
92,0.592
93,0.599
94,0.599
95,0.6
96,0.601
97,0.608
98,0.608
99,0.609
100,0.616
101,0.616
102,0.62
103,0.623
104,0.623
105,0.623
106,0.623
107,0.624
108,0.624
109,0.627
110,0.628
111,0.634
112,0.634
113,0.633
114,0.63
115,0.632
116,0.632
117,0.632
118,0.639
119,0.639
120,0.646
121,0.647
122,0.647
123,0.646
124,0.646
125,0.645
126,0.644
127,0.644
128,0.644
129,0.645
130,0.646
131,0.647
132,0.647
133,0.648
134,0.648
135,0.653
136,0.653
137,0.654
138,0.664
139,0.667
140,0.669
141,0.669
142,0.669
143,0.668
144,0.667
145,0.668
146,0.668
147,0.674
148,0.676
149,0.678
150,0.677
151,0.677
152,0.677
153,0.677
154,0.678
155,0.678
156,0.679
157,0.678
158,0.68
159,0.679
160,0.681
161,0.687
162,0.687
163,0.69
164,0.692
165,0.697
166,0.697
167,0.695
168,0.695
169,0.696
170,0.697
171,0.698
172,0.698
173,0.699
174,0.699
175,0.698
176,0.698
177,0.698
178,0.698
179,0.7
180,0.701
181,0.701
182,0.703
183,0.699
184,0.704
185,0.706
186,0.708
187,0.708
188,0.71
189,0.71
190,0.71
191,0.71
192,0.71
193,0.709
194,0.71
195,0.711
196,0.711
197,0.711
198,0.711
199,0.717
200,0.722
201,0.722
202,0.718
203,0.717
204,0.717
205,0.717
206,0.718
207,0.719
208,0.718
209,0.719
210,0.721
211,0.721
212,0.721
213,0.721
214,0.721
215,0.721
216,0.722
217,0.722
218,0.723
219,0.726
220,0.723
221,0.724
222,0.724
223,0.724
224,0.724
225,0.724
226,0.724
227,0.724
228,0.724
229,0.723
230,0.724
231,0.725
232,0.725
233,0.725
234,0.725
235,0.725
236,0.726
237,0.726
238,0.727
239,0.725
240,0.725
241,0.723
242,0.722
243,0.722
244,0.723
245,0.722
246,0.724
247,0.724
248,0.723
249,0.724
250,0.723
251,0.722
252,0.722
253,0.724
254,0.724
255,0.726
256,0.726
257,0.728
258,0.728
259,0.727
260,0.728
261,0.728
262,0.732
263,0.732
264,0.732
265,0.729
266,0.729
267,0.729
268,0.729
269,0.729
270,0.729
271,0.73
272,0.73
273,0.733
274,0.734
275,0.736
276,0.736
277,0.737
278,0.736
279,0.736
280,0.736
281,0.737
282,0.737
283,0.737
284,0.743
285,0.743
286,0.744
287,0.745
288,0.745
289,0.745
290,0.745
291,0.745
292,0.75
293,0.749
294,0.749
295,0.748
296,0.747
297,0.75
298,0.75
299,0.75
300,0.75
301,0.751
302,0.752
303,0.752
304,0.753
305,0.754
306,0.754
307,0.753
308,0.753
309,0.752
310,0.751
311,0.754
312,0.756
313,0.754
314,0.755
315,0.755
316,0.755
317,0.754
318,0.752
319,0.752
320,0.751
321,0.751
322,0.751
323,0.751
324,0.75
325,0.751
326,0.751
327,0.75
328,0.75
329,0.751
330,0.751
331,0.751
332,0.751
333,0.751
334,0.749
335,0.749
336,0.748
337,0.748
338,0.748
339,0.748
340,0.748
341,0.749
342,0.749
343,0.749
344,0.749
345,0.749
346,0.747
347,0.746
348,0.746
349,0.748
350,0.748
351,0.746
352,0.746
353,0.746
354,0.748
355,0.749
356,0.749
357,0.749
358,0.75
359,0.75
360,0.749
361,0.747
362,0.749
363,0.753
364,0.753
365,0.756
366,0.756
367,0.755
368,0.761
369,0.761
370,0.761
371,0.76
372,0.76
373,0.759
374,0.759
375,0.756
376,0.759
377,0.758
378,0.758
379,0.759
380,0.759
381,0.76
382,0.76
383,0.759
384,0.758
385,0.758
386,0.758
387,0.761
388,0.761
389,0.762
390,0.762
391,0.763
392,0.762
393,0.762
394,0.762
395,0.763
396,0.763
397,0.767
398,0.768
399,0.768
400,0.767
401,0.768
402,0.767
403,0.768
404,0.77
405,0.77
406,0.77
407,0.769
408,0.769
409,0.769
410,0.77
411,0.771
412,0.77
413,0.77
414,0.77
415,0.769
416,0.768
417,0.768
418,0.77
419,0.769
420,0.771
421,0.77
422,0.768
423,0.769
424,0.769
425,0.768
426,0.768
427,0.768
428,0.768
429,0.769
430,0.769
431,0.77
432,0.77
433,0.77
434,0.77
435,0.77
436,0.77
437,0.77
438,0.769
439,0.77
440,0.772
441,0.775
442,0.775
443,0.775
444,0.775
445,0.774
446,0.773
447,0.773
448,0.776
449,0.775
450,0.775
451,0.776
452,0.776
453,0.777
454,0.778
455,0.779
456,0.779
457,0.779
458,0.779
459,0.783
460,0.784
461,0.784
462,0.784
463,0.785
464,0.785
465,0.786
466,0.786
467,0.786
468,0.788
469,0.789
470,0.789
471,0.789
472,0.789
473,0.789
474,0.79
475,0.785
476,0.785
477,0.786
478,0.786
479,0.788
480,0.786
481,0.788
482,0.788
483,0.791
484,0.791
485,0.791
486,0.791
487,0.79
488,0.79
489,0.79
490,0.792
491,0.794
492,0.792
493,0.794
494,0.794
495,0.795
496,0.795
497,0.795
498,0.794
499,0.792
500,0.792
