,1
0,0.308
1,0.268
2,0.242
3,0.244
4,0.269
5,0.265
6,0.266
7,0.284
8,0.302
9,0.311
10,0.313
11,0.314
12,0.316
13,0.316
14,0.317
15,0.378
16,0.38
17,0.384
18,0.381
19,0.387
20,0.394
21,0.391
22,0.4
23,0.4
24,0.4
25,0.4
26,0.4
27,0.398
28,0.415
29,0.411
30,0.42
31,0.429
32,0.451
33,0.458
34,0.464
35,0.464
36,0.464
37,0.464
38,0.464
39,0.463
40,0.463
41,0.463
42,0.474
43,0.477
44,0.477
45,0.477
46,0.476
47,0.49
48,0.491
49,0.491
50,0.491
51,0.491
52,0.504
53,0.511
54,0.519
55,0.525
56,0.531
57,0.535
58,0.532
59,0.541
60,0.548
61,0.55
62,0.55
63,0.546
64,0.546
65,0.547
66,0.551
67,0.558
68,0.557
69,0.559
70,0.559
71,0.56
72,0.56
73,0.558
74,0.559
75,0.56
76,0.56
77,0.559
78,0.559
79,0.559
80,0.565
81,0.565
82,0.57
83,0.572
84,0.572
85,0.572
86,0.571
87,0.572
88,0.572
89,0.574
90,0.576
91,0.576
92,0.575
93,0.575
94,0.575
95,0.575
96,0.575
97,0.575
98,0.575
99,0.575
100,0.575
101,0.575
102,0.574
103,0.574
104,0.574
105,0.574
106,0.582
107,0.582
108,0.582
109,0.582
110,0.583
111,0.583
112,0.591
113,0.594
114,0.588
115,0.59
116,0.59
117,0.596
118,0.594
119,0.594
120,0.595
121,0.596
122,0.595
123,0.596
124,0.597
125,0.605
126,0.605
127,0.602
128,0.602
129,0.602
130,0.603
131,0.603
132,0.603
133,0.603
134,0.603
135,0.604
136,0.604
137,0.604
138,0.604
139,0.618
140,0.62
141,0.62
142,0.62
143,0.62
144,0.624
145,0.626
146,0.627
147,0.627
148,0.627
149,0.626
150,0.625
151,0.625
152,0.629
153,0.629
154,0.63
155,0.632
156,0.632
157,0.636
158,0.635
159,0.635
160,0.637
161,0.637
162,0.635
163,0.635
164,0.635
165,0.635
166,0.634
167,0.634
168,0.635
169,0.635
170,0.637
171,0.639
172,0.639
173,0.638
174,0.638
175,0.639
176,0.64
177,0.639
178,0.639
179,0.644
180,0.644
181,0.646
182,0.644
183,0.641
184,0.639
185,0.636
186,0.636
187,0.636
188,0.636
189,0.636
190,0.649
191,0.648
192,0.647
193,0.648
194,0.647
195,0.648
196,0.648
197,0.649
198,0.65
199,0.65
200,0.65
201,0.648
202,0.648
203,0.648
204,0.648
205,0.647
206,0.647
207,0.648
208,0.648
209,0.65
210,0.651
211,0.652
212,0.652
213,0.651
214,0.651
215,0.652
216,0.652
217,0.65
218,0.649
219,0.654
220,0.654
221,0.654
222,0.655
223,0.654
224,0.655
225,0.655
226,0.656
227,0.656
228,0.657
229,0.657
230,0.656
231,0.655
232,0.656
233,0.656
234,0.655
235,0.655
236,0.657
237,0.658
238,0.661
239,0.661
240,0.661
241,0.661
242,0.661
243,0.661
244,0.663
245,0.661
246,0.661
247,0.66
248,0.66
249,0.66
250,0.66
251,0.66
252,0.66
253,0.662
254,0.663
255,0.663
256,0.666
257,0.667
258,0.667
259,0.668
260,0.667
261,0.665
262,0.666
263,0.665
264,0.666
265,0.668
266,0.668
267,0.668
268,0.668
269,0.669
270,0.667
271,0.666
272,0.666
273,0.666
274,0.665
275,0.664
276,0.664
277,0.664
278,0.664
279,0.664
280,0.664
281,0.664
282,0.664
283,0.666
284,0.666
285,0.666
286,0.668
287,0.671
288,0.671
289,0.672
290,0.672
291,0.672
292,0.672
293,0.673
294,0.672
295,0.672
296,0.672
297,0.676
298,0.676
299,0.679
300,0.678
301,0.678
302,0.677
303,0.677
304,0.677
305,0.677
306,0.677
307,0.677
308,0.678
309,0.678
310,0.68
311,0.679
312,0.678
313,0.68
314,0.68
315,0.68
316,0.681
317,0.68
318,0.68
319,0.679
320,0.68
321,0.684
322,0.683
323,0.681
324,0.68
325,0.68
326,0.68
327,0.685
328,0.685
329,0.686
330,0.685
331,0.685
332,0.685
333,0.685
334,0.685
335,0.685
336,0.685
337,0.685
338,0.685
339,0.685
340,0.685
341,0.684
342,0.683
343,0.687
344,0.683
345,0.683
346,0.682
347,0.684
348,0.686
349,0.685
350,0.685
351,0.689
352,0.687
353,0.687
354,0.689
355,0.687
356,0.687
357,0.688
358,0.688
359,0.687
360,0.687
361,0.688
362,0.687
363,0.688
364,0.686
365,0.685
366,0.686
367,0.686
368,0.685
369,0.686
370,0.687
371,0.687
372,0.686
373,0.686
374,0.685
375,0.684
376,0.684
377,0.683
378,0.683
379,0.683
380,0.683
381,0.684
382,0.684
383,0.684
384,0.683
385,0.684
386,0.688
387,0.686
388,0.688
389,0.688
390,0.689
391,0.69
392,0.69
393,0.692
394,0.692
395,0.691
396,0.689
397,0.688
398,0.689
399,0.688
400,0.688
401,0.688
402,0.688
403,0.687
404,0.689
405,0.692
406,0.691
407,0.694
408,0.694
409,0.698
410,0.698
411,0.698
412,0.698
413,0.698
414,0.698
415,0.698
416,0.703
417,0.705
418,0.707
419,0.707
420,0.706
421,0.714
422,0.713
423,0.711
424,0.712
425,0.713
426,0.712
427,0.712
428,0.715
429,0.716
430,0.713
431,0.718
432,0.718
433,0.718
434,0.717
435,0.716
436,0.716
437,0.717
438,0.72
439,0.721
440,0.722
441,0.721
442,0.723
443,0.72
444,0.72
445,0.719
446,0.718
447,0.719
448,0.721
449,0.722
450,0.722
451,0.722
452,0.721
453,0.724
454,0.724
455,0.724
456,0.725
457,0.725
458,0.724
459,0.725
460,0.727
461,0.726
462,0.724
463,0.723
464,0.724
465,0.727
466,0.726
467,0.725
468,0.728
469,0.726
470,0.727
471,0.726
472,0.727
473,0.727
474,0.729
475,0.73
476,0.73
477,0.73
478,0.731
479,0.732
480,0.731
481,0.731
482,0.73
483,0.727
484,0.725
485,0.725
486,0.726
487,0.726
488,0.726
489,0.726
490,0.727
491,0.726
492,0.729
493,0.731
494,0.731
495,0.731
496,0.73
497,0.729
498,0.731
499,0.732
500,0.731
