,1
0,0.2266
1,0.2324
2,0.2412
3,0.2646
4,0.2812
5,0.29
6,0.2948
7,0.3024
8,0.303
9,0.3064
10,0.317
11,0.3238
12,0.3236
13,0.3308
14,0.3356
15,0.3364
16,0.3356
17,0.3464
18,0.3492
19,0.3532
20,0.3576
21,0.3554
22,0.3566
23,0.3756
24,0.3762
25,0.387
26,0.3868
27,0.3946
28,0.3952
29,0.4072
30,0.41
31,0.41
32,0.4196
33,0.4204
34,0.4222
35,0.4232
36,0.426
37,0.4314
38,0.4316
39,0.433
40,0.4346
41,0.435
42,0.4338
43,0.4344
44,0.4366
45,0.4378
46,0.4372
47,0.4376
48,0.4402
49,0.4402
50,0.4402
51,0.4416
52,0.4518
53,0.4526
54,0.4526
55,0.453
56,0.4538
57,0.4542
58,0.4558
59,0.455
60,0.4568
61,0.4576
62,0.461
63,0.4626
64,0.4694
65,0.469
66,0.4686
67,0.4756
68,0.4764
69,0.4766
70,0.4766
71,0.4764
72,0.4806
73,0.4834
74,0.4904
75,0.491
76,0.4918
77,0.4978
78,0.497
79,0.4974
80,0.496
81,0.4962
82,0.513
83,0.5132
84,0.514
85,0.514
86,0.5166
87,0.5174
88,0.5186
89,0.52
90,0.5194
91,0.5208
92,0.5214
93,0.5206
94,0.5246
95,0.5286
96,0.5294
97,0.5308
98,0.531
99,0.5314
100,0.5312
101,0.5338
102,0.5362
103,0.5538
104,0.5544
105,0.559
106,0.5592
107,0.56
108,0.5598
109,0.5598
110,0.5598
111,0.569
112,0.5692
113,0.5716
114,0.5712
115,0.5718
116,0.572
117,0.572
118,0.5728
119,0.5732
120,0.5736
121,0.5736
122,0.5764
123,0.5768
124,0.5766
125,0.576
126,0.5796
127,0.5816
128,0.582
129,0.5832
130,0.584
131,0.5834
132,0.5922
133,0.596
134,0.6016
135,0.6014
136,0.6026
137,0.6022
138,0.6024
139,0.6036
140,0.604
141,0.604
142,0.6036
143,0.6036
144,0.6032
145,0.6034
146,0.6036
147,0.6032
148,0.6038
149,0.6042
150,0.6054
151,0.6074
152,0.6078
153,0.608
154,0.6084
155,0.6082
156,0.6088
157,0.6098
158,0.6104
159,0.6112
160,0.6108
161,0.6096
162,0.6098
163,0.6096
164,0.6064
165,0.6068
166,0.607
167,0.607
168,0.6074
169,0.6088
170,0.609
171,0.6084
172,0.6088
173,0.6086
174,0.6082
175,0.6076
176,0.6112
177,0.6122
178,0.6128
179,0.6132
180,0.6128
181,0.6146
182,0.6148
183,0.6148
184,0.6158
185,0.6234
186,0.6226
187,0.6224
188,0.6234
189,0.6238
190,0.6234
191,0.624
192,0.6234
193,0.6294
194,0.6312
195,0.632
196,0.6324
197,0.6316
198,0.6302
199,0.629
200,0.6274
201,0.6272
202,0.626
203,0.626
204,0.6272
205,0.6288
206,0.63
207,0.6308
208,0.632
209,0.6316
210,0.6296
211,0.629
212,0.63
213,0.6306
214,0.6304
215,0.6298
216,0.6302
217,0.6302
218,0.6304
219,0.628
220,0.6292
221,0.6292
222,0.63
223,0.631
224,0.6302
225,0.6312
226,0.6314
227,0.6314
228,0.632
229,0.6314
230,0.6304
231,0.6284
232,0.6294
233,0.6308
234,0.63
235,0.63
236,0.6294
237,0.6308
238,0.6318
239,0.633
240,0.6332
241,0.633
242,0.6324
243,0.6352
244,0.6366
245,0.6424
246,0.6422
247,0.6416
248,0.6408
249,0.6424
250,0.6428
251,0.6432
252,0.643
253,0.6452
254,0.6454
255,0.6456
256,0.6458
257,0.6452
258,0.6448
259,0.6448
260,0.6456
261,0.645
262,0.6454
263,0.6456
264,0.6464
265,0.6468
266,0.646
267,0.6482
268,0.649
269,0.6494
270,0.6496
271,0.649
272,0.6492
273,0.6492
274,0.6498
275,0.6504
276,0.6524
277,0.6526
278,0.6524
279,0.6594
280,0.6592
281,0.6594
282,0.659
283,0.6586
284,0.6592
285,0.6598
286,0.6598
287,0.6594
288,0.6596
289,0.6598
290,0.6602
291,0.6594
292,0.66
293,0.6604
294,0.6608
295,0.6604
296,0.6618
297,0.6618
298,0.6636
299,0.6644
300,0.6644
301,0.6632
302,0.668
303,0.6686
304,0.6714
305,0.6692
306,0.671
307,0.672
308,0.6726
309,0.6734
310,0.6718
311,0.672
312,0.6708
313,0.6718
314,0.6744
315,0.675
316,0.6756
317,0.6752
318,0.6756
319,0.6774
320,0.6776
321,0.6788
322,0.678
323,0.6772
324,0.6762
325,0.6796
326,0.6788
327,0.6786
328,0.6782
329,0.679
330,0.679
331,0.6798
332,0.6778
333,0.6822
334,0.684
335,0.6816
336,0.6802
337,0.6796
338,0.6802
339,0.6816
340,0.682
341,0.6816
342,0.6848
343,0.6848
344,0.6844
345,0.685
346,0.686
347,0.6856
348,0.6856
349,0.6856
350,0.6856
351,0.686
352,0.6864
353,0.687
354,0.6872
355,0.6874
356,0.689
357,0.6888
358,0.6882
359,0.6884
360,0.688
361,0.6886
362,0.6882
363,0.6888
364,0.691
365,0.6902
366,0.6912
367,0.6906
368,0.6908
369,0.6932
370,0.6944
371,0.6942
372,0.6952
373,0.6956
374,0.6956
375,0.6952
376,0.6958
377,0.697
378,0.6968
379,0.6982
380,0.697
381,0.697
382,0.6982
383,0.6984
384,0.6984
385,0.6986
386,0.6974
387,0.6974
388,0.6972
389,0.6972
390,0.6982
391,0.6982
392,0.697
393,0.6984
