,1
0,0.43
1,0.77
2,0.775
3,0.775
4,0.775
5,0.775
6,0.775
7,0.78
8,0.795
9,0.785
10,0.79
11,0.795
12,0.785
13,0.775
14,0.77
15,0.765
16,0.765
17,0.765
18,0.765
19,0.76
20,0.765
21,0.765
22,0.77
23,0.765
24,0.765
25,0.765
26,0.765
27,0.765
28,0.765
29,0.77
30,0.765
31,0.755
32,0.76
33,0.765
34,0.775
35,0.78
36,0.775
37,0.775
38,0.79
39,0.79
40,0.79
41,0.79
42,0.79
43,0.79
44,0.78
45,0.785
46,0.785
47,0.785
48,0.78
49,0.785
50,0.785
51,0.785
52,0.79
53,0.795
54,0.795
55,0.795
56,0.79
57,0.78
58,0.79
59,0.8
60,0.77
61,0.795
62,0.785
63,0.79
64,0.81
65,0.795
66,0.77
67,0.795
68,0.795
69,0.8
70,0.765
71,0.8
72,0.8
73,0.795
74,0.8
75,0.8
76,0.8
77,0.8
78,0.8
79,0.785
80,0.79
