,1
0,0.73
1,0.81
2,0.795
3,0.785
4,0.81
5,0.79
6,0.785
7,0.795
8,0.79
9,0.8
10,0.8
11,0.805
12,0.805
13,0.81
14,0.805
15,0.81
16,0.815
17,0.81
18,0.82
19,0.815
20,0.815
21,0.825
22,0.825
23,0.815
24,0.825
25,0.825
26,0.83
27,0.83
28,0.83
29,0.84
30,0.82
31,0.825
32,0.84
33,0.845
34,0.85
35,0.83
36,0.84
37,0.845
38,0.865
39,0.86
40,0.87
41,0.865
42,0.865
43,0.87
44,0.87
45,0.87
46,0.865
47,0.865
48,0.865
49,0.865
50,0.87
51,0.87
52,0.86
53,0.87
54,0.875
55,0.865
56,0.865
57,0.865
58,0.86
59,0.875
60,0.865
61,0.875
62,0.86
63,0.865
64,0.865
65,0.855
66,0.86
67,0.875
68,0.885
69,0.865
70,0.865
71,0.86
72,0.865
73,0.865
74,0.865
75,0.875
76,0.87
77,0.865
78,0.865
79,0.865
80,0.87
