,1
0,0.74
1,0.665
2,0.755
3,0.78
4,0.76
5,0.76
6,0.76
7,0.76
8,0.76
9,0.76
10,0.76
11,0.76
12,0.735
13,0.75
14,0.75
15,0.75
16,0.75
17,0.75
18,0.75
19,0.75
20,0.75
21,0.75
22,0.795
23,0.795
24,0.79
25,0.79
26,0.795
27,0.785
28,0.785
29,0.8
30,0.795
31,0.795
32,0.795
33,0.795
34,0.795
35,0.79
36,0.79
37,0.79
38,0.79
39,0.795
40,0.79
41,0.795
42,0.795
43,0.795
44,0.79
45,0.79
46,0.79
47,0.79
48,0.79
49,0.79
50,0.79
51,0.79
52,0.79
53,0.79
54,0.79
55,0.79
56,0.79
57,0.79
58,0.79
59,0.79
60,0.79
61,0.795
62,0.8
63,0.8
64,0.795
65,0.795
66,0.795
67,0.78
68,0.785
69,0.775
70,0.775
71,0.775
72,0.77
73,0.77
74,0.765
75,0.765
76,0.765
77,0.765
78,0.765
79,0.765
80,0.765
