,1
0,0.735
1,0.705
2,0.665
3,0.675
4,0.69
5,0.685
6,0.72
7,0.72
8,0.73
9,0.735
10,0.735
11,0.735
12,0.735
13,0.735
14,0.74
15,0.745
16,0.745
17,0.74
18,0.735
19,0.735
20,0.735
21,0.735
22,0.735
23,0.795
24,0.795
25,0.785
26,0.79
27,0.785
28,0.785
29,0.785
30,0.785
31,0.785
32,0.785
33,0.785
34,0.785
35,0.785
36,0.79
37,0.785
38,0.79
39,0.79
40,0.79
41,0.79
42,0.775
43,0.77
44,0.77
45,0.77
46,0.77
47,0.765
48,0.765
49,0.76
50,0.76
51,0.77
52,0.77
53,0.77
54,0.77
55,0.77
56,0.765
57,0.76
58,0.755
59,0.755
60,0.795
61,0.79
62,0.79
63,0.79
64,0.795
65,0.795
66,0.795
67,0.795
68,0.79
69,0.79
70,0.79
71,0.79
72,0.79
73,0.79
74,0.795
75,0.79
76,0.79
77,0.79
78,0.755
79,0.75
80,0.75
