,1
0,0.6424936056137085
1,
2,
3,
4,
5,0.2495502531528473
6,
7,
8,
9,
10,0.0990666076540947
11,
12,
13,
14,
15,0.09646286070346832
16,
17,
18,
19,
20,0.0910494327545166
21,
22,
23,
24,
25,0.0774267315864563
26,
27,
28,
29,
30,0.07389535754919052
31,
32,
33,
34,
35,0.07837425917387009
36,
37,
38,
39,
40,0.07554896920919418
41,
42,
43,
44,
45,0.0673309937119484
46,
47,
48,
49,
50,0.06020371988415718
51,
52,
53,
54,
55,0.05004959553480148
56,
57,
58,
59,
60,0.0421401783823967
61,
62,
63,
64,
65,0.03944111615419388
66,
67,
68,
69,
70,0.039749860763549805
71,
72,
73,
74,
75,0.040656499564647675
76,
77,
78,
79,
80,0.03960942476987839
