,1
0,0.662384569644928
1,
2,
3,
4,
5,0.348463237285614
6,
7,
8,
9,
10,0.10317794978618622
11,
12,
13,
14,
15,0.03230224922299385
16,
17,
18,
19,
20,0.0175985936075449
21,
22,
23,
24,
25,0.018361739814281464
26,
27,
28,
29,
30,0.01233181543648243
31,
32,
33,
34,
35,0.010124792344868183
36,
37,
38,
39,
40,0.010495610535144806
41,
42,
43,
44,
45,0.009652805514633656
46,
47,
48,
49,
50,0.005576963536441326
51,
52,
53,
54,
55,0.005702084396034479
56,
57,
58,
59,
60,0.005357212387025356
61,
62,
63,
64,
65,0.004350675735622644
66,
67,
68,
69,
70,0.0036210468970239162
71,
72,
73,
74,
75,0.004112630616873503
76,
77,
78,
79,
80,0.0033402838744223118
