,1
0,0.6358197331428528
1,
2,
3,
4,
5,0.19021758437156677
6,
7,
8,
9,
10,0.06529326736927032
11,
12,
13,
14,
15,0.05962938815355301
16,
17,
18,
19,
20,0.06183981895446777
21,
22,
23,
24,
25,0.06321871280670166
26,
27,
28,
29,
30,0.06937552988529205
31,
32,
33,
34,
35,0.06791117042303085
36,
37,
38,
39,
40,0.06896917521953583
41,
42,
43,
44,
45,0.07042790949344635
46,
47,
48,
49,
50,0.07192368805408478
51,
52,
53,
54,
55,0.07266174256801605
56,
57,
58,
59,
60,0.07486581802368164
61,
62,
63,
64,
65,0.08025328069925308
66,
67,
68,
69,
70,0.07759909331798553
71,
72,
73,
74,
75,0.07060526311397552
76,
77,
78,
79,
80,0.06939240545034409
