,1
0,0.6561451554298401
1,
2,
3,
4,
5,0.21810610592365265
6,
7,
8,
9,
10,0.10884102433919907
11,
12,
13,
14,
15,0.1069350391626358
16,
17,
18,
19,
20,0.10955832153558731
21,
22,
23,
24,
25,0.1221727579832077
26,
27,
28,
29,
30,0.12923359870910645
31,
32,
33,
34,
35,0.13302336633205414
36,
37,
38,
39,
40,0.12777450680732727
41,
42,
43,
44,
45,0.13471320271492004
46,
47,
48,
49,
50,0.13856279850006104
51,
52,
53,
54,
55,0.14438071846961975
56,
57,
58,
59,
60,0.1527782380580902
61,
62,
63,
64,
65,0.15805140137672424
66,
67,
68,
69,
70,0.15541693568229675
71,
72,
73,
74,
75,0.17530392110347748
76,
77,
78,
79,
80,0.16949717700481415
