,1
0,0.575
1,0.805
2,0.8
3,0.8
4,0.78
5,0.79
6,0.79
7,0.79
8,0.79
9,0.795
10,0.79
11,0.785
12,0.785
13,0.785
14,0.78
15,0.78
16,0.79
17,0.79
18,0.79
19,0.79
20,0.785
21,0.78
22,0.785
23,0.785
24,0.785
25,0.79
26,0.785
27,0.785
28,0.785
29,0.79
30,0.785
31,0.79
32,0.79
33,0.785
34,0.79
35,0.79
36,0.785
37,0.785
38,0.785
39,0.795
40,0.795
41,0.795
42,0.795
43,0.8
44,0.805
45,0.805
46,0.805
47,0.805
48,0.805
49,0.805
50,0.805
51,0.805
52,0.805
53,0.805
54,0.805
55,0.805
56,0.805
57,0.805
58,0.805
59,0.805
60,0.805
61,0.805
62,0.805
63,0.805
64,0.805
65,0.805
66,0.805
67,0.805
68,0.805
69,0.805
70,0.805
71,0.805
72,0.805
73,0.805
74,0.805
75,0.805
76,0.805
77,0.805
78,0.805
79,0.805
80,0.805
