,1
0,0.112
1,0.112
2,0.112
3,0.112
4,0.112
5,0.112
6,0.0952
7,0.2656
8,0.2162
9,0.2436
10,0.1252
11,0.1452
12,0.3822
13,0.398
14,0.4118
15,0.4236
16,0.4404
17,0.3652
18,0.149
19,0.3594
20,0.3582
21,0.3806
22,0.3972
23,0.4224
24,0.4232
25,0.4336
26,0.2908
27,0.4244
28,0.4762
29,0.4424
30,0.4724
31,0.4482
32,0.4318
33,0.3366
34,0.4384
35,0.4552
36,0.524
37,0.499
38,0.435
39,0.4974
40,0.502
41,0.4686
42,0.3104
43,0.1994
44,0.3624
45,0.5416
46,0.5374
47,0.5456
48,0.5514
49,0.5458
50,0.5468
51,0.5522
52,0.541
53,0.5556
54,0.572
55,0.574
56,0.507
57,0.5622
58,0.5662
59,0.568
60,0.563
61,0.5618
62,0.5706
63,0.6006
64,0.6248
65,0.6182
66,0.6286
67,0.6442
68,0.6366
69,0.6334
70,0.6586
71,0.6594
72,0.6706
73,0.6822
74,0.6912
75,0.7038
76,0.6602
77,0.6972
78,0.712
79,0.6698
80,0.6772
81,0.6932
82,0.6952
83,0.6742
84,0.6018
85,0.669
86,0.687
87,0.6258
88,0.6438
89,0.66
90,0.7078
91,0.7226
92,0.708
93,0.7202
94,0.7202
95,0.7204
96,0.7244
97,0.729
98,0.7292
99,0.6302
100,0.721
101,0.607
102,0.7018
103,0.7778
104,0.7554
105,0.7686
106,0.7646
107,0.7544
108,0.757
109,0.7578
110,0.702
111,0.7154
112,0.6788
113,0.7924
114,0.7976
115,0.7834
116,0.7752
117,0.793
118,0.5992
119,0.7966
120,0.8026
121,0.8024
122,0.7994
123,0.8124
124,0.8022
125,0.8028
126,0.7998
127,0.7988
128,0.7996
129,0.8078
130,0.8064
131,0.796
132,0.7944
133,0.8016
134,0.7954
135,0.8126
136,0.8336
137,0.8262
138,0.8288
139,0.82
140,0.8188
141,0.8016
142,0.7918
143,0.8278
144,0.8146
145,0.796
146,0.84
147,0.8392
148,0.8374
149,0.8246
150,0.8104
151,0.7968
152,0.7956
153,0.853
154,0.837
155,0.8138
156,0.8228
157,0.7954
158,0.6978
159,0.7122
160,0.6444
161,0.7388
162,0.8522
163,0.8008
164,0.8078
165,0.7816
166,0.845
167,0.8432
168,0.8372
169,0.8594
170,0.8644
171,0.866
172,0.8658
173,0.8734
174,0.8656
175,0.8788
176,0.8756
177,0.8664
178,0.8696
179,0.8764
180,0.865
181,0.8848
182,0.863
183,0.8716
184,0.8536
185,0.8808
186,0.8742
187,0.8278
188,0.8764
189,0.856
190,0.8634
191,0.8008
192,0.887
193,0.8928
194,0.8924
195,0.8926
196,0.8888
197,0.8912
198,0.8956
199,0.8964
200,0.821
201,0.8774
202,0.8392
203,0.886
204,0.8916
205,0.8962
206,0.8956
207,0.8864
208,0.8808
209,0.8798
210,0.8712
211,0.8724
212,0.9028
213,0.8914
214,0.8762
215,0.8976
216,0.8948
217,0.8934
218,0.8774
219,0.9036
220,0.8986
221,0.9096
222,0.8894
223,0.9056
224,0.9164
225,0.9132
226,0.9012
227,0.8982
228,0.902
229,0.9094
230,0.8972
231,0.8856
232,0.911
233,0.8948
234,0.9142
235,0.9116
236,0.91
237,0.9106
238,0.8818
239,0.8516
240,0.9108
241,0.8572
242,0.8938
243,0.9144
244,0.8958
245,0.8886
246,0.885
247,0.9136
248,0.909
249,0.9282
250,0.9264
251,0.9126
252,0.9296
253,0.9316
254,0.9302
255,0.919
256,0.9154
257,0.9246
258,0.9262
259,0.9302
260,0.9274
261,0.9156
262,0.9212
263,0.9056
264,0.9134
265,0.932
266,0.9282
267,0.9284
268,0.9342
269,0.929
270,0.9384
271,0.938
272,0.9384
273,0.933
274,0.9266
275,0.9236
276,0.9236
277,0.9254
278,0.9274
279,0.9324
280,0.9346
281,0.9248
282,0.9222
283,0.909
284,0.9156
285,0.9118
286,0.9176
287,0.923
288,0.9146
289,0.9242
290,0.9328
291,0.9282
292,0.9292
293,0.932
294,0.9424
295,0.9408
296,0.939
297,0.9354
298,0.9266
299,0.9366
300,0.932
301,0.9206
302,0.9168
303,0.9218
304,0.9192
305,0.9284
306,0.924
307,0.9338
308,0.9386
309,0.9348
310,0.9348
311,0.9316
312,0.9436
313,0.9322
314,0.94
315,0.9272
