,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,12.329965591430664,12.632392406463625,12.348402500152588,14.388829469680786,11.970752954483032,12.249619722366331,13.33382511138916,12.855799913406372,12.577431917190552,12.199320077896118,12.381353616714478,12.378445148468018,12.42466950416565,11.999937057495115,11.948513269424438,13.002994775772097,12.224642753601074,12.424397230148315,12.023980855941772,12.030880689620972,12.067315578460692,12.075520992279053,12.093411207199097,12.921805143356323,13.145426273345947,12.102553606033323,12.412843465805054,12.657554864883425,11.980643033981323,12.024499416351318,12.324184656143188,12.260804891586304,12.217169523239136,12.7461838722229,12.404390573501589,14.553762912750244,12.019790172576904,12.30437707901001,12.29343605041504,11.952503442764282,12.921242475509644,11.937917232513428,13.248027324676514,12.590668201446531,13.633236408233644,12.492751836776732,11.99266505241394,13.825602054595947,12.790575981140137,12.540765762329102
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,26.26754331588745,23.595121383666992,16.179362058639526,14.217312097549438,22.81270694732666,12.969316959381104,20.449998378753666,22.21294069290161,24.22258472442627,35.92421770095825,23.404220581054688,14.661521673202516,25.768187999725345,25.74598979949951,26.10218334197998,13.184026956558228,15.35229992866516,22.646595001220703,56.56018257141113,36.56181383132935,29.422780990600582,21.52502822875977,13.860433578491213,26.50043821334839,36.00657796859741,41.25203227996826,24.1455659866333,26.71299743652344,12.375920295715332,14.378426313400269,17.52852511405945,24.971693515777588,15.984424352645874,16.20399808883667,13.910772800445557,17.256040334701538,15.30009627342224,23.70949935913086,31.0302677154541,19.061034202575684,22.37191867828369,14.575393915176392,26.361087799072266,15.579942464828491,40.07181262969971,26.377390384674072,37.97133016586304,13.91968822479248,36.00212574005127,22.56595277786255
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,53.008039474487305,60.41887855529785,19.744504928588867,24.37834882736206,52.45123100280762,14.382070064544678,24.806807041168213,31.25894832611084,35.232022762298584,82.42440128326416,46.38835334777832,19.280129432678223,40.90013074874878,139.12491035461426,61.93836975097656,16.340981245040894,52.26932239532471,43.12913990020752,11.704724311828612,94.9114589691162,68.04153537750244,64.41089630126953,20.230361223220825,52.71060276031494,76.5090503692627,9.010820508003237,34.843735218048096,59.7238883972168,25.70835542678833,18.68997859954834,28.909660816192627,41.402462005615234,28.316644191741943,23.668555736541748,16.504206895828247,25.77601718902588,19.51650357246399,30.53267240524292,60.02431964874268,45.8435583114624,49.30810260772705,111.98395156860352,47.75868797302246,27.98735523223877,72.09068965911865,40.06437397003174,56.9448127746582,19.085802793502808,59.60976791381836,45.37571907043457
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
