,1
0,0.112
1,0.112
2,0.112
3,0.112
4,0.1528
5,0.1084
6,0.1634
7,0.142
8,0.143
9,0.151
10,0.372
11,0.3488
12,0.4284
13,0.4318
14,0.4274
15,0.125
16,0.1076
17,0.3858
18,0.383
19,0.363
20,0.4346
21,0.4276
22,0.443
23,0.4724
24,0.4732
25,0.4794
26,0.3578
27,0.492
28,0.5144
29,0.4878
30,0.5112
31,0.4746
32,0.5116
33,0.5382
34,0.5244
35,0.498
36,0.5298
37,0.5812
38,0.5906
39,0.5744
40,0.6182
41,0.617
42,0.6112
43,0.6104
44,0.6156
45,0.5804
46,0.3746
47,0.1406
48,0.5516
49,0.5608
50,0.5654
51,0.5868
52,0.5708
53,0.5944
54,0.6028
55,0.611
56,0.6078
57,0.6138
58,0.6126
59,0.6266
60,0.6256
61,0.599
62,0.604
63,0.631
64,0.6424
65,0.6472
66,0.6546
67,0.6472
68,0.6398
69,0.6276
70,0.6344
71,0.546
72,0.434
73,0.171
74,0.6322
75,0.6354
76,0.6256
77,0.6316
78,0.6392
79,0.6266
80,0.629
81,0.6402
82,0.6446
83,0.6492
84,0.632
85,0.6304
86,0.6312
87,0.6702
88,0.6744
89,0.6848
90,0.695
91,0.688
92,0.681
93,0.7034
94,0.7218
95,0.7152
96,0.7254
97,0.7164
98,0.6998
99,0.693
100,0.733
101,0.7268
102,0.727
103,0.7324
104,0.7268
105,0.772
106,0.776
107,0.7606
108,0.7624
109,0.7626
110,0.7522
111,0.7396
112,0.7314
113,0.7366
114,0.7878
115,0.772
116,0.7844
117,0.7848
118,0.8116
119,0.8024
120,0.797
121,0.7954
122,0.7988
123,0.799
124,0.683
125,0.8152
126,0.8042
127,0.8004
128,0.822
129,0.8218
130,0.8124
131,0.8352
132,0.8316
133,0.8002
134,0.8022
135,0.8282
136,0.8318
137,0.832
138,0.8122
139,0.8432
140,0.802
141,0.8392
142,0.8396
143,0.7572
144,0.8272
145,0.8332
146,0.8142
147,0.8678
148,0.846
149,0.855
150,0.8516
151,0.832
152,0.8118
153,0.8546
154,0.8568
155,0.8764
156,0.8818
157,0.8692
158,0.8502
159,0.8698
160,0.848
161,0.8682
162,0.873
163,0.8874
164,0.8706
165,0.889
166,0.8776
167,0.8902
168,0.8886
169,0.883
170,0.8686
171,0.839
172,0.8646
173,0.8724
174,0.7798
175,0.8956
176,0.8874
177,0.8714
178,0.811
179,0.9068
180,0.9116
181,0.8008
182,0.906
183,0.8996
184,0.9064
185,0.8816
186,0.8812
187,0.874
188,0.8906
189,0.854
190,0.8976
191,0.9012
192,0.794
193,0.909
194,0.836
195,0.825
196,0.7492
197,0.4462
198,0.8838
199,0.913
200,0.9082
201,0.8996
202,0.8998
203,0.913
204,0.8706
205,0.8926
206,0.8844
207,0.9202
208,0.9172
209,0.908
210,0.9232
211,0.9192
212,0.9038
213,0.9222
214,0.9066
215,0.9238
216,0.9192
217,0.9186
218,0.908
219,0.889
220,0.927
221,0.8996
222,0.9264
223,0.9314
224,0.9
225,0.8982
226,0.909
227,0.904
228,0.892
229,0.9314
230,0.9394
231,0.9386
232,0.821
233,0.9342
234,0.9364
235,0.936
236,0.9272
237,0.9192
238,0.9352
239,0.9252
240,0.9314
241,0.9298
242,0.9244
243,0.929
244,0.9288
245,0.9282
246,0.9206
247,0.8652
248,0.8048
249,0.9122
250,0.9388
251,0.9216
252,0.927
253,0.9166
254,0.935
255,0.9364
256,0.9348
257,0.943
258,0.9428
259,0.946
260,0.9468
261,0.9484
262,0.9416
263,0.95
264,0.9522
265,0.95
266,0.8986
267,0.9426
268,0.9428
269,0.9438
270,0.9512
271,0.946
272,0.9386
273,0.9492
274,0.9394
275,0.9332
276,0.8936
277,0.9344
278,0.9454
279,0.9488
280,0.9466
281,0.918
282,0.8762
283,0.9356
284,0.88
285,0.9214
286,0.9198
287,0.9312
288,0.9338
289,0.9246
290,0.9254
291,0.9156
292,0.9286
293,0.9484
294,0.9412
295,0.9428
296,0.932
297,0.9288
298,0.938
299,0.9516
300,0.9448
301,0.944
302,0.9498
303,0.934
304,0.94
305,0.9498
306,0.948
307,0.9108
308,0.9474
309,0.9456
310,0.9538
311,0.95
312,0.9384
313,0.9458
314,0.9596
315,0.9568
316,0.9474
317,0.9552
318,0.9478
319,0.9516
