,1
0,0.112
1,0.112
2,0.112
3,0.112
4,0.112
5,0.112
6,0.112
7,0.112
8,0.112
9,0.112
10,0.112
11,0.3568
12,0.098
13,0.0968
14,0.4098
15,0.4172
16,0.4362
17,0.3778
18,0.4246
19,0.407
20,0.4226
21,0.42
22,0.4266
23,0.4328
24,0.4674
25,0.4374
26,0.4442
27,0.4738
28,0.509
29,0.5316
30,0.5246
31,0.5264
32,0.5328
33,0.5374
34,0.4936
35,0.38
36,0.4968
37,0.5124
38,0.5168
39,0.5402
40,0.5428
41,0.5386
42,0.5458
43,0.2758
44,0.0968
45,0.6406
46,0.6554
47,0.6566
48,0.6532
49,0.6742
50,0.6792
51,0.6922
52,0.6948
53,0.6956
54,0.7072
55,0.6864
56,0.6882
57,0.7084
58,0.709
59,0.7006
60,0.7062
61,0.7048
62,0.7176
63,0.7178
64,0.6832
65,0.7442
66,0.7496
67,0.741
68,0.7146
69,0.644
70,0.419
71,0.7292
72,0.7284
73,0.7362
74,0.6412
75,0.5268
76,0.6988
77,0.7004
78,0.697
79,0.6948
80,0.6986
81,0.7128
82,0.7172
83,0.7248
84,0.669
85,0.7414
86,0.752
87,0.7524
88,0.7648
89,0.7392
90,0.7716
91,0.7826
92,0.7826
93,0.7924
94,0.7764
95,0.652
96,0.7666
97,0.7806
98,0.6616
99,0.7914
100,0.7846
101,0.7732
102,0.7436
103,0.7282
104,0.7948
105,0.6618
106,0.7512
107,0.8074
108,0.7888
109,0.7156
110,0.7932
111,0.8246
112,0.8278
113,0.7952
114,0.8186
115,0.8154
116,0.8334
117,0.8226
118,0.8212
119,0.8206
120,0.8224
121,0.8418
122,0.8416
123,0.8318
124,0.839
125,0.8462
126,0.845
127,0.8058
128,0.8392
129,0.827
130,0.8526
131,0.8582
132,0.8504
133,0.8522
134,0.8316
135,0.7918
136,0.7664
137,0.7678
138,0.7508
139,0.8384
140,0.8574
141,0.8482
142,0.866
143,0.8694
144,0.8588
145,0.8662
146,0.8684
147,0.8546
148,0.8664
149,0.8278
150,0.8624
151,0.8616
152,0.7556
153,0.853
154,0.848
155,0.837
156,0.8708
157,0.8778
158,0.8618
159,0.8884
160,0.8864
161,0.8878
162,0.8892
163,0.8866
164,0.8796
165,0.8636
166,0.8956
167,0.8886
168,0.8788
169,0.764
170,0.9004
171,0.895
172,0.8996
173,0.8758
174,0.8484
175,0.8708
176,0.8948
177,0.8986
178,0.8942
179,0.8986
180,0.8766
181,0.8926
182,0.8942
183,0.908
184,0.9
185,0.9076
186,0.9038
187,0.9108
188,0.9036
189,0.8968
190,0.891
191,0.8828
192,0.9024
193,0.904
194,0.7102
195,0.9068
196,0.8936
197,0.9018
198,0.8978
199,0.8946
200,0.9046
201,0.9026
202,0.9022
203,0.9032
204,0.909
205,0.909
206,0.9184
207,0.9168
208,0.9196
209,0.9136
210,0.901
211,0.9126
212,0.9174
213,0.9098
214,0.9164
215,0.917
216,0.9244
217,0.9268
218,0.9278
219,0.925
220,0.918
221,0.9068
222,0.9068
223,0.9136
224,0.9086
225,0.9052
226,0.7978
227,0.853
228,0.8744
229,0.9184
230,0.9224
231,0.9196
232,0.9228
233,0.9236
234,0.9244
235,0.9236
236,0.9134
237,0.903
238,0.9104
239,0.9048
240,0.8526
241,0.9248
242,0.9184
243,0.912
244,0.9348
245,0.9268
246,0.9246
247,0.9294
248,0.9316
249,0.9036
250,0.9066
251,0.9184
252,0.8614
253,0.9296
254,0.9184
255,0.9366
256,0.9302
257,0.9388
258,0.9418
259,0.9304
260,0.943
261,0.9304
262,0.9128
263,0.9286
264,0.9278
265,0.9148
266,0.8898
267,0.907
268,0.926
269,0.9144
270,0.9212
271,0.9058
272,0.939
273,0.9372
274,0.9168
275,0.942
276,0.9192
277,0.9416
278,0.9216
279,0.9434
280,0.9342
281,0.9376
282,0.9364
283,0.9414
284,0.9486
285,0.948
286,0.9308
287,0.9462
288,0.9428
289,0.9178
290,0.893
291,0.944
292,0.9402
293,0.9366
294,0.9372
295,0.9332
296,0.952
297,0.9522
298,0.9524
299,0.9494
300,0.9472
301,0.9284
302,0.939
303,0.8684
304,0.9258
305,0.9328
306,0.939
307,0.9278
308,0.9462
309,0.9422
310,0.9306
311,0.944
312,0.9332
313,0.9368
314,0.8828
315,0.9498
