,1
0,0.0624
1,0.0686
2,0.096
3,0.0736
4,0.1194
5,0.1308
6,0.1308
7,0.1328
8,0.1294
9,0.1276
10,0.1352
11,0.138
12,0.1378
13,0.1362
14,0.1366
15,0.136
16,0.1724
17,0.1344
18,0.1482
19,0.1474
20,0.137
21,0.11
22,0.1348
23,0.1338
24,0.1858
25,0.1748
26,0.1938
27,0.1946
28,0.1998
29,0.2054
30,0.1674
31,0.165
32,0.154
33,0.1514
34,0.146
35,0.115
36,0.1424
37,0.1578
38,0.169
39,0.1682
40,0.1964
41,0.1898
42,0.182
43,0.1828
44,0.1956
45,0.2058
46,0.2246
47,0.2152
48,0.209
49,0.219
50,0.2122
51,0.2176
52,0.2354
53,0.2356
54,0.2392
55,0.2556
56,0.262
57,0.2518
58,0.2684
59,0.2554
60,0.2536
61,0.2474
62,0.2702
63,0.2582
64,0.2532
65,0.2424
66,0.2456
67,0.249
68,0.2676
69,0.2696
70,0.2754
71,0.2786
72,0.268
73,0.2874
74,0.2608
75,0.261
76,0.2406
77,0.1966
78,0.2092
79,0.2576
80,0.2652
81,0.2744
82,0.2752
83,0.2706
84,0.255
85,0.2558
86,0.2652
87,0.265
88,0.2648
89,0.2662
90,0.2632
91,0.2566
92,0.2616
93,0.2664
94,0.2752
95,0.2836
96,0.2844
97,0.2932
98,0.2654
99,0.2778
100,0.308
101,0.205
102,0.2472
103,0.2542
104,0.2566
105,0.2522
106,0.2516
107,0.2568
108,0.257
109,0.2618
110,0.261
111,0.26
112,0.2628
113,0.2458
114,0.2454
115,0.2422
116,0.244
117,0.2394
118,0.2546
119,0.2472
120,0.2774
121,0.2752
122,0.2854
123,0.2912
124,0.2914
125,0.2916
126,0.296
127,0.2784
128,0.2732
129,0.2806
130,0.2862
131,0.2912
132,0.2654
133,0.2638
134,0.2662
135,0.269
136,0.264
137,0.2762
138,0.273
139,0.2724
140,0.2812
141,0.281
142,0.2868
143,0.2824
144,0.2838
145,0.285
146,0.2844
147,0.289
148,0.282
