,1
0,0.48137931034482756
1,
2,
3,
4,
5,0.5213793103448275
6,
7,
8,
9,
10,0.52
11,
12,
13,
14,
15,0.527816091954023
16,
17,
18,
19,
20,0.5788505747126437
21,
22,
23,
24,
25,0.5972413793103448
26,
27,
28,
29,
30,0.6266666666666667
31,
32,
33,
34,
35,0.6206896551724138
36,
37,
38,
39,
40,0.6450574712643679
41,
42,
43,
44,
45,0.6298850574712643
46,
47,
48,
49,
50,0.6510344827586206
51,
52,
53,
54,
55,0.662528735632184
56,
57,
58,
59,
60,0.68
61,
62,
63,
64,
65,0.6887356321839081
66,
67,
68,
69,
70,0.6993103448275862
71,
72,
73,
74,
75,0.7098850574712644
76,
77,
78,
79,
80,0.7135632183908046
81,
82,
83,
84,
85,0.7075862068965517
86,
87,
88,
89,
90,0.713103448275862
91,
92,
93,
94,
95,0.7075862068965517
96,
97,
98,
99,
100,0.7250574712643678
