,1
0,0.52
1,
2,
3,
4,
5,0.5535632183908046
6,
7,
8,
9,
10,0.5457471264367816
11,
12,
13,
14,
15,0.5742528735632184
16,
17,
18,
19,
20,0.5857471264367816
21,
22,
23,
24,
25,0.5954022988505747
26,
27,
28,
29,
30,0.64
31,
32,
33,
34,
35,0.6487356321839081
36,
37,
38,
39,
40,0.6404597701149425
41,
42,
43,
44,
45,0.6694252873563218
46,
47,
48,
49,
50,0.6956321839080459
51,
52,
53,
54,
55,0.7163218390804598
56,
57,
58,
59,
60,0.720919540229885
61,
62,
63,
64,
65,0.7222988505747127
66,
67,
68,
69,
70,0.7282758620689656
71,
72,
73,
74,
75,0.736551724137931
76,
77,
78,
79,
80,0.7388505747126437
81,
82,
83,
84,
85,0.7508045977011494
86,
87,
88,
89,
90,0.7540229885057471
91,
92,
93,
94,
95,0.7577011494252873
96,
97,
98,
99,
100,0.7531034482758621
