,1
0,0.6973155736923218
1,
2,
3,
4,
5,0.8274222612380981
6,
7,
8,
9,
10,0.6973545551300049
11,
12,
13,
14,
15,0.6694194674491882
16,
17,
18,
19,
20,0.7022388577461243
21,
22,
23,
24,
25,0.6730648875236511
26,
27,
28,
29,
30,0.6782360672950745
31,
32,
33,
34,
35,0.675255298614502
36,
37,
38,
39,
40,0.6631622910499573
41,
42,
43,
44,
45,0.6677425503730774
46,
47,
48,
49,
50,0.6476619243621826
51,
52,
53,
54,
55,0.6356295943260193
56,
57,
58,
59,
60,0.6259970664978027
61,
62,
63,
64,
65,0.6104201674461365
66,
67,
68,
69,
70,0.5884058475494385
71,
72,
73,
74,
75,0.574321985244751
76,
77,
78,
79,
80,0.5611738562583923
81,
82,
83,
84,
85,0.5474588871002197
86,
87,
88,
89,
90,0.5351164937019348
91,
92,
93,
94,
95,0.5263127088546753
96,
97,
98,
99,
100,0.518427312374115
