,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0.4682857142857143,0.4015714285714286,0.4338571428571428,0.2741428571428571,0.3378571428571428,0.4181428571428571,0.2744285714285714,0.3815714285714285,0.312,0.5462857142857143,0.428,0.3612857142857142,0.3158571428571428,0.4561428571428571,0.3165714285714285,0.4695714285714286,0.401,0.4008571428571428,0.5164285714285715,0.4537142857142857,0.5784285714285714,0.2205714285714285,0.2192857142857142,0.4627142857142857,0.3154285714285714,0.3135714285714285,0.5457142857142857,0.4774285714285714,0.37,0.417,0.4054285714285714,0.4174285714285714,0.2044285714285714,0.3581428571428571,0.5171428571428571,0.49,0.5931428571428572,0.3041428571428571,0.4158571428571428,0.3541428571428571,0.611,0.3521428571428571,0.2674285714285714,0.5771428571428572,0.2665714285714285,0.3744285714285714,0.4785714285714286,0.5692857142857143,0.6425714285714286,0.5451428571428572
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.5034285714285714,0.6614285714285715,0.4021428571428571,0.7157142857142857,0.5824285714285714,0.6527142857142857,0.5347142857142857,0.5548571428571428,0.6582857142857143,0.5794285714285714,0.6074285714285714,0.6942857142857143,0.504,0.6834285714285714,0.6292857142857143,0.6624285714285715,0.6772857142857143,0.5947142857142858,0.6495714285714286,0.4918571428571429,0.5798571428571428,0.5431428571428571,0.6464285714285715,0.5811428571428572,0.6178571428571429,0.6864285714285714,0.7162857142857143,0.6181428571428571,0.672,0.6587142857142857,0.5581428571428572,0.6644285714285715,0.6768571428571428,0.6782857142857143,0.5188571428571429,0.6638571428571428,0.7097142857142857,0.6297142857142857,0.7724285714285715,0.6014285714285714,0.6917142857142857,0.57,0.5688571428571428,0.6648571428571428,0.4605714285714286,0.3654285714285714,0.6608571428571428,0.6927142857142857,0.5141428571428571,0.621
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
