,1
0,0.3
1,0.218
2,0.2888
3,0.5712
4,0.6728
5,0.6726
6,0.6842
7,0.6866
8,0.6922
9,0.7078
10,0.7596
11,0.7616
12,0.766
13,0.7644
14,0.7452
15,0.7442
16,0.782
17,0.789
18,0.7882
19,0.789
20,0.7948
21,0.7726
22,0.7786
23,0.797
24,0.792
25,0.8006
26,0.8236
27,0.8312
28,0.8166
29,0.8238
30,0.8324
31,0.6318
32,0.8462
33,0.845
34,0.8386
35,0.8298
36,0.838
37,0.8516
38,0.8496
39,0.8582
40,0.8668
41,0.867
42,0.8542
43,0.8596
44,0.8542
45,0.8612
46,0.8564
47,0.8526
48,0.8528
49,0.8638
50,0.8116
51,0.8746
52,0.8736
53,0.8734
54,0.8738
55,0.8714
56,0.8694
57,0.878
58,0.877
59,0.8782
60,0.8766
61,0.8782
62,0.8812
63,0.8746
64,0.8744
65,0.8774
66,0.8778
67,0.8792
68,0.8448
69,0.8724
70,0.884
71,0.8752
72,0.8828
73,0.8828
74,0.8868
75,0.8868
76,0.8814
77,0.872
78,0.8808
79,0.8852
80,0.8844
81,0.883
82,0.8838
83,0.891
84,0.8908
85,0.8912
86,0.8936
87,0.8884
88,0.8884
89,0.8882
90,0.8792
91,0.8694
92,0.8918
93,0.89
94,0.893
95,0.8814
96,0.8844
97,0.8818
98,0.8868
99,0.8852
100,0.8862
101,0.8948
102,0.894
103,0.8932
104,0.8954
105,0.8998
106,0.905
107,0.904
108,0.8976
109,0.8986
110,0.8992
111,0.8976
112,0.8932
113,0.8596
114,0.8436
115,0.9072
116,0.9046
117,0.908
118,0.906
119,0.907
120,0.906
121,0.9032
122,0.9032
123,0.902
124,0.903
125,0.9038
126,0.9042
127,0.9024
128,0.902
129,0.896
130,0.8892
131,0.892
132,0.908
133,0.9078
134,0.9042
135,0.9
136,0.8988
137,0.8992
138,0.9106
139,0.9084
140,0.9124
141,0.9152
142,0.9132
143,0.9148
144,0.9176
145,0.916
146,0.9154
147,0.9168
148,0.9204
149,0.9208
150,0.9202
151,0.92
152,0.9198
153,0.9174
154,0.923
155,0.9248
156,0.9264
157,0.9164
158,0.9188
159,0.909
160,0.9176
161,0.9186
162,0.9182
163,0.9198
164,0.9204
165,0.912
166,0.9156
167,0.9168
168,0.9176
169,0.9166
170,0.9174
171,0.919
172,0.919
173,0.9214
174,0.9196
175,0.9218
176,0.9252
177,0.9248
178,0.9248
179,0.9218
180,0.9228
181,0.9248
182,0.9246
183,0.9268
184,0.9272
185,0.9232
186,0.928
187,0.9284
188,0.9252
189,0.9276
190,0.9252
191,0.9288
192,0.9244
193,0.9246
194,0.929
195,0.928
196,0.9278
197,0.9306
198,0.9288
199,0.9286
200,0.9278
201,0.9292
202,0.9278
203,0.9286
204,0.9296
205,0.932
206,0.9298
207,0.9328
208,0.9302
209,0.9256
210,0.9226
211,0.9294
212,0.9308
213,0.9316
214,0.9272
215,0.9268
216,0.9332
217,0.933
218,0.9334
219,0.936
220,0.9294
221,0.9338
222,0.926
223,0.9306
224,0.9324
225,0.936
226,0.9346
227,0.9296
228,0.9264
229,0.9284
230,0.9376
231,0.9348
232,0.9364
233,0.9364
234,0.9352
235,0.9332
236,0.9332
237,0.934
238,0.9358
239,0.936
240,0.9364
241,0.9356
242,0.9292
243,0.931
244,0.926
245,0.9194
246,0.9336
247,0.9358
248,0.935
249,0.9374
250,0.9386
251,0.9342
252,0.9344
253,0.9396
254,0.9392
255,0.9406
256,0.939
257,0.9386
258,0.9406
259,0.9318
260,0.9356
261,0.937
262,0.9326
263,0.9348
264,0.9348
265,0.93
266,0.934
267,0.9384
268,0.9384
269,0.9388
270,0.9378
271,0.9378
272,0.9372
273,0.9368
274,0.9412
275,0.9404
276,0.94
277,0.9414
278,0.9414
279,0.9356
280,0.9364
281,0.9376
282,0.9368
283,0.9418
284,0.9418
285,0.9356
286,0.9396
287,0.9406
288,0.9404
289,0.9388
290,0.939
291,0.9344
292,0.9342
293,0.9374
294,0.9368
295,0.9378
296,0.9386
297,0.9344
298,0.9354
299,0.9342
300,0.9376
