,1
0,0.3484
1,0.176
2,0.5334
3,0.43
4,0.4144
5,0.519
6,0.5194
7,0.5168
8,0.43
9,0.4616
10,0.4978
11,0.4964
12,0.6136
13,0.6286
14,0.6514
15,0.6828
16,0.7076
17,0.705
18,0.6706
19,0.6378
20,0.5878
21,0.6062
22,0.6216
23,0.6106
24,0.6232
25,0.6448
26,0.6586
27,0.6972
28,0.7346
29,0.7266
30,0.7294
31,0.7314
32,0.748
33,0.716
34,0.7056
35,0.5952
36,0.5542
37,0.589
38,0.609
39,0.604
40,0.59
41,0.685
42,0.746
43,0.7818
44,0.7788
45,0.738
46,0.7906
47,0.8074
48,0.7808
49,0.8114
50,0.8116
51,0.7772
52,0.838
53,0.8478
54,0.809
55,0.807
56,0.7782
57,0.8088
58,0.803
59,0.8334
60,0.835
61,0.8284
62,0.8342
63,0.8406
64,0.8392
65,0.8436
66,0.8412
67,0.8388
68,0.5332
69,0.75
70,0.8542
71,0.8348
72,0.8564
73,0.8558
74,0.859
75,0.8684
76,0.8568
77,0.8662
78,0.8678
79,0.8604
80,0.8624
81,0.8668
82,0.878
83,0.8792
84,0.8784
85,0.8762
86,0.8774
87,0.8752
88,0.8774
89,0.8736
90,0.8296
91,0.7494
92,0.8456
93,0.8448
94,0.8626
95,0.863
96,0.8628
97,0.8668
98,0.721
99,0.8426
100,0.8538
101,0.8574
102,0.8248
103,0.8256
104,0.8276
105,0.8508
106,0.8436
107,0.573
108,0.7328
109,0.893
110,0.894
111,0.894
112,0.8968
113,0.8964
114,0.8966
115,0.897
116,0.8944
117,0.8954
118,0.8912
119,0.8954
120,0.8922
121,0.8956
122,0.8948
123,0.8858
124,0.8876
125,0.8864
126,0.8922
127,0.8968
128,0.8914
129,0.8974
130,0.8974
131,0.9006
132,0.9006
133,0.9004
134,0.8952
135,0.9006
136,0.9004
137,0.8978
138,0.8986
139,0.902
140,0.897
141,0.897
142,0.898
143,0.8778
144,0.8868
145,0.8938
146,0.8738
147,0.883
148,0.9132
149,0.913
150,0.9118
151,0.9118
152,0.9116
153,0.9156
154,0.9186
155,0.9158
156,0.9166
157,0.9138
158,0.9118
159,0.9134
160,0.912
161,0.9198
162,0.9142
163,0.9144
164,0.9146
165,0.9182
166,0.9192
167,0.9196
168,0.9208
169,0.9156
170,0.9204
171,0.9162
172,0.9182
173,0.921
174,0.866
175,0.9152
176,0.917
177,0.9246
178,0.924
179,0.9242
180,0.9224
181,0.9204
182,0.9232
183,0.9218
184,0.9222
185,0.9242
186,0.925
187,0.9218
188,0.9186
189,0.9144
190,0.9154
191,0.9216
192,0.9204
193,0.9228
194,0.9202
195,0.9234
196,0.9236
197,0.9272
198,0.9246
199,0.9082
200,0.9224
